,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b0001_thrL_190_1,6.60991038296716,7.20553338737064,6.64686438872069,7.19273592359741,6.90738591575487
b0002_thrA_337_1,8.21866229185593,8.21699241688988,8.29788026598383,8.14242737352863,8.14975454688438
b0003_thrB_2801_1,7.22961895945068,6.71218009776835,7.17532390844086,6.590841906823,6.65654272052965
b0004_thrC_3734_1,6.68472394916575,6.65149123156967,6.50795845338276,6.68406827604092,6.88417552760391
b0005_yaaX_5234_1,8.66613704590181,8.36922401119512,8.23564884055967,8.19264743694804,8.44435356551011
b0006_yaaA_6459_-1,3.05532738210691,2.77358248508165,2.99444437144841,2.9253011641994,3.10529369196444
b0007_yaaJ_7959_-1,5.35933272214067,5.65426077328998,5.37743444487043,5.57821480261148,5.66542776665158
b0008_talB_8238_1,6.4428783609526,6.71522458059209,6.52005864335908,6.50940228854136,6.64508185147875
b0009_mog_9306_1,7.45313716522791,7.98568968196548,7.31382647576421,8.24526277884369,7.98407130126019
b0010_satP_10494_-1,7.1055807418922,7.05626333266243,6.88535785613904,6.95904820618853,7.19203394079442
b0011_yaaW_11356_-1,6.49998489112616,6.32069306228648,5.89061612468895,6.10123627047664,6.00368783842366
b0014_dnaK_12163_1,9.83806690271274,9.29136037605514,9.69220631690084,9.26480241141571,9.28183466483004
b0015_dnaJ_14168_1,6.09399923291384,6.383280443063,5.80749206912166,6.22773701029534,6.25053596709879
b0018_mokC_16960_-1,5.60817239243254,6.48667166749292,5.23298802915788,6.61839833204615,6.53016138019574
b4412_hokC_16903_-1,5.98620790231798,4.13590983399168,4.49399185112257,2.84144137467048,3.54090157306001
b0019_nhaA_17489_1,7.15192878874243,7.22381950018729,7.03058213577785,6.86838238233778,6.69706397009349
b0020_nhaR_18715_1,8.04073354462119,8.18660442125801,7.85114070793184,8.0006192281217,8.0191203513222
b0023_rpsT_21078_-1,5.69681714677666,5.87993789576767,6.46479024466018,5.90176074090704,5.8564247369301
b0025_ribF_21407_1,4.94456358192119,5.2079483820536,5.16269155208453,5.4519479369781,5.46100274816069
b0026_ileS_22391_1,7.5297287459857,7.41476083369175,7.31614149459644,7.48873341313923,7.59007669212021
b0027_lspA_25207_1,1.93227651959688,2.34086827113922,2.36698827856178,1.66160676369674,2.10271340871561
b0028_fkpB_25826_1,5.40788624167516,5.48264709913011,4.78887364149376,4.79481435629379,5.01763307703274
b0029_ispH_26277_1,3.12668824043726,3.75305918972595,3.68077011084163,3.58843980955882,3.2085649655043
b0030_rihC_27293_1,6.31886399384722,6.44876293277971,6.23939645106642,6.44929338895381,6.4481248221273
b0031_dapB_28374_1,5.87317036397887,6.09153661095998,5.89681622168727,6.01773539152086,6.13402572160233
b0032_carA_29651_1,6.80380970021821,6.39281902968648,6.69924122550237,6.25229989835256,6.39984306565717
b0033_carB_30817_1,4.13636773025562,4.14496949923525,4.28297705551597,4.1496242511398,3.96627302899989
b0034_caiF_34300_1,9.62252977282523,9.27081519844558,9.52265386561667,9.48287077195981,9.60502742133666
b0035_caiE_35371_-1,3.99096198010457,3.91009661768336,4.079987144181,3.78081582933318,4.14614527526868
b0036_caiD_36162_-1,9.51082276106681,9.36153422615778,9.49072992894579,9.29926338828186,9.55476998533305
b0037_caiC_37824_-1,10.2458795218283,9.86405283532232,10.1088371080885,9.9242529966481,9.98618229652755
b0038_caiB_39115_-1,8.49184936107082,8.24201169911419,8.49210729239445,8.27086793397405,8.46340232435763
b0039_caiA_40386_-1,7.33255753566415,7.49312087994197,7.33338673055312,7.65659910259943,7.54638855212936
b0040_caiT_41931_-1,7.9985547661164,8.51305034728433,8.22583195847373,8.55652908532958,8.50710609919826
b0041_fixA_42403_1,8.33182601098796,7.86272054770651,7.77408595113015,7.73615448780665,7.8949532048417
b0042_fixB_43188_1,7.1476463641619,7.39020765606274,7.03480515966454,7.45621079623763,7.72356431286291
b0043_fixC_44180_1,1.93227651959688,1.45437172243236,2.36698827856178,1.84504900053456,2.55867459292278
b0044_fixX_45463_1,7.19959479587567,7.19902372598368,7.09536332248242,7.11896728277927,7.08073844084748
b0045_yaaU_45807_1,4.82092432997537,4.9989976318881,5.12621567017866,4.78736338399545,4.88361198291546
b0046_kefF_47246_1,5.19750978774873,5.42058523106428,5.14717181804973,5.67828995890751,5.53241169595442
b0047_kefC_47769_1,5.47322775935238,4.81258055901935,4.58895123104522,4.67879544825032,4.65588283719086
