"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b0001_thrL_190_1","thrL","97.3706593080665","137.462360513177","88.1638039542046","147.294579585998","80.4256432717579","140.4466230416","99.9048689894369","116.990079815356","151.182120877779","73.004574280131","81.4030235953412","104.232787292831","95.1346644788543","111.113846937485","145.991093103256","104.014774470351","90.5646856516902","93.886532042885","100.642576173528","86.5384176487399","119.737357689163","108.63035285038","102.664599131195","87.0037676774105","122.276851123275","110.459282116788"
"b0002_thrA_337_1","thrA","297.591711997814","265.904366413506","299.993614797193","297.247106472797","294.582298030276","265.944719373328","314.406499466757","310.321143917005","293.546935885228","278.112663924309","253.360890006802","305.395427736958","279.963016092018","270.948051089425","282.258979222161","267.718027213687","305.989527485302","319.972037455572","290.875856837978","252.73562978586","283.697712818191","261.980772095002","249.972987837493","283.984207980761","301.253930989638","271.385803810744"
"b0003_thrB_2801_1","thrB","149.77939801212","104.71455137523","145.91405406112","104.545927164799","164.030904998446","93.051681767661","144.236057658663","125.582571553207","109.572362838023","125.559687977592","96.1743809341408","125.477686613663","122.999063606976","114.885745560539","96.0881631394592","112.976047347796","127.73522556769","117.042403174538","112.399886474174","114.418995719673","100.579380458897","113.77059036696","117.330970435651","120.078233667138","127.530226949312","95.2480296245147"
"b0004_thrC_3734_1","thrC","102.569381377906","96.8707647553627","100.944597010653","100.226762800999","102.870008835969","102.322085928823","90.7064667295399","96.2799715241257","90.7489008676575","110.427087146417","131.336633729762","110.650517295999","110.962962208438","105.298836560275","102.522638349691","91.8530469938174","109.663360857149","95.149579559157","109.107839589993","105.004774552864","117.821559966137","114.113272868065","103.309274792929","108.184460183147","107.965930769588","101.076640392582"
"b0005_yaaX_5234_1","yaaX","405.921839453108","351.989924566551","324.371794145604","330.360699928597","277.749023857117","332.575749281678","301.119918424684","287.297672465583","318.710932414033","312.263263097367","326.254327309139","323.32081153891","320.687907125428","304.580813811662","292.268162882522","311.404232491235","302.703733901568","304.394451421551","291.81644166203","285.14227572545","348.036586349835","310.470346001402","322.337830867174","330.744659897272","306.326155925122","348.010711225092"
"b0006_yaaA_6459_-1","yaaA","8.00884210758989","6.66721862688731","10.7690015568223","6.53412044779993","7.85552794747403","6.60516296482774","7.66533521658083","10.9058548980417","6.9349596732926","7.9752896272412","7.86735336523021","7.08163310694396","9.23317367559071","8.95825922975478","7.29240523826253","7.8411137677649","8.83057025628725","8.84133261390397","9.40584824051668","6.69858044561376","8.30179013311533","8.05303877597455","8.7031214334137","9.61277582952663","10.687902542627","8.52967429473266"
"b0007_yaaJ_7959_-1","yaaJ","40.7467405473871","48.337335044933","39.8808079631771","50.0580074983995","39.8387488764754","46.8155410138668","41.2650545825935","56.2918368979728","53.7954728942555","56.8495004198219","42.2268150011336","49.3501307140157","47.1551369860526","48.8775196570831","47.472128217709","44.6463416572736","48.4654553600882","57.2581540709971","59.9622825332938","36.5706283787562","50.4493400397008","51.7450576669003","50.4458705307127","48.2268075515234","53.6206636036879","47.7661760505029"
"b0008_talB_8238_1","talB","86.6922031646133","90.3996407939721","79.1699125441112","104.767422773199","106.797772809706","95.2534027559369","91.4730002511979","95.178370019273","91.5414676874623","90.1821211695736","107.092340706297","78.7831683147516","82.9336849789666","87.5394805433932","90.7975946332687","74.0905239688806","75.1625282279334","88.834341977797","99.2316989374509","110.255013280508","99.7811314076362","98.0071953161158","97.5071938373201","92.7062618135704","79.5252409527668","86.718355329782"
"b0009_mog_9306_1","mog","174.92997234999","186.584074220096","123.547666212335","253.169480401197","129.242138373918","228.515462572637","158.800194570166","169.205991145374","236.680266564229","99.384378431775","174.205681658669","198.064425959839","153.666390458045","179.950996808232","303.135276570913","156.822275355298","138.208692615845","139.356242628677","182.238309660011","139.583933069411","252.885299439513","209.550349425891","205.168029346956","135.719360440605","193.469151110604","164.196230173604"
"b0010_satP_10494_-1","satP","137.414869846016","154.228454413143","128.754655976073","132.786617235799","120.638464907637","128.510977684105","117.918406748402","116.21895876196","119.677589790535","129.036096276646","116.725834622905","130.788911443871","127.450772343422","111.271009380112","124.113877388468","119.536979275926","110.484809253082","133.462020886074","130.506144337169","107.901457988805","145.919926570527","134.50288168383","131.675003909241","133.764219593921","138.942733054151","126.66566327678"
"b0011_yaaW_11356_-1","yaaW","90.2048532118019","87.8504101425152","84.9686056900925","79.6276712197992","67.5201330723363","84.0130377105283","59.0230811676724","66.5367308931029","70.1421635527309","49.6921892158875","54.1081241649506","67.0542134813757","66.1161186412835","60.8218652967561","68.3484255664605","59.2084100831227","44.1528512814363","54.7320590384531","50.5564342927771","47.9763194077742","63.8599241008871","61.682850198954","54.4750934165524","54.5810153032444","66.6635277235039","57.4331402511999"
"b0014_dnaK_12163_1","dnaK","914.975084291672","653.19133076946","923.530639004849","626.278832750994","871.589529410214","733.752489355952","826.961914282129","682.662452557216","629.099913220115","561.133198388458","627.943245130926","613.003865819837","648.630450710248","741.178079430237","614.849853422135","599.285123679175","656.337268351025","573.844588226243","573.286450259491","729.421097712914","622.155310552893","598.494988180406","590.84524397953","646.011121424968","601.420956635959","576.179498609191"
"b0015_dnaJ_14168_1","dnaJ","68.0049049135702","90.3015934612237","71.1227465456067","83.1716009541991","73.1312244633892","93.7469620797481","55.7014359071541","66.8672113445587","68.3588882081699","86.7057128705198","76.4257184050935","89.1843169405755","77.1629514317224","70.0944494117655","74.639912438687","66.7294783909789","71.0552862482649","63.5733916523571","85.3580727826888","66.6237190266449","75.8336598698035","91.6675690456678","80.4232888013599","77.2280634439936","65.7577732707389","77.7621973203127"
"b0018_mokC_16960_-1","mokC","48.4745706512019","48.337335044933","56.5668433424293","89.3734779893991","84.1663708657932","70.9185918328873","37.3046313873601","45.3859819999311","40.9162620724263","97.1349377676814","81.0819071314542","121.936870060191","94.9697863775045","79.3670335267748","97.9470115335261","78.2511149476946","68.1802168624969","75.3618351375624","106.521231323851","85.9952895045009","92.1179405155297","95.4370765578261","77.1999104926882","93.3579754291315","105.792120082952","82.3113569441701"
