"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b0001_thrL_190_1",97.2488307669218,147.178308755785,100.038593921978,145.905620247076,119.678825390098
"b0002_thrA_337_1",297.219370222714,297.012466692126,314.827339695635,282.093726119224,283.55903029094
"b0003_thrB_2801_1",149.591996533245,104.463401101851,144.429120892471,96.0319067639913,100.530213327683
"b0004_thrC_3734_1",102.441048282616,100.147646183448,90.8278793920768,102.462614806223,117.763964183857
"b0005_yaaX_5234_1",405.413956833531,330.099921066547,301.522974263556,292.097049740473,347.866452467219
"b0006_yaaA_6459_-1",7.99882157823167,6.52896256886567,7.67559544158395,7.28813578119577,8.29773189371348
"b0007_yaaJ_7959_-1",40.6957589067927,50.0184929004624,41.3202887938603,47.4443348893528,50.4246784310281
"b0008_talB_8238_1",86.5837353292796,104.684721866897,91.5954389362352,90.7444357070453,99.7323544917486
"b0009_mog_9306_1",174.711102892955,252.969634447914,159.012752231481,302.957801100687,252.761679223888
"b0010_satP_10494_-1",137.24293865808,132.681798645253,118.0762432097,124.041212903489,145.848595208733
"b0011_yaaW_11356_-1",90.0919904074514,79.5648150341427,59.1020849001965,68.3084098708152,63.8287068747191
"b0013_yaaI_11786_-1",1.68396243752246,2.87716994560182,1.66304567900986,1.71485547792842,1.59571767186798
"b0014_dnaK_12163_1",913.830282762186,625.784463168396,828.068821556216,614.489879591016,621.851176726951
"b0015_dnaJ_14168_1",67.9198183134057,83.1059472748834,55.7759935421767,74.5962132898861,75.7965894137289
"b0018_mokC_16960_-1",48.4139200787706,89.3029286961796,37.3545644823752,97.8896668650804,92.0729096667823
"b4412_hokC_16903_-1",63.0082612039652,17.2630196736109,22.2592267805935,6.85942191171366,11.3295954702626
"b0019_nhaA_17489_1",141.73350515814,149.059535258679,130.61304909762,116.467267875972,103.402505137045
"b0020_nhaR_18715_1",262.698140253503,290.81548527083,230.907496200984,255.656370834495,258.984978144173
"b0023_rpsT_21078_-1",51.5011845475618,58.5393423547447,88.1414209875224,59.4483232348517,57.605407954434
"b0024_yaaY_21181_1",2.10495304690307,2.32386803298609,1.53511908831679,2.00066472424982,1.43614590468118
"b0025_ribF_21407_1",30.4516540785311,36.6285866151616,35.5635922126723,43.4430054408532,43.7226642091826
"b0026_ileS_22391_1",184.253556705582,170.1956683206,159.268605412867,179.202397443519,192.283979460091
"b0027_lspA_25207_1",3.50825507817178,4.75839644849532,4.8612104463365,2.85809246321403,3.98929417966994
"b0028_fkpB_25826_1",42.0990609380614,44.3748133917819,27.3762904083161,27.4376876468546,32.0739252045464
"b0029_ispH_26277_1",8.41981218761228,13.1685855202545,12.5368058879205,11.7181790991775,8.93601896246068
"b0030_rihC_27293_1",79.4268949698092,86.9790606631935,75.3487619182158,87.0289155048671,86.9666131168048
"b0031_dapB_28374_1",58.2370342976516,67.8348144866891,59.3579380815826,64.4499850454763,69.8924340278174
"b0032_carA_29651_1",111.281851079609,83.6592491874991,103.748465052076,75.8823548983324,84.0943213074424
"b0033_carB_30817_1",17.2606149846052,17.3736800561341,19.1889886039599,17.4343640256056,15.3188896499326
"b0034_caiF_34300_1",786.971779135494,616.931632566544,736.217529438594,714.808925049828,778.071936802826
"b0035_caiE_35371_-1",15.5766525470827,14.7178308755785,16.6304567900986,13.4330345771059,17.393322623361
"b0036_caiD_36162_-1",728.313754228462,656.990691039924,720.098779011268,629.351960399728,751.423451682631
"b0037_caiC_37824_-1",1212.45295501617,930.875137784712,1105.41367017878,970.751105130644,1013.44029340335
"b0038_caiB_39115_-1",359.245320004791,302.213504670714,360.241279391674,308.388176780793,352.494033715636
"b0039_caiA_40386_-1",160.678082580268,179.712461217591,161.187504273263,201.352614033428,186.539395841367
"b0040_caiT_41931_-1",255.120309284652,364.736620796292,299.476148812467,375.982063535805,363.344913884339
"b0041_fixA_42403_1",321.496495363662,232.276142916085,218.882396675836,212.784983886284,237.602361341142
"b0042_fixB_43188_1",141.312514548759,167.318498374998,130.996828869699,175.20106799502,210.953876220947
"b0043_fixC_44180_1",3.50825507817178,2.43452841550923,4.8612104463365,3.28680633269613,5.58501185153792
"b0044_fixX_45463_1",146.504732064454,146.514346460647,136.625598860194,138.61748446588,134.997715040031
"b0045_yaaU_45807_1",27.9257104222474,31.64886940162,34.6681060778209,27.2947830236939,29.201633395184
"b0046_kefF_47246_1",36.3455226098597,42.4935868888884,35.1798124405931,50.8740458452097,45.9566689497978
"b0047_kefC_47769_1",44.0636837818376,27.7757560133099,23.7943458689103,25.2941182994441,24.8931956811405
"b0048_folA_49823_1",255.120309284652,273.331144832173,283.101545203755,272.376211744297,266.484851201952
"b0049_apaH_51222_-1",7.71816117197792,10.6233967222221,10.4899804368314,7.28813578119577,8.13816012652669
"b0050_apaG_51606_-1",132.75237215802,145.297082252892,165.025301994055,174.200735632895,169.624788519566
"b0051_rsmA_52430_-1",28.9080218441355,27.2224541006942,26.8645840455438,28.723829255301,22.8187627077121
"b0052_pdxA_53416_-1",19.2252378283814,8.85283060185176,6.0125497625741,7.57394502751717,4.94672478279073
"b0053_surA_54702_-1",359.245320004791,377.683885551501,343.994602373654,355.260893177503,378.504231767084
"b0054_lptD_57109_-1",34.3808997660835,48.5799079276615,31.2140881291081,47.5872395125135,50.1055348966545
"b0055_djlA_57364_1",135.418646017431,111.766986348378,166.944200854451,108.178799732651,126.380839611944
"b4659_yabP_58474_1;b4659_yabP_59052_1",447.934008380973,390.409829541663,369.835773693654,349.401803627915,341.32401001256
"b0058_rluA_60346_-1",161.099073189648,128.034062579281,170.781998575243,147.334666478683,165.635494339896
"b0059_rapA_63264_-1",61.1839685633159,48.3585871626152,42.2157749287118,36.8693927754609,41.4886594685674
"b0060_polB_65780_-1",29.0483520472624,22.9066991822914,34.1563997150486,28.723829255301,18.9890402952289
"b0061_araD_66550_-1",736.312575806694,760.23682793402,1002.56069126156,846.566987603994,856.262102724357
"b0062_araA_68337_-1",191.550727268179,202.619160399882,160.036164957025,216.643408711623,202.177429025673
"b0063_araB_70048_-1",1188.87748089085,792.660320013302,1151.08346305621,822.987724782479,890.250889135145
"b0064_araC_70387_1",13.8926901095603,15.2711327881943,14.3277781576234,20.7211703583017,20.5847579670969
"b0065_yabI_71351_1",12.2087276720378,8.63150983680546,7.29181566950476,8.71718201280278,9.09559072964747
"b0066_thiQ_72927_-1",44.2040139849645,31.8701901666663,36.0752985754446,38.5842482533893,36.5419346857767
"b0067_thiP_74521_-1",2.24528325002994,2.21320765046294,1.53511908831679,3.00099708637473,1.75528943905478
"b0068_thiB_75480_-1",17.6816055939858,16.1564158483795,16.6304567900986,15.4336993013557,16.9146073218006
"b0069_sgrR_77299_-1",9.54245381262725,12.836604372685,14.0719249762373,12.2897975918203,11.6487390046362
"b4662_sgrT_77388_1",47.2912784537556,35.411322407407,31.2140881291081,29.2954477479438,30.3186357654916
"b0070_setA_77621_1",12.0683974689109,7.19292486400455,9.97827407405914,9.14589588228488,6.8615859890323
"b0071_leuD_79453_-1",27.5047198128668,38.9524546481477,29.5510424500982,38.5842482533893,36.5419346857767
"b0072_leuC_80864_-1",15.0153317345752,13.9432081979165,14.7115579297026,18.1488871414091,12.2870260733834
"b0073_leuB_81958_-1",807.880979401398,660.421162898141,773.060387558197,658.790312770833,664.935553867386
"b0074_leuA_83529_-1",43.5023629693301,32.6448128443284,39.5293165241574,38.0126297607465,43.0843771404354
"b0075_leuL_83708_-1",7.57783096885105,9.73811366203693,8.69900816712848,9.43170512860629,8.13816012652669
"b0076_leuO_84368_1",107.63326579831,89.3029286961796,109.505161633264,79.883684346832,76.9135917840365
"b0077_ilvI_85630_1",201.233511283933,191.221140999998,247.02624662831,206.497180467213,202.496572560046
"b0078_ilvH_87357_1",29.7500030628967,33.0874543744209,46.3094258308899,36.8693927754609,31.7547816701728
"b0080_cra_88028_1",32.1356165160535,45.4814172170134,34.923959259207,52.160187453656,45.9566689497978
"b0081_mraZ_89634_1",16.5589639689708,14.275189345486,14.3277781576234,15.1478900550343,15.1593178827458
"b0082_rsmH_90094_1",9.96344442200786,10.9553778697915,10.8737602089106,9.57460975176699,9.41473426402107
