"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b0001_thrL_190_1",6.60810918295027,7.20439604694651,6.64878772817151,7.19189237074362,6.90668178193683
"b0002_thrA_337_1",8.21685772724259,8.21585409967324,8.29980800128109,8.14158317270586,8.1490496716689
"b0003_thrB_2801_1",7.22781601136541,6.71104354759392,7.17724922597596,6.58999904957038,6.65583883058436
"b0004_thrC_3734_1",6.68292249617198,6.65035479862148,6.50988114098724,6.68322529118217,6.88347141461346
"b0005_yaaX_5234_1",8.66433204357778,8.36808559769557,8.23757648533522,8.19180321232642,8.44364859003815
"b0006_yaaA_6459_-1",3.05357999485569,2.77248504280424,2.99629306014567,2.92448214378518,3.10460618719765
"b0007_yaaJ_7959_-1",5.35753842715404,5.65312717514825,5.37934868627111,5.57737402042844,5.66472538601499
"b0008_talB_8238_1",6.44107777539815,6.71408802466585,6.52198139027472,6.50855954971293,6.64437797372093
"b0009_mog_9306_1",7.45133374955138,7.98455153194119,7.31575220260163,8.24441853016098,7.98336649210242
"b0010_satP_10494_-1",7.10377808630354,7.05512620352349,6.88728217829462,6.95820488959204,7.19132957702975
"b0011_yaaW_11356_-1",6.49818408744314,6.31955736270698,5.8925350198554,6.10039423719234,6.00298482295847
"b0013_yaaI_11786_-1",0.991202644354974,1.66950221705867,0.975941682439968,1.01345111523671,0.925693133713559
"b0014_dnaK_12163_1",9.83626123094829,9.29022155395632,9.69413532456575,9.26395783448109,9.28112949446894
"b0015_dnaJ_14168_1",6.09220018493965,6.38214459153416,5.80941031818443,6.22689473664847,6.24983257379746
"b0018_mokC_16960_-1",5.60637621042958,6.48553557895097,5.23490063329671,6.61755543621275,6.52945763014918
"b4412_hokC_16903_-1",5.98440940964088,4.1347868279082,4.49589295829783,2.8406239029178,3.54020939980124
"b0019_nhaA_17489_1",7.15012602090666,7.22268213535095,7.03250698143651,6.86753916821437,6.69636003782605
"b0020_nhaR_18715_1",8.03892919545117,8.18546612450771,7.85306769785927,7.99977509915046,8.01841552755088
"b0023_rpsT_21078_-1",5.69502036740415,5.87880347504938,6.46671271656874,5.90091913217815,5.85572197965885
"b0024_yaaY_21181_1",1.26833362146415,1.39382615455235,0.878920008961377,1.20448098623296,0.799108035717143
"b0025_ribF_21407_1",4.94277325428993,5.20681684340119,5.16460329814111,5.45110753111103,5.46030082989535
"b0026_ileS_22391_1",7.52792518603774,7.41362323160442,7.31806722794683,7.48788961105638,7.58937207416122
"b0027_lspA_25207_1",1.93059842189685,2.33978546171672,2.36879277882071,1.66082399739979,2.10204388111151
"b0028_fkpB_25826_1",5.40609155249918,5.4815142185381,4.79078005084116,4.79397654125861,5.01693241789503
"b0029_ispH_26277_1",3.12493801463879,3.75194112910299,3.68264950181391,3.58761125394731,3.20787622329287
"b0030_rihC_27293_1",6.31706391279774,6.44762692917369,6.24131768569475,6.44845074192107,6.4474211696758
"b0031_dapB_28374_1",5.87137249995651,6.0904015275188,5.89873516357014,6.0168935288427,6.13332249859854
"b0032_carA_29651_1",6.80200787065053,6.39168315557334,6.70116479490072,6.2514575804283,6.39913947329261
"b0033_carB_30817_1",4.13458932747236,4.14384639128583,4.28487364520748,4.1487904296328,3.96557747366303
"b0034_caiF_34300_1",9.62072418714216,9.26967638289531,9.5245827758539,9.48202615019911,9.60432220127028
"b0035_caiE_35371_-1",3.98918652558749,3.90897636874868,4.08187871802155,3.77998523379102,4.14544856384315
"b0036_caiD_36162_-1",9.5090172253213,9.36039538238216,9.49265881952323,9.29841880380504,9.55406477228404
"b0037_caiC_37824_-1",10.2440737185215,9.86291386363106,10.1107663117094,9.92340830248134,9.98547703050096
"b0038_caiB_39115_-1",8.49004451330469,8.24087336536764,8.49403528636168,8.27002367389571,8.46269734308087
"b0039_caiA_40386_-1",7.33075436322246,7.49198318921962,7.33531251209297,7.65575518030737,7.54568395876861
"b0040_caiT_41931_-1",7.99675047203356,8.51191185169292,8.22775958860972,8.55568471093301,8.50640110488958
"b0041_fixA_42403_1",8.3300213225473,7.86158249810248,7.77601278749912,7.73531051324912,7.89424843448042
"b0042_fixB_43188_1",7.14584360654689,7.38907008275338,7.03673001977181,7.45536701910573,7.72285962419859
"b0043_fixC_44180_1",1.93059842189685,1.45333683567613,2.36879277882071,1.84425881599795,2.55799533997657
"b0044_fixX_45463_1",7.19779191630133,7.19788639432499,7.09728838519767,7.11812380041484,7.08003416163169
"b0045_yaaU_45807_1",4.8191354231247,4.99786729949329,5.1281269542365,4.78652560562772,4.88291178704446
"b0046_kefF_47246_1",5.19571690658798,5.41945263171023,5.14908336896216,5.67744890100322,5.53170960867948
"b0047_kefC_47769_1",5.47143256020335,4.81145146061781,4.59085416530334,4.67795822621431,4.65518353425479
"b0048_folA_49823_1",7.99675047203356,8.09610821840747,8.14672268964648,8.09106468733622,8.05955304410452
"b0049_apaH_51222_-1",3.00396852157801,3.44986113821901,3.43213817742125,2.92448214378518,3.07759083629755
"b0050_apaG_51606_-1",7.0558916171472,7.18587520459666,7.36919670925149,7.447120510346,7.40878458317024
"b0051_rsmA_52430_-1",4.86848351375404,4.7827397138086,4.76386023216099,4.85935795078902,4.53123352189796
"b0052_pdxA_53416_-1",4.28755401059729,3.19482857438702,2.65910849232506,2.97779652544378,2.39248277259765
"b0053_surA_54702_-1",8.49004451330469,8.56219485259147,8.42751513530521,8.4739677128988,8.5653225384459
"b0054_lptD_57109_-1",5.116229948601,5.61128330428833,4.97810175662636,5.58168538343009,5.65562043154468
"b0055_djlA_57364_1",7.0845155009226,6.80826660257425,7.38584497055726,6.76132003641093,6.98509783549512
"b4659_yabP_58474_1;b4659_yabP_59052_1",8.80811991471551,8.60996719188721,8.53192501586759,8.44999655737681,8.4162810729419
"b0058_rluA_60346_-1",7.33452229019028,7.00380307498216,7.41857599898909,7.20592475371203,7.37451156603038
"b0059_rapA_63264_-1",5.94222855004581,5.60473668870029,5.41005711194068,5.21619293430822,5.38517264819587
"b0060_polB_65780_-1",4.87539744079754,4.53670975092303,5.10686163655103,4.85935795078902,4.26999876475342
"b0061_araD_66550_-1",9.52476894026839,9.5708807835099,9.96991020289421,9.72599731481343,9.74241969704804
"b0062_araA_68337_-1",7.58386872489847,7.66478799573258,7.32499009821044,7.76119987024488,7.66164405356424
"b0063_araB_70048_-1",10.2157521639154,9.63111104723172,10.1691566662732,9.68525882803629,9.79855965304019
"b0064_araC_70387_1",3.82746965057806,3.96116058019513,3.87102050793116,4.39403648464534,4.38464565403167
"b0065_yabI_71351_1",3.64530971952005,3.15952982126306,2.9251812559098,3.17329643397922,3.23257866995238
"b0066_thiQ_72927_-1",5.47598846035322,5.00782568004506,5.18504019219269,5.28125702107612,5.20342797709634
"b0067_thiP_74521_-1",1.35002297807448,1.33175466691642,0.878920008961377,1.7245958072631,1.04206177868823
"b0068_thiB_75480_-1",4.16876034210366,4.04091749782645,4.08187871802155,3.976140879917,4.10588563570994
"b0069_sgrR_77299_-1",3.29958579680557,3.71594569100619,3.8455699759167,3.6546268745731,3.57925400648381
"b4662_sgrT_77388_1",5.57274204776298,5.1584655218008,4.97810175662636,4.88749163572782,4.93652003638763
"b0070_setA_77621_1",3.62903832983542,2.90627500333356,3.36206977534298,3.2402792605227,2.84105968408108
"b0071_leuD_79453_-1",4.79745833165849,5.29485269885597,4.89989604677713,5.28125702107612,5.20342797709634
