distance_to_start,norm_reads,exp
-12,0.0030408536130587804,Meydan et al.
-11,0.0018476937275313334,Meydan et al.
-10,0.007598008934327223,Meydan et al.
-9,3.603850392223484e-4,Meydan et al.
-8,6.982999792328664e-4,Meydan et al.
-7,0.004348590007721183,Meydan et al.
-6,0.0019259708854096056,Meydan et al.
-5,0.01524649493024101,Meydan et al.
-4,0.0018999493162336536,Meydan et al.
-3,0.00162633423692335,Meydan et al.
-2,0.052347191659514736,Meydan et al.
0,9.456485261711188e-5,Meydan et al.
1,3.5808928485160725e-5,Meydan et al.
2,3.782752946067964e-4,Meydan et al.
3,2.307533452085642e-4,Meydan et al.
4,4.428332725551805e-4,Meydan et al.
5,0.0027423768789564883,Meydan et al.
6,0.003035389469466755,Meydan et al.
7,0.005292242344443235,Meydan et al.
8,0.009782373427094962,Meydan et al.
9,0.014038422444795381,Meydan et al.
10,0.009493692118465884,Meydan et al.
11,0.013304545222126554,Meydan et al.
12,0.0411487947028396,Meydan et al.
13,0.062018666375976673,Meydan et al.
14,0.17054353460090743,Meydan et al.
15,0.28471391064086815,Meydan et al.
16,0.09653474724018565,Meydan et al.
17,0.030688952103008066,Meydan et al.
18,0.017360159991881556,Meydan et al.
19,0.007469292439690963,Meydan et al.
20,0.007384432423320544,Meydan et al.
21,0.004300905203923594,Meydan et al.
22,0.002303102770244942,Meydan et al.
23,0.0017274731372996178,Meydan et al.
24,0.0015166412316668688,Meydan et al.
25,8.970416977803068e-4,Meydan et al.
26,0.0027536961889525514,Meydan et al.
27,0.0026408968418902105,Meydan et al.
28,0.0015570251642810088,Meydan et al.
29,0.004428592083748284,Meydan et al.
30,0.007326413374294186,Meydan et al.
31,0.006938311010032308,Meydan et al.
32,0.002484554356009929,Meydan et al.
33,0.0015950342941171557,Meydan et al.
34,0.0017522545027360461,Meydan et al.
35,0.007421060129499659,Meydan et al.
36,0.00231748263105428,Meydan et al.
37,0.0024427746047383783,Meydan et al.
38,0.003892999041985548,Meydan et al.
39,0.0033571868487515294,Meydan et al.
40,0.0027132915325016587,Meydan et al.
41,0.0042682252025035075,Meydan et al.
42,0.005517620273863833,Meydan et al.
43,0.0038172034084398006,Meydan et al.
44,0.005084249604445524,Meydan et al.
45,0.004102814114574305,Meydan et al.
46,0.0037944289046078932,Meydan et al.
47,0.006653351553570109,Meydan et al.
48,0.0061955855777341496,Meydan et al.
49,0.016253777511956006,Meydan et al.
50,0.01227246675587992,Meydan et al.
-58,2.674898e-7,Oligo pool
-57,2.1192000000000002e-8,Oligo pool
-56,0,Oligo pool
-55,7.05008e-8,Oligo pool
-54,2.1192000000000002e-8,Oligo pool
-53,0,Oligo pool
-52,7.135040000000001e-8,Oligo pool
-51,6.95674e-8,Oligo pool
-50,2.00106e-8,Oligo pool
-49,7.268879999999999e-8,Oligo pool
-48,1.907154e-7,Oligo pool
-47,1.752794e-7,Oligo pool
-46,2.2510620000000001e-7,Oligo pool
-45,7.038056e-7,Oligo pool
