"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b0001_thrL_190_1","thrL","97.5106789481158","135.061335860668","87.6764017637959","149.168670460414","80.5465646181271","135.595871921064","99.2633384242742","116.258541923899","148.49176394716","73.6209692391842","79.9747530210828","104.996928669226","94.9014883861449","109.726291254881","147.906453630948","105.113468967942","90.6662833151861","94.5777125573094","103.078194986387","86.243775932098","119.1419313934","111.77350909525","104.071884260301","85.9425630359591","124.964104018802","109.50151906385"
"b0002_thrA_337_1","thrA","298.019650811125","261.25987364774","298.335138887547","301.02910640282","295.025207612907","256.75950994954","312.387565041098","308.380708662545","288.323130128071","280.460835196892","248.915503485737","307.63431329837","279.276823708274","267.564534828027","285.962134640051","270.545897820565","306.332793967409","322.327630240157","297.915250462993","251.875128036002","282.286949448096","269.561033764413","253.399517249179","280.520388336473","307.874525901137","269.032689694839"
"b0003_thrB_2801_1","thrB","149.994781758574","102.885525463048","145.107387080215","105.876108958369","164.277528302552","89.8378590368107","143.309858159854","124.797304890061","107.622471117667","126.619818243303","94.4869370012399","126.397576550852","122.697591570302","113.451087563392","97.3488117923578","114.169398602103","127.878522045455","117.904054219426","115.120040195077","114.02942759223","100.079222370456","117.062476402597","118.939296297487","118.613612279966","130.332932191461","94.4221592957267"
"b0004_thrC_3734_1","thrC","102.716876814033","95.1787445294865","100.386537858413","101.501990050131","103.024675674349","98.7880816058578","90.1240029171799","95.6779337490467","89.1339815043242","111.359449269354","129.032244519222","111.461707716801","110.690990786613","103.983896945927","103.867705439167","92.8232787501521","109.786383878253","95.8500584661521","111.748323536644","104.647259499198","117.235660491106","117.415074223086","104.72539687732","106.864909842466","110.338675548453","100.200231730241"
"b0005_yaaX_5234_1","yaaX","406.505557692795","345.841794393579","322.578546623577","334.564018032642","278.166624320741","321.089234664566","299.186302641962","285.501202766034","313.039321505907","314.899775989452","320.529976605208","325.691109948492","319.901897592811","300.777301912248","296.102635868422","314.693554787101","303.043314300645","306.635364031097","298.878598079688","284.171437433168","346.305880583483","319.453625363713","326.75630850958","326.710492440069","313.058222067843","344.993202919312"
"b0006_yaaA_6459_-1","yaaA","8.02035887452035","6.55076379352741","10.7094665241684","6.61725680989806","7.86733886967753","6.37703358044609","7.61611292257858","10.8376606878211","6.81154880491561","8.04262689167558","7.72931538073582","7.13354929387526","9.21054306693954","8.84639123271318","7.3880794663843","7.92393842989103","8.84047660442858","8.90642136189909","9.63347616695208","6.67577345081094","8.26050724327575","8.28604878150911","8.82242032975865","9.49552662756851","10.922788351273","8.45571575782627"
"b0007_yaaJ_7959_-1","yaaJ","40.8053346247527","47.4930375030737","39.6603320730191","50.6949165775241","39.8986471247932","45.1986239736881","41.000074566548","55.9398445603694","52.8381571581311","57.3294942534824","41.4859172476228","49.7119216416932","47.039559234727","48.2671521644526","48.0949486831292","45.1179351416245","48.5198250847708","57.6796812008703","61.4134105643195","36.4461145152381","50.1984670937526","53.2422708939521","51.1373622817492","47.6385742671234","54.799073762319","47.3520082438271"
"b0008_talB_8238_1","talB","86.816867115422","88.8206502592981","78.7322319194355","106.100422748535","106.958345109187","91.9635368969593","90.8856142094377","94.5832205482567","89.912444224886","90.9435502366393","105.213333856139","79.3607358943622","82.7304136191177","86.4463143266885","91.9888325716476","74.8731325110112","75.2468473772293","89.4883289219385","101.633173561344","109.879622474158","99.2849428278335","100.842976660068","98.8437833241479","91.5755025607879","81.2729506137096","85.9664435379004"
"b0009_mog_9306_1","mog","175.181522785576","183.325051457098","122.864648914635","256.390662159779","129.436456165409","220.622986327012","157.780472712753","168.147947641345","232.468429927763","100.223504342419","171.149126287722","199.516456813074","153.289752471208","177.703823885203","307.112322916367","158.478768597821","138.363738483266","140.382165275648","186.648600734696","139.108684610141","251.627759102861","215.613567229482","207.980390366348","134.063960690925","197.720982358638","162.772528338156"
"b0010_satP_10494_-1","satP","137.612473320718","151.534580106156","128.042852508738","134.476117204538","120.819846927191","124.072460363416","117.161203792334","115.492242683346","117.547870804829","130.125578683264","114.677801669284","131.747738521259","127.138389120433","109.881491101069","125.742215231796","120.799632798543","110.608753794944","134.444551034381","133.66448181646","107.5340804509","145.194300391424","138.394644542227","133.479952026163","132.132667139555","141.99624856655","125.56737900372"
"b0011_yaaW_11356_-1","yaaW","90.3345683761766","86.3159464558906","84.4988677401416","80.6408075646899","67.6216507607997","81.1113920319897","58.6440695038551","66.1206773277165","68.8939507697179","50.1117521712094","53.1587608838361","67.5457948763813","65.9540673186207","60.0623404747369","69.245136959445","59.8338207971364","44.2023830221429","55.1349893831848","51.7799343973674","47.8129720125648","63.5423634098135","63.4676076881548","55.221816138119","53.9152783090755","68.1285781909912","56.9351527693636"
"b0014_dnaK_12163_1","dnaK","916.290824401342","641.782182242347","918.425019281427","634.247241694466","872.899979349935","708.410116340081","821.651649130853","678.393770529568","617.904784445916","565.8709792502","616.925560286893","617.497860751077","647.040650452503","731.922474622375","622.91650402848","605.615294284529","657.073563436134","578.069157917546","587.160372375729","726.937600900466","619.061475520108","615.812093485347","598.94431349806","638.13157759846","614.638259766551","571.183599441165"
"b0015_dnaJ_14168_1","dnaJ","68.1026964082079","88.7243154976286","70.7295536376394","84.2298282073464","73.2411785248551","90.5091257294892","55.343753904071","66.4490912879535","67.1424096484538","87.4377897966781","75.0847779842908","89.8381364197415","76.9738242022805","69.219131399826","75.6191663029922","67.4343331686645","71.1349977937742","64.0414107450839","87.4237962150901","66.3968818891466","75.4565565491535","94.3199169810079","81.5256989731402","76.2860952791097","67.2029181612223","77.0879419921828"
"b0018_mokC_16960_-1","mokC","48.5442773984126","47.4930375030737","56.254120863214","90.5106143319955","84.2929164608307","68.4692026532106","37.0650828898824","45.1021838725484","40.1881379490021","97.9550711165616","79.6592707606446","122.830801903915","94.7370144028067","78.375922324915","99.2320477347695","79.0776712697289","68.2567030853556","75.916639227616","109.099117590732","85.7024970036539","91.6598592186559","98.1984930063951","78.2581358880444","92.2192670779111","108.117091477008","81.5976570630235"
"b4412_hokC_16903_-1","hokC","63.1779146431515","21.7716561373117","38.3657811744933","17.4964756329508","19.6683471741938","14.4322338925885","22.0867274754779","15.1070421709021","15.6665622513059","15.2603689739485","6.62512746920213","12.9295580951489","14.4737105337621","13.5023866183517","6.95348655659699","15.0393117138748","16.2418058546479","19.0851886326409","15.8952356754709","13.7123995205846","11.2787695052419","10.5779346146925","16.337815425479","19.1519943844178","19.9942566430083","14.2337881923409"
"b0019_nhaA_17489_1","nhaA","142.115130934483","138.72205680411","123.100021805276","151.075337676825","129.811091349679","177.773795777699","129.600854899212","115.492242683346","126.40288425122","68.2592179780671","91.1743732666388","95.8570686364487","96.0528062695124","111.278289716761","118.064407158886","110.44999893093","93.9557629819503","108.573517554579","113.675018770034","119.803069495634","102.938628723898","109.481623262067","96.7198673188356","98.9787945077057","111.264335578222","106.401089952647"
