"","logFC","logCPM","F","PValue","FDR"
"b0001_thrL_190_1",0.0169906128773968,6.75938067558115,0.0288592501078893,0.866308489883274,0.996955703535153
"b0002_thrA_337_1",-0.0701977349619929,8.15373739674934,0.811078822000346,0.375373549436456,0.996955703535153
"b0003_thrB_2801_1",-0.146599868983426,6.89186079781779,2.20151371909826,0.148886964123847,0.996955703535153
"b0004_thrC_3734_1",-0.0761244395728811,6.71069655593045,0.646497123358053,0.428045572928299,0.996955703535153
"b0005_yaaX_5234_1",-0.136994485421192,8.31497326868612,2.8421567207339,0.102776092564046,0.996955703535153
"b0006_yaaA_6459_-1",0.0911789921904784,3.09549055774933,0.279147398370702,0.60136427226496,0.996955703535153
"b0007_yaaJ_7959_-1",0.0606029964797845,5.60048679911095,0.302035043159286,0.586904491105312,0.996955703535153
"b0008_talB_8238_1",-0.101277444653244,6.52152285003784,0.721370501288288,0.402796008700577,0.996955703535153
"b0009_mog_9306_1",-0.228832426890333,7.50060072653535,3.37284560204642,0.0773513503610818,0.996955703535153
"b0010_satP_10494_-1",-0.112912104861484,6.99507182790971,1.57938884264128,0.219084825407489,0.996955703535153
"b0011_yaaW_11356_-1",-0.00698744298012119,6.02301708338042,0.00408250856978427,0.949501725990751,0.996955703535153
"b0014_dnaK_12163_1",-0.0608004622583671,9.38974858466233,0.774681727738402,0.386158332222083,0.996955703535153
"b0015_dnaJ_14168_1",0.0925991596083345,6.24743577825078,0.602431495196512,0.444066482248826,0.996955703535153
"b0018_mokC_16960_-1",-0.174165650261357,6.29974925936258,0.421232246349554,0.524161467036726,0.996955703535153
"b4412_hokC_16903_-1",-0.319049404574871,4.2164575282077,1.19660646416494,0.287135464693398,0.996955703535153
"b0019_nhaA_17489_1",0.0143614782099728,6.853787919791,0.0160989642183005,0.899927904112156,0.996955703535153
"b0020_nhaR_18715_1",0.123843328920866,8.24332703556721,0.783924366658256,0.384959339196734,0.996955703535153
"b0023_rpsT_21078_-1",-0.0626359139506558,6.11101673336812,0.169328452250067,0.684077282035266,0.996955703535153
"b0025_ribF_21407_1",-0.071476853276086,5.31222259343872,0.385573045919967,0.53958645479746,0.996955703535153
"b0026_ileS_22391_1",-0.107805386518217,7.56304498911335,0.907385093056344,0.348903592711038,0.996955703535153
"b0027_lspA_25207_1",-0.0612906510430411,2.44983835240476,0.0754003102803446,0.785617502102928,0.996955703535153
"b0028_fkpB_25826_1",-0.211006298619211,4.91938467165536,2.05051541500951,0.163066786277836,0.996955703535153
"b0029_ispH_26277_1",-0.0569046513250152,3.60895064423774,0.133148153783423,0.71789263969828,0.996955703535153
"b0030_rihC_27293_1",-0.163470670801789,6.29658150339731,3.07438069405022,0.0903210193061264,0.996955703535153
