"","logFC","logCPM","F","PValue","FDR"
"b1094_acpP_1151615_1",-2.86491835457153,8.76268061644259,289.004656326467,0.000000000000000650817609065369,0.00000000000270024226001221
"b3612_gpmM_3785260_1",-1.34929149606768,7.49258982593146,91.4482843188265,0.000000000221472309291039,0.00000045944430562426
"b3101_yqjF_3250562_1",-1.50752269101593,6.46083330736897,85.7366150589115,0.000000000446306336601881,0.000000617241663520402
"b2254_arnC_2367071_1",-1.2666296438885,5.79677010740952,61.5712485673033,0.0000000136628330745234,0.0000141717736065494
"b3449_ugpQ_3588113_-1",-0.937708362010995,5.00382401878466,30.3965843995407,0.00000651909556127357,0.00540954549674481
"b0505_allA_532451_1",0.528396117714467,8.53070421593223,17.8233607377444,0.000225851314257954,0.156176183809375
"b2498_upp_2620872_-1",-0.532868404651813,5.28616433331012,16.868542828411,0.000308273026297754,0.182717826587054
"b3779_gpp_3964229_-1",-0.402147443871858,9.01827047338196,14.8546850333137,0.000609148517629211,0.31591964995545
"b2456_eutN_2572050_-1",0.768068698838291,3.42941780515629,14.1715055023258,0.000773829684976957,0.35125913610707
"b3651_trmH_3824515_1",0.579381798131766,5.8017152061619,13.9180854599783,0.00084661155966997,0.35125913610707
"b1750_ydjX_1833401_1",-0.418611734178656,9.59488387679092,12.8156017727731,0.00126108420095844,0.47565803179787
"b2514_hisS_2640575_-1",0.518799447709243,6.12502222223067,11.3413563195778,0.00219236493195118,0.75801017522212
"b0005_yaaX_5234_1",0.182842174366783,8.31497326868612,2.45684618277953,0.128086782323561,0.911450156819245
"b0015_dnaJ_14168_1",0.316657427052092,6.24743577825078,3.42450693846611,0.0746610829940563,0.911450156819245
"b4412_hokC_16903_-1",0.85389709447066,4.2164575282077,2.87197672177479,0.105810924459629,0.911450156819245
"b0020_nhaR_18715_1",0.41079615573032,8.24332703556721,3.97723188083802,0.0579069730680323,0.911450156819245
"b0028_fkpB_25826_1",0.653295395582026,4.91938467165536,8.56620606599559,0.00667211422219931,0.911450156819245
"b0030_rihC_27293_1",0.225192641224931,6.29658150339731,2.72814269700227,0.109607118585802,0.911450156819245
"b0033_carB_30817_1",-0.36782304334689,4.02701692610606,3.04950346302994,0.0915690561038906,0.911450156819245
"b0036_caiD_36162_-1",0.19249883384176,9.42133742534417,2.69545170886984,0.111661482340094,0.911450156819245
"b0037_caiC_37824_-1",0.252395498956403,10.1128241804838,4.62837102868182,0.0400917387076445,0.911450156819245
"b0038_caiB_39115_-1",-0.271698527952333,8.35682417176042,5.35972396862584,0.0280422133492563,0.911450156819245
"b0045_yaaU_45807_1",-0.266144049996652,4.91669001317558,2.0752562879485,0.160636716482526,0.911450156819245
"b0059_rapA_63264_-1",0.307463424920134,5.55336104003613,2.25575729783404,0.144190500607765,0.911450156819245
"b0060_polB_65780_-1",-0.401442019910918,4.61481885609635,3.75276985713473,0.0627215717495478,0.911450156819245
"b0067_thiP_74521_-1",0.553575890637684,1.75370068434223,2.08282623640103,0.159901845256556,0.911450156819245
"b4662_sgrT_77388_1",0.300632814057775,5.15204896240917,2.13843770224339,0.154624326960723,0.911450156819245
"b0076_leuO_84368_1",0.249595350995335,6.65023881667119,2.51423142510617,0.123893159983906,0.911450156819245
"b0102_zapD_112599_-1",-0.195300259765734,5.68234642940616,2.2609832772048,0.143707237179191,0.911450156819245
"b0112_aroP_121551_-1",-0.302009750287732,5.69954661706355,3.35767999131488,0.0773950349811205,0.911450156819245
"b0113_pdhR_122092_1",-0.408777846241874,5.04288169985145,5.36759543937309,0.0279365381605239,0.911450156819245
"b0140_yadV_156201_-1",0.244513362792503,7.34405033135505,3.10835217313849,0.0886480055517226,0.911450156819245
"b0141_yadN_156883_-1",0.332937312917147,9.09358576042149,3.5629387498079,0.0708807859508161,0.911450156819245
"b0150_fhuA_167484_1",-0.222416363658382,5.45594931678183,2.34992634687413,0.136351633638758,0.911450156819245
"b0155_clcA_175107_1",-0.214977535201126,5.53795228266921,2.15678459489186,0.152928852953224,0.911450156819245
"b0159_mtn_179153_-1",0.384296912782309,4.77469529281378,5.17670535865392,0.0306278892440412,0.911450156819245
"b0160_dgt_179237_1",-0.29329182953738,4.48758929227088,1.98671278219034,0.169539411110472,0.911450156819245
"b0162_cdaR_182463_1",0.353197055967727,5.29947531535531,3.63321869185573,0.0668010238384659,0.911450156819245
"b0164_yaeI_185069_-1",0.415338694500868,4.15884664902182,3.76398006871137,0.062353650565623,0.911450156819245
"b0166_dapD_185947_-1",0.359459250061394,8.72469101421502,6.64117232043735,0.015438710118921,0.911450156819245
"b0209_yafD_231122_1",0.239832917410407,7.61396131291091,1.93639592172869,0.175339589018791,0.911450156819245
"b0212_gloB_234782_-1",-0.365436497977681,5.96478841649029,7.8044619690942,0.00923043676772208,0.911450156819245
"b0234_yafP_252709_1",0.398382479749865,5.68497905983419,6.39615759217838,0.017259703976135,0.911450156819245
"b0238_gpt_255977_1",-0.220477054783435,5.72928936589739,2.41332300998686,0.131378229356462,0.911450156819245
"b0239_frsA_256527_1",-0.384512614752356,3.64669886565295,2.2069132509021,0.148407657173703,0.911450156819245
"b0241_phoE_260100_-1",0.230927546810405,6.40049356077361,3.11477000724889,0.0883359315655834,0.911450156819245
"b4626_ykfN_263212_-1",0.192738082057458,8.40636913712354,3.45692309952002,0.0733744267092277,0.911450156819245
"b0248_yafX_265206_-1",-0.296835743510154,4.11666858503116,1.94652562532608,0.173774749611818,0.911450156819245
"b0261_mmuM_276715_1",-0.204116219168289,8.73414651627552,3.29496128816372,0.0800646050908076,0.911450156819245
"b0262_afuC_278802_-1",-0.245691625176944,5.69871357777424,3.06300334628235,0.0908893675806603,0.911450156819245
"b0271_yagH_286789_1",-0.284306431642116,7.30195972424252,3.44122313523745,0.0739944256690768,0.911450156819245
