MFE,peak_type
-5.2,random sequence
-6.7,random sequence
-3.9,random sequence
-12.6,random sequence
-9.0,random sequence
-0.2,random sequence
-7.1,random sequence
-13.2,random sequence
-12.3,random sequence
-4.1,random sequence
-3.0,random sequence
-14.7,random sequence
-9.5,random sequence
-8.4,random sequence
-5.3,random sequence
-5.9,random sequence
-8.6,random sequence
-8.2,random sequence
0.0,random sequence
-11.1,random sequence
-7.5,random sequence
-7.9,random sequence
-11.5,random sequence
-7.1,random sequence
-7.0,random sequence
-4.7,random sequence
-7.2,random sequence
-4.9,random sequence
-5.7,random sequence
-6.5,random sequence
-8.2,random sequence
-6.2,random sequence
-9.8,random sequence
-14.8,random sequence
-10.4,random sequence
-4.1,random sequence
-9.0,random sequence
-13.0,random sequence
-14.4,random sequence
-7.9,random sequence
-12.1,random sequence
-11.5,random sequence
-1.7,random sequence
-7.1,random sequence
-9.4,random sequence
-5.3,random sequence
-8.8,random sequence
-3.4,random sequence
-8.5,random sequence
-2.4,random sequence
-7.9,random sequence
-9.7,random sequence
-12.4,random sequence
-8.3,random sequence
-4.7,random sequence
-8.0,random sequence
-3.2,random sequence
-2.7,random sequence
-7.0,random sequence
-1.8,random sequence
-7.2,random sequence
-7.3,random sequence
-11.2,random sequence
-8.2,random sequence
-3.8,random sequence
-10.2,random sequence
-13.0,random sequence
-1.8,random sequence
-7.8,random sequence
-14.4,random sequence
-7.2,random sequence
-13.0,random sequence
-12.0,random sequence
-2.8,random sequence
-7.5,random sequence
-8.6,random sequence
-13.6,random sequence
-11.0,random sequence
-9.2,random sequence
-8.4,random sequence
-11.2,random sequence
-5.6,random sequence
-6.6,random sequence
-3.7,random sequence
-8.7,random sequence
-8.1,random sequence
-4.4,random sequence
-8.2,random sequence
-4.7,random sequence
-5.2,random sequence
-6.8,random sequence
-8.3,random sequence
-7.0,random sequence
-5.5,random sequence
-8.7,random sequence
-4.3,random sequence
-7.2,random sequence
-4.5,random sequence
-11.0,random sequence
-11.5,random sequence
-3.9,random sequence
-9.3,random sequence
-8.9,random sequence
-11.6,random sequence
-12.7,random sequence
-20.1,random sequence
-14.5,random sequence
-5.9,random sequence
-5.0,random sequence
-2.1,random sequence
-11.5,random sequence
-10.2,random sequence
-7.7,random sequence
-8.8,random sequence
-3.8,random sequence
-4.1,random sequence
-7.2,random sequence
-8.2,random sequence
-8.1,random sequence
-9.4,random sequence
-20.9,random sequence
-6.0,random sequence
-5.4,random sequence
-12.4,random sequence
-13.9,random sequence
-6.4,random sequence
-11.1,random sequence
-11.2,random sequence
-2.6,random sequence
-6.7,random sequence
-11.4,random sequence
-13.9,random sequence
-7.6,random sequence
-1.0,random sequence
-4.7,random sequence
-16.2,random sequence
-9.1,random sequence
-5.1,random sequence
-5.8,random sequence
-15.2,random sequence
-9.5,random sequence
-8.2,random sequence
-12.3,random sequence
-6.3,random sequence
-7.2,random sequence
-6.7,random sequence
-2.6,random sequence
-11.1,random sequence
-11.0,random sequence
-4.7,random sequence
-2.1,random sequence
-6.5,random sequence
-19.4,random sequence
-13.0,random sequence
-6.8,random sequence
-9.1,random sequence
-7.4,random sequence
-5.2,random sequence
-8.2,random sequence
-8.5,random sequence
-10.9,random sequence
-6.7,random sequence
-5.7,random sequence
-10.6,random sequence
-7.0,random sequence
-15.5,random sequence
-7.6,random sequence
-10.0,random sequence
