"","annot_site_detected","alt_site_detected","alt_site_detected_meydan","annot_site_detected_meydan","riboseq_reads_detected"
"b0001_190",FALSE,FALSE,FALSE,TRUE,TRUE
"b0002_337",TRUE,TRUE,TRUE,TRUE,TRUE
"b0003_2801",FALSE,FALSE,FALSE,FALSE,TRUE
"b0004_3734",TRUE,TRUE,FALSE,TRUE,TRUE
"b0005_5234",TRUE,FALSE,FALSE,FALSE,TRUE
"b0006_6459",FALSE,FALSE,FALSE,FALSE,TRUE
"b0007_7959",FALSE,FALSE,FALSE,FALSE,TRUE
"b0008_8238",TRUE,FALSE,FALSE,TRUE,TRUE
"b0009_9306",TRUE,FALSE,FALSE,TRUE,TRUE
"b0010_10494",TRUE,TRUE,FALSE,FALSE,TRUE
"b0011_11356",TRUE,TRUE,FALSE,FALSE,TRUE
"b0013_11786",FALSE,FALSE,FALSE,FALSE,FALSE
"b0014_12163",TRUE,FALSE,FALSE,TRUE,TRUE
"b0015_14168",TRUE,FALSE,FALSE,FALSE,TRUE
"b0016_15445",FALSE,FALSE,FALSE,FALSE,FALSE
"b0018_16960",FALSE,FALSE,FALSE,FALSE,TRUE
"b4412_16903",FALSE,TRUE,FALSE,FALSE,TRUE
"b0019_17489",TRUE,FALSE,FALSE,FALSE,TRUE
"b0020_18715",FALSE,TRUE,FALSE,TRUE,TRUE
"b0021_20314",FALSE,FALSE,FALSE,FALSE,FALSE
"b0022_20508",FALSE,FALSE,FALSE,FALSE,FALSE
"b0023_21078",TRUE,TRUE,FALSE,FALSE,TRUE
"b0024_21181",FALSE,FALSE,FALSE,FALSE,FALSE
"b0025_21407",TRUE,FALSE,FALSE,FALSE,TRUE
"b0026_22391",TRUE,FALSE,FALSE,TRUE,TRUE
"b0027_25207",FALSE,FALSE,FALSE,FALSE,FALSE
"b0028_25826",TRUE,FALSE,FALSE,FALSE,TRUE
"b0029_26277",FALSE,FALSE,FALSE,TRUE,TRUE
"b0030_27293",TRUE,FALSE,FALSE,FALSE,TRUE
"b0031_28374",TRUE,FALSE,FALSE,FALSE,TRUE
"b0032_29651",TRUE,TRUE,FALSE,TRUE,TRUE
"b0033_30817",TRUE,FALSE,FALSE,TRUE,TRUE
"b0034_34300",TRUE,FALSE,FALSE,FALSE,TRUE
"b0035_35371",FALSE,FALSE,FALSE,FALSE,TRUE
"b0036_36162",TRUE,FALSE,FALSE,FALSE,TRUE
"b0037_37824",TRUE,FALSE,FALSE,FALSE,TRUE
"b0038_39115",TRUE,FALSE,FALSE,FALSE,TRUE
"b0039_40386",TRUE,FALSE,FALSE,FALSE,TRUE
"b0040_41931",TRUE,FALSE,FALSE,FALSE,TRUE
"b0041_42403",TRUE,TRUE,FALSE,FALSE,TRUE
"b0042_43188",TRUE,FALSE,FALSE,FALSE,TRUE
"b0043_44180",FALSE,FALSE,FALSE,FALSE,FALSE
"b0044_45463",TRUE,FALSE,FALSE,FALSE,TRUE
"b0045_45807",FALSE,FALSE,FALSE,FALSE,TRUE
"b0046_47246",FALSE,FALSE,FALSE,FALSE,TRUE
"b0047_47769",FALSE,FALSE,FALSE,FALSE,TRUE
"b0048_49823",TRUE,FALSE,FALSE,TRUE,TRUE
"b0049_51222",FALSE,FALSE,FALSE,FALSE,TRUE
"b0050_51606",TRUE,FALSE,FALSE,FALSE,TRUE
"b0051_52430",TRUE,FALSE,FALSE,FALSE,TRUE
"b0052_53416",FALSE,FALSE,FALSE,FALSE,TRUE
"b0053_54702",TRUE,FALSE,FALSE,FALSE,TRUE
"b0054_57109",FALSE,TRUE,FALSE,FALSE,TRUE
"b0055_57364",TRUE,FALSE,FALSE,TRUE,TRUE
"b4659_58474",TRUE,TRUE,FALSE,TRUE,TRUE
"b4659_59052",FALSE,FALSE,FALSE,FALSE,TRUE
"b0058_60346",TRUE,TRUE,FALSE,FALSE,TRUE
"b0059_63264",TRUE,FALSE,FALSE,FALSE,TRUE
"b0060_65780",TRUE,FALSE,FALSE,FALSE,TRUE
"b0061_66550",TRUE,FALSE,FALSE,FALSE,TRUE
"b0062_68337",TRUE,FALSE,FALSE,FALSE,TRUE
"b0063_70048",TRUE,FALSE,FALSE,FALSE,TRUE
"b0064_70387",FALSE,FALSE,FALSE,FALSE,TRUE
"b0065_71351",FALSE,FALSE,FALSE,FALSE,TRUE
"b0066_72927",TRUE,TRUE,FALSE,FALSE,TRUE
"b0067_74521",FALSE,FALSE,FALSE,FALSE,FALSE
"b0068_75480",FALSE,FALSE,FALSE,FALSE,TRUE
"b0069_77299",FALSE,FALSE,FALSE,FALSE,TRUE
"b4662_77388",FALSE,TRUE,FALSE,FALSE,TRUE
"b0070_77621",FALSE,FALSE,FALSE,FALSE,TRUE
"b0071_79453",FALSE,FALSE,FALSE,FALSE,TRUE
"b0072_80864",FALSE,FALSE,FALSE,FALSE,TRUE
"b0073_81958",TRUE,FALSE,FALSE,FALSE,TRUE
"b0074_83529",FALSE,TRUE,FALSE,FALSE,TRUE
"b0075_83708",FALSE,FALSE,FALSE,FALSE,TRUE
"b0076_84368",FALSE,TRUE,FALSE,FALSE,TRUE
"b0077_85630",TRUE,FALSE,FALSE,FALSE,TRUE
"b0078_87357",TRUE,FALSE,FALSE,FALSE,TRUE
"b0080_88028",TRUE,TRUE,FALSE,TRUE,TRUE
"b0081_89634",FALSE,FALSE,FALSE,TRUE,TRUE
"b0082_90094",FALSE,FALSE,FALSE,FALSE,TRUE
"b0083_91032",FALSE,FALSE,FALSE,FALSE,TRUE
"b0084_91413",TRUE,FALSE,FALSE,TRUE,TRUE
"b0085_93166",TRUE,FALSE,FALSE,FALSE,TRUE
"b0086_94650",FALSE,FALSE,FALSE,TRUE,TRUE
"b0087_96002",TRUE,FALSE,FALSE,FALSE,TRUE
"b0088_97087",FALSE,FALSE,FALSE,FALSE,TRUE
"b0089_98403",FALSE,FALSE,FALSE,FALSE,TRUE
"b0090_99644",TRUE,FALSE,FALSE,TRUE,TRUE
"b0091_100765",TRUE,FALSE,FALSE,FALSE,TRUE
"b0092_102233",TRUE,FALSE,FALSE,TRUE,TRUE
"b0093_103155",FALSE,FALSE,FALSE,FALSE,TRUE
"b0094_103982",FALSE,FALSE,FALSE,TRUE,TRUE
"b0095_105305",TRUE,FALSE,FALSE,TRUE,TRUE
"b0096_106557",TRUE,FALSE,FALSE,TRUE,TRUE
"b0097_107705",TRUE,FALSE,FALSE,TRUE,TRUE
"b0098_108279",FALSE,FALSE,FALSE,FALSE,TRUE
"b0099_111044",TRUE,FALSE,FALSE,FALSE,TRUE
"b0101_111846",TRUE,FALSE,FALSE,FALSE,TRUE
"b0102_112599",TRUE,FALSE,FALSE,FALSE,TRUE
"b0103_113219",FALSE,TRUE,FALSE,FALSE,TRUE
"b0104_113444",TRUE,FALSE,FALSE,TRUE,TRUE
"b0106_115724",FALSE,FALSE,FALSE,FALSE,TRUE
"b0107_117099",TRUE,FALSE,FALSE,FALSE,TRUE
"b0108_117549",TRUE,FALSE,FALSE,FALSE,TRUE
"b0109_118645",FALSE,FALSE,FALSE,FALSE,TRUE
"b0110_118733",TRUE,FALSE,FALSE,TRUE,TRUE
"b0111_119281",TRUE,FALSE,FALSE,TRUE,TRUE
"b0112_121551",TRUE,FALSE,FALSE,FALSE,TRUE
"b0113_122092",FALSE,TRUE,FALSE,FALSE,TRUE
"b0114_123017",TRUE,FALSE,FALSE,TRUE,TRUE
"b0115_125695",TRUE,FALSE,FALSE,TRUE,TRUE
"b0116_127912",TRUE,FALSE,FALSE,TRUE,TRUE
"b0117_131260",TRUE,FALSE,FALSE,FALSE,TRUE
"b0118_131615",TRUE,FALSE,FALSE,TRUE,TRUE
"b0119_134388",TRUE,FALSE,FALSE,TRUE,TRUE
"b0120_135582",TRUE,FALSE,FALSE,FALSE,TRUE
