"","RNA_input"
"b0001_thrL_190_1",429
"b0002_thrA_337_1",301
"b0003_thrB_2801_1",680
"b0004_thrC_3734_1",2129
"b0005_yaaX_5234_1",959
"b0006_yaaA_6459_-1",1321
"b0007_yaaJ_7959_-1",813
"b0008_talB_8238_1",866
"b0009_mog_9306_1",4133
"b0010_satP_10494_-1",518
"b0011_yaaW_11356_-1",991
"b0013_yaaI_11786_-1",300
"b0014_dnaK_12163_1",1432
"b0015_dnaJ_14168_1",505
"b0016_insL1_15445_1",10
"b0018_mokC_16960_-1",1851
"b4412_hokC_16903_-1",5039
"b0019_nhaA_17489_1",1501
"b0020_nhaR_18715_1",2081
"b0021_insB1_20314_-1",13
"b0022_insA_20508_-1",17
"b0023_rpsT_21078_-1",506
"b0024_yaaY_21181_1",865
"b0025_ribF_21407_1",301
"b0026_ileS_22391_1",1957
"b0027_lspA_25207_1",882
"b0028_fkpB_25826_1",1017
"b0029_ispH_26277_1",449
"b0030_rihC_27293_1",314
"b0031_dapB_28374_1",196
"b0032_carA_29651_1",2836
"b0033_carB_30817_1",862
"b0034_caiF_34300_1",7436
"b0035_caiE_35371_-1",2552
"b0036_caiD_36162_-1",616
"b0037_caiC_37824_-1",1838
"b0038_caiB_39115_-1",709
"b0039_caiA_40386_-1",1285
"b0040_caiT_41931_-1",7138
"b0041_fixA_42403_1",2981
"b0042_fixB_43188_1",355
"b0043_fixC_44180_1",254
"b0044_fixX_45463_1",1403
"b0045_yaaU_45807_1",1362
"b0046_kefF_47246_1",737
"b0047_kefC_47769_1",6908
"b0048_folA_49823_1",1060
"b0049_apaH_51222_-1",872
"b0050_apaG_51606_-1",232
"b0051_rsmA_52430_-1",480
"b0052_pdxA_53416_-1",1981
"b0053_surA_54702_-1",607
"b0054_lptD_57109_-1",660
"b0055_djlA_57364_1",1404
"b4659_yabP_58474_1;b4659_yabP_59052_1",4870
"b0058_rluA_60346_-1",533
"b0059_rapA_63264_-1",1406
"b0060_polB_65780_-1",2264
"b0061_araD_66550_-1",2975
"b0062_araA_68337_-1",3906
"b0063_araB_70048_-1",1730
"b0064_araC_70387_1",982
"b0065_yabI_71351_1",1201
"b0066_thiQ_72927_-1",777
"b0067_thiP_74521_-1",213
"b0068_thiB_75480_-1",1221
"b0069_sgrR_77299_-1",459
"b4662_sgrT_77388_1",2614
"b0070_setA_77621_1",686
"b0071_leuD_79453_-1",1654
"b0072_leuC_80864_-1",524
"b0073_leuB_81958_-1",2174
"b0074_leuA_83529_-1",430
"b0075_leuL_83708_-1",471
"b0076_leuO_84368_1",2029
"b0077_ilvI_85630_1",415
"b0078_ilvH_87357_1",1233
"b0080_cra_88028_1",251
"b0081_mraZ_89634_1",260
"b0082_rsmH_90094_1",887
"b0083_ftsL_91032_1",10992
"b0084_ftsI_91413_1",1998
"b0085_murE_93166_1",3260
"b0086_murF_94650_1",1508
"b0087_mraY_96002_1",690
"b0088_murD_97087_1",356
"b0089_ftsW_98403_1",1004
"b0090_murG_99644_1",1263
"b0091_murC_100765_1",2966
"b0092_ddlB_102233_1",1992
"b0093_ftsQ_103155_1",1859
"b0094_ftsA_103982_1",354
"b0095_ftsZ_105305_1",829
"b0096_lpxC_106557_1",1157
"b0097_secM_107705_1",4574
"b0098_secA_108279_1",1086
"b0099_mutT_111044_1",752
"b0101_yacG_111846_-1",260
"b0102_zapD_112599_-1",4566
"b0103_coaE_113219_-1",4725
"b0104_guaC_113444_1",1850
"b0106_hofC_115724_-1",21904
"b0107_hofB_117099_-1",2762
"b0108_ppdD_117549_-1",2888
"b0109_nadC_118645_-1",1064
"b0110_ampD_118733_1",756
"b0111_ampE_119281_1",2238
"b0112_aroP_121551_-1",488
"b0113_pdhR_122092_1",423
"b0114_aceE_123017_1",414
"b0115_aceF_125695_1",629
"b0116_lpd_127912_1",4390
"b0117_yacH_131260_-1",3404
"b0118_acnB_131615_1",5399
"b0119_yacL_134388_1",256
"b0120_speD_135582_-1",536
"b0121_speE_136464_-1",3643
"b0122_yacC_136917_-1",877
"b0123_cueO_137083_1",1307
"b0124_gcd_141225_-1",4429
"b0125_hpt_141431_1",2701
"b0126_can_142670_-1",1474
"b0127_yadG_142779_1",6526
"b0128_yadH_143702_1",1928
"b0129_yadI_144577_1",1814
"b0130_yadE_145081_1",3769
"b0131_panD_146694_-1",1089
"b0132_yadD_146968_1",2018
"b0133_panC_148795_-1",12916
"b0134_panB_149601_-1",2065
"b0135_yadC_150953_-1",2487
"b0136_yadK_151599_-1",3325
"b0137_yadL_152231_-1",6385
"b0138_yadM_152812_-1",2818
"b0139_htrE_155426_-1",1623
"b0140_yadV_156201_-1",2686
"b0141_yadN_156883_-1",2412
"b0142_folK_157732_-1",2119
"b0143_pcnB_159126_-1",3656
"b0144_gluQ_160112_-1",830
"b0145_dksA_160604_-1",2252
"b0146_sfsA_161486_-1",374
"b0147_ligT_162031_-1",821
"b0148_hrpB_162105_1",3586
"b0149_mrcB_164730_1",742
"b0150_fhuA_167484_1",1863
"b0151_fhuC_169778_1",988
"b0152_fhuD_170575_1",475
"b0153_fhuB_171462_1",3199
"b0154_hemL_174882_-1",181
"b0155_clcA_175107_1",1600
"b0156_erpA_176610_1",879
"b0157_yadS_177624_-1",419
"b0158_btuF_178462_-1",2229
"b0159_mtn_179153_-1",783
"b0160_dgt_179237_1",205
"b0161_degP_180884_1",679
"b0162_cdaR_182463_1",1154
"b0163_yaeH_184095_-1",1465
"b0164_yaeI_185069_-1",330
"b0166_dapD_185947_-1",1496
"b0167_glnD_188650_-1",667
"b0168_map_189506_-1",1718
"b0169_rpsB_189874_1",4561
"b0170_tsf_190857_1",585
"b0171_pyrH_191855_1",2285
"b0172_frr_192872_1",9990
"b0173_dxr_193521_1",519
"b0174_ispU_194903_1",588
"b0175_cdsA_195677_1",898
"b0176_rseP_196546_1",760
"b0177_bamA_197928_1",2825
"b0178_skp_200482_1",1013
