"","rna_type","counts","sample","condition","norm_fac","cpm_counts"
"1","rRNA",47787,"no_PNA_01","no_PNA",8.254379,5789.29075100622
"2","tRNA",891223,"no_PNA_01","no_PNA",8.254379,107969.721283697
"3","mRNA",7315369,"no_PNA_01","no_PNA",8.254379,886240.987965297
"4","rRNA",63882,"no_PNA_07","no_PNA",9.994719,6391.57539096397
"5","tRNA",1067554,"no_PNA_07","no_PNA",9.994719,106811.807315443
"6","mRNA",8863283,"no_PNA_07","no_PNA",9.994719,886796.617293593
"7","rRNA",49287,"no_PNA_13","no_PNA",9.43756,5222.43037395259
"8","tRNA",1112321,"no_PNA_13","no_PNA",9.43756,117861.078499104
"9","mRNA",8275952,"no_PNA_13","no_PNA",9.43756,876916.491126944
"10","rRNA",43079,"PNA14_5000pM_06","PNA14_5000pM",10.566175,4077.06667739272
"11","tRNA",1333403,"PNA14_5000pM_06","PNA14_5000pM",10.566175,126195.430229009
"12","mRNA",9189693,"PNA14_5000pM_06","PNA14_5000pM",10.566175,869727.503093598
"13","rRNA",52148,"PNA14_5000pM_12","PNA14_5000pM",9.821796,5309.41591537841
"14","tRNA",841361,"PNA14_5000pM_12","PNA14_5000pM",9.821796,85662.6425553941
"15","mRNA",8928287,"PNA14_5000pM_12","PNA14_5000pM",9.821796,909027.941529227
"16","rRNA",43598,"PNA14_5000pM_18","PNA14_5000pM",10.066016,4331.2071031876
"17","tRNA",1456795,"PNA14_5000pM_18","PNA14_5000pM",10.066016,144724.08945108
"18","mRNA",8565623,"PNA14_5000pM_18","PNA14_5000pM",10.066016,850944.703445733
"19","rRNA",56552,"PNA15_100pM_04","PNA15_100pM",10.644343,5312.86900469104
"20","tRNA",1238731,"PNA15_100pM_04","PNA15_100pM",10.644343,116374.585073029
"21","mRNA",9349060,"PNA15_100pM_04","PNA15_100pM",10.644343,878312.54592228
"22","rRNA",42441,"PNA15_100pM_10","PNA15_100pM",6.928433,6125.62754088839
"23","tRNA",655752,"PNA15_100pM_10","PNA15_100pM",6.928433,94646.5095354173
"24","mRNA",6230240,"PNA15_100pM_10","PNA15_100pM",6.928433,899227.862923694
"25","rRNA",50739,"PNA15_100pM_16","PNA15_100pM",10.755403,4717.53592124814
"26","tRNA",1481724,"PNA15_100pM_16","PNA15_100pM",10.755403,137765.549091931
"27","mRNA",9222940,"PNA15_100pM_16","PNA15_100pM",10.755403,857516.914986821
"28","rRNA",52364,"PNA15_10pM_05","PNA15_10pM",10.717822,4885.69412703439
"29","tRNA",1378268,"PNA15_10pM_05","PNA15_10pM",10.717822,128595.903160176
"30","mRNA",9287190,"PNA15_10pM_05","PNA15_10pM",10.717822,866518.40271279
"31","rRNA",65427,"PNA15_10pM_11","PNA15_10pM",7.068367,9256.3105452787
"32","tRNA",744601,"PNA15_10pM_11","PNA15_10pM",7.068367,105342.71918818
"33","mRNA",6258339,"PNA15_10pM_11","PNA15_10pM",7.068367,885400.970266541
"34","rRNA",45467,"PNA15_10pM_17","PNA15_10pM",11.018579,4126.39415663308
"35","tRNA",1625157,"PNA15_10pM_17","PNA15_10pM",11.018579,147492.430739027
"36","mRNA",9347955,"PNA15_10pM_17","PNA15_10pM",11.018579,848381.17510434
"37","rRNA",45636,"PNA15_5000pM_02","PNA15_5000pM",11.523786,3960.15684428711
"38","tRNA",1287867,"PNA15_5000pM_02","PNA15_5000pM",11.523786,111757.281851641
"39","mRNA",10190283,"PNA15_5000pM_02","PNA15_5000pM",11.523786,884282.561304071
"40","rRNA",42110,"PNA15_5000pM_08","PNA15_5000pM",6.395903,6583.90222615947
"41","tRNA",742032,"PNA15_5000pM_08","PNA15_5000pM",6.395903,116016.76885969
"42","mRNA",5611761,"PNA15_5000pM_08","PNA15_5000pM",6.395903,877399.32891415
"43","rRNA",53255,"PNA15_5000pM_14","PNA15_5000pM",10.275432,5182.75046732828
"44","tRNA",1265992,"PNA15_5000pM_14","PNA15_5000pM",10.275432,123205.720207189
"45","mRNA",8956185,"PNA15_5000pM_14","PNA15_5000pM",10.275432,871611.529325482
"46","rRNA",57604,"PNA15_500pM_03","PNA15_500pM",10.562863,5453.44571826786
"47","tRNA",1494436,"PNA15_500pM_03","PNA15_500pM",10.562863,141480.20285788
"48","mRNA",9010823,"PNA15_500pM_03","PNA15_500pM",10.562863,853066.351423852
"49","rRNA",47722,"PNA15_500pM_09","PNA15_500pM",9.859068,4840.41696436215
"50","tRNA",882861,"PNA15_500pM_09","PNA15_500pM",9.859068,89548.1195585627
"51","mRNA",8928485,"PNA15_500pM_09","PNA15_500pM",9.859068,905611.463477075
"52","rRNA",42227,"PNA15_500pM_15","PNA15_500pM",11.350126,3720.39922728611
"53","tRNA",1351143,"PNA15_500pM_15","PNA15_500pM",11.350126,119042.114598552
"54","mRNA",9956756,"PNA15_500pM_15","PNA15_500pM",11.350126,877237.486174162
"55","rRNA",15,"RNA_input_control_73","RNA_input_control",10.564431,1.41985876948792
"56","tRNA",134,"RNA_input_control_73","RNA_input_control",10.564431,12.6840716740921
"57","mRNA",10564282,"RNA_input_control_73","RNA_input_control",10.564431,999985.896069556
