"","rna_type","counts","sample","condition","norm_fac","cpm_counts"
"1","rRNA",4135012,"6448.06.beginning.1000nM_S6","beginning.1000nM",4.516116,915612.442195905
"2","tRNA",179750,"6448.06.beginning.1000nM_S6","beginning.1000nM",4.516116,39801.9005711988
"3","mRNA",201354,"6448.06.beginning.1000nM_S6","beginning.1000nM",4.516116,44585.6572328966
"4","rRNA",3441858,"6447.05.beginning.100nM_S5","beginning.100nM",3.585732,959875.975114705
"5","tRNA",77391,"6447.05.beginning.100nM_S5","beginning.100nM",3.585732,21583.0407849778
"6","mRNA",66483,"6447.05.beginning.100nM_S5","beginning.100nM",3.585732,18540.9841003176
"7","rRNA",3830874,"6446.04.beginning.ctrl_S4","beginning.ctrl",4.162218,920392.444605256
"8","tRNA",148276,"6446.04.beginning.ctrl_S4","beginning.ctrl",4.162218,35624.2753262804
"9","mRNA",183068,"6446.04.beginning.ctrl_S4","beginning.ctrl",4.162218,43983.2800684635
"10","rRNA",4781716,"6445.03.later.1000nM_S3","later.1000nM",5.336394,896057.524987848
"11","tRNA",290547,"6445.03.later.1000nM_S3","later.1000nM",5.336394,54446.3171197629
"12","mRNA",264131,"6445.03.later.1000nM_S3","later.1000nM",5.336394,49496.1578923895
"13","rRNA",3649375,"6444.02.later.100nM_S2","later.100nM",4.042739,902698.640698794
"14","tRNA",187638,"6444.02.later.100nM_S2","later.100nM",4.042739,46413.5824746539
"15","mRNA",205726,"6444.02.later.100nM_S2","later.100nM",4.042739,50887.7768265525
"16","rRNA",4174117,"6443.01.later.ctrl_S1","later.ctrl",4.584525,910479.71163861
"17","tRNA",210053,"6443.01.later.ctrl_S1","later.ctrl",4.584525,45817.8328180128
"18","mRNA",200355,"6443.01.later.ctrl_S1","later.ctrl",4.584525,43702.4555433769
"19","rRNA",445405,"Undetermined_S0","Undetermined",0.486573,915391.935023111
"20","tRNA",20108,"Undetermined_S0","Undetermined",0.486573,41325.7620130998
"21","mRNA",21060,"Undetermined_S0","Undetermined",0.486573,43282.3029637896
