"","logFC","logCPM","F","PValue","FDR"
"b0001_thrL_190_1",0.054505706105512,6.75729151671934,0.0975054882838203,0.75715806019617,0.99934089288657
"b0002_thrA_337_1",-0.0410638371789198,8.15360637958381,0.239260468537165,0.628551457873233,0.99934089288657
"b0003_thrB_2801_1",-0.0345216993818005,6.89186430749282,0.0510684359370815,0.822856283880593,0.99934089288657
"b0004_thrC_3734_1",-0.066476502505683,6.71114962571594,0.464523526112704,0.501117566533495,0.99934089288657
"b0005_yaaX_5234_1",-0.0434343727356547,8.31489641954778,0.195113090958963,0.662088094779312,0.99934089288657
"b0006_yaaA_6459_-1",0.101289630349248,3.09864318446892,0.35403347202548,0.556618249995696,0.99934089288657
"b0007_yaaJ_7959_-1",0.02918411755529,5.60181495268543,0.051934023442026,0.821387809472924,0.99934089288657
"b0008_talB_8238_1",-0.0938353444358318,6.52160613890747,0.613329411265739,0.440112590884186,0.99934089288657
"b0009_mog_9306_1",-0.217496098925832,7.49851660600087,0.990248661825228,0.328205900239271,0.99934089288657
"b0010_satP_10494_-1",-0.0653734844987111,6.99482906752974,0.452739679073403,0.5065536693364,0.99934089288657
"b0011_yaaW_11356_-1",0.142479351037397,6.02035578710068,1.11950639965921,0.299069888479221,0.99934089288657
"b0013_yaaI_11786_-1",-0.201979164258038,1.24953344456413,0.530632800734207,0.472391080812735,0.99934089288657
"b0014_dnaK_12163_1",0.081243195347822,9.39026376093304,0.379054365952829,0.543083437006195,0.99934089288657
"b0015_dnaJ_14168_1",0.121936974562351,6.24737278959425,0.783572633726858,0.383591290486479,0.99934089288657
"b0018_mokC_16960_-1",-0.379272254670109,6.30185748923068,2.57822097152938,0.119566646797821,0.99934089288657
"b4412_hokC_16903_-1",-0.0663940342930262,4.21244703592017,0.0212580538665233,0.885445783626129,0.99934089288657
"b0019_nhaA_17489_1",0.18153996212914,6.85302580922279,1.77819173880128,0.193121241259108,0.99934089288657
"b0020_nhaR_18715_1",0.129070820168039,8.24177713251834,0.897308302870088,0.351610342676307,0.99934089288657
"b0023_rpsT_21078_-1",-0.0874087351878989,6.11342296151943,0.237990294752072,0.629460527849559,0.99934089288657
"b0024_yaaY_21181_1",0.217027945989681,1.2868275975162,0.743318147531016,0.401302678194769,0.99934089288657
"b0025_ribF_21407_1",-0.181010024434882,5.31522872861264,1.78473889964461,0.192328246091572,0.99934089288657
"b0026_ileS_22391_1",-0.106077940246784,7.56395978452893,0.808343058587802,0.376279436147478,0.99934089288657
"b0027_lspA_25207_1",-0.0351325243179881,2.45692758085983,0.027497748430182,0.86948691572062,0.99934089288657
"b0028_fkpB_25826_1",-0.0512976129460666,4.91750000146987,0.0760722310679671,0.784718372325488,0.99934089288657
"b0029_ispH_26277_1",-0.0546553276902963,3.6136727788203,0.140766026920542,0.710348398846512,0.99934089288657
"b0030_rihC_27293_1",-0.124542679936109,6.29677918030142,0.985640092977109,0.329314745427613,0.99934089288657
"b0031_dapB_28374_1",-0.115690183391191,5.97211102066735,1.43320259003607,0.241282221184082,0.99934089288657
"b0032_carA_29651_1",-0.0107586617427835,6.50728900908088,0.00636987982804673,0.936954985525198,0.99934089288657
"b0033_carB_30817_1",-0.152902433936769,4.02693846562,1.43970426714068,0.240243822670413,0.99934089288657
"b0034_caiF_34300_1",-0.0623554160875832,9.52282876424426,0.438986905366964,0.513030362331827,0.99934089288657
"b0035_caiE_35371_-1",-0.121518904249128,4.04028134544592,0.918514929206073,0.346069898921154,0.99934089288657
"b0036_caiD_36162_-1",0.00886644444568133,9.42176280470713,0.00856707853721442,0.926913531126794,0.99934089288657
"b0037_caiC_37824_-1",0.134004263979663,10.1135222099546,1.32730860547603,0.259028785729846,0.99934089288657
"b0038_caiB_39115_-1",0.023380380021849,8.35701075162909,0.0662846629207775,0.798708288909449,0.99934089288657
"b0039_caiA_40386_-1",0.0607339229314304,7.50594232115613,0.320536744874985,0.575796246045672,0.99934089288657
"b0040_caiT_41931_-1",0.113369772973404,8.38249177204258,0.677254579069682,0.417489270905925,0.99934089288657
"b0041_fixA_42403_1",0.0561873212109745,7.95508016760947,0.18272869029079,0.67230896216912,0.99934089288657
"b0042_fixB_43188_1",-0.175587107841675,7.31876850849247,1.29199385857994,0.265317636340178,0.99934089288657
"b0043_fixC_44180_1",0.24221533226944,2.32237269284821,0.780375560663516,0.384550098159211,0.99934089288657
"b0044_fixX_45463_1",-0.0488929037205723,7.16274821518994,0.26801740560694,0.608732140193363,0.99934089288657
"b0045_yaaU_45807_1",-0.0143625930135261,4.91515349300997,0.0147612573458914,0.904166184550938,0.99934089288657
"b0046_kefF_47246_1",-0.0822823553383874,5.39476012893647,0.459904506154439,0.503236208706522,0.99934089288657
"b0047_kefC_47769_1",0.0084537109236883,4.8258097270012,0.00285535062932954,0.9577644517697,0.99934089288657
"b0048_folA_49823_1",0.0835139822210339,8.13067342918414,0.999181816134259,0.326071099060992,0.99934089288657
"b0049_apaH_51222_-1",0.115988900790848,3.42675120877712,0.465634204907069,0.500610436993584,0.99934089288657
"b0050_apaG_51606_-1",-0.0769894998998809,7.3252654318023,0.53688160721267,0.469819227293493,0.99934089288657
"b0051_rsmA_52430_-1",0.0964264222190745,4.76086338229146,0.664406565010496,0.421889515372313,0.99934089288657
"b0052_pdxA_53416_-1",-0.595035475292368,2.88971934765464,3.76663419345513,0.0624155015616822,0.99934089288657
"b0053_surA_54702_-1",0.0831145717927218,8.54483914572427,0.647827606412207,0.427673832921721,0.99934089288657
"b0054_lptD_57109_-1",-0.024279686530309,5.33069598197202,0.023233789093176,0.879943997883119,0.99934089288657
"b0055_djlA_57364_1",0.0292087900511586,6.97520734600135,0.0576339590327341,0.812024719048307,0.99934089288657
"b4659_yabP_58474_1;b4659_yabP_59052_1",0.0914550562507556,8.55109607567456,1.02452455200194,0.320117345629328,0.99934089288657
"b0058_rluA_60346_-1",-0.0280995994959467,7.29148596718859,0.0768484423665804,0.783651474194395,0.99934089288657
"b0059_rapA_63264_-1",0.0521594990426763,5.55386442207675,0.117257810194636,0.734585654813835,0.99934089288657
"b0060_polB_65780_-1",-0.305427604859497,4.6151234853754,3.95723159749725,0.0565222683910518,0.99934089288657
"b0061_araD_66550_-1",0.0451021477393994,9.81087685978055,0.247405541509866,0.622792354776595,0.99934089288657
"b0062_araA_68337_-1",0.0149759022828271,7.54029672405729,0.0187078939148115,0.892186171160086,0.99934089288657
"b0063_araB_70048_-1",-0.0390541647478937,9.89540799795924,0.0812251926294041,0.777741809999819,0.99934089288657
"b0064_araC_70387_1",-0.138504093164452,4.0960525487121,0.726290743564613,0.401320594611701,0.99934089288657
"b0065_yabI_71351_1",-0.286235668449923,3.34021605715021,2.35803463638995,0.135865507381852,0.99934089288657
"b0066_thiQ_72927_-1",0.133674326317027,5.40850765605432,0.443445060569163,0.51091489433378,0.99934089288657
"b0067_thiP_74521_-1",0.153431955399708,1.76252236453954,0.391350047093624,0.536657804066412,0.99934089288657
"b0068_thiB_75480_-1",-0.388949625201383,4.00118993721722,6.88309858594342,0.0139276076849554,0.99934089288657
"b0069_sgrR_77299_-1",-0.234049327133869,3.46578284765761,2.09953698711647,0.158453986870465,0.99934089288657
"b4662_sgrT_77388_1",-0.130425589846587,5.15466925029237,0.809536451488743,0.375932297458484,0.99934089288657
"b0070_setA_77621_1",0.0533400189136752,3.28537278559443,0.0703795470514086,0.792728810076653,0.99934089288657
"b0071_leuD_79453_-1",-0.0794476165137792,5.00060455618601,0.321638860661064,0.575144400100812,0.99934089288657
"b0072_leuC_80864_-1",0.0959518946731365,4.1407616654294,0.352879991435915,0.557257805959351,0.99934089288657
"b0073_leuB_81958_-1",0.0636493526852085,9.47383956312513,0.370857464348406,0.547447903343557,0.99934089288657
"b0074_leuA_83529_-1",-0.0974061578641132,5.36180212855258,0.705000896536159,0.408222152157408,0.99934089288657
"b0075_leuL_83708_-1",0.256882596528917,3.47901437585593,2.39906525143749,0.13264019460074,0.99934089288657
"b0076_leuO_84368_1",0.155187194822137,6.65077827834979,1.24566984496747,0.273870126104741,0.99934089288657
"b0077_ilvI_85630_1",-0.0121006959324629,7.74397800661401,0.0130255973424718,0.90994957669639,0.99934089288657
"b0078_ilvH_87357_1",-0.085531638101845,5.09046993010286,0.372744004094172,0.546437546900653,0.99934089288657
"b0080_cra_88028_1",-0.273556741974202,5.53738492038361,3.12124963926302,0.0881806578589774,0.99934089288657
"b0081_mraZ_89634_1",-0.248796761110295,3.95446109340954,2.7203458037776,0.110254970338987,0.99934089288657
"b0082_rsmH_90094_1",-0.0243007435222977,3.4850019408667,0.0253256377434967,0.874700933509094,0.99934089288657
"b0083_ftsL_91032_1",-0.165424555760051,3.50945045055034,0.855976485892786,0.362774488223373,0.99934089288657
"b0084_ftsI_91413_1",-0.0632571652700096,6.1434026579147,0.177886807647955,0.676416945613392,0.99934089288657
"b0085_murE_93166_1",-0.201139018588424,5.6656054421267,1.56808966838319,0.220846030125581,0.99934089288657
"b0086_murF_94650_1",-0.111338285435238,2.78128069127414,0.36407729475211,0.551108588525419,0.99934089288657
"b0087_mraY_96002_1",0.0536439306040886,8.44783524808159,0.163097262312467,0.689389407478463,0.99934089288657
"b0088_murD_97087_1",0.0116379881727692,3.86649305374987,0.00930554950677999,0.944906100171754,0.99934089288657
"b0089_ftsW_98403_1",0.00227289722992742,3.12384896718503,0.000173400298674382,0.989587036515517,0.99934089288657
"b0090_murG_99644_1",-0.101899440300294,7.94703876189693,0.505515890336241,0.482968917059769,0.99934089288657
"b0091_murC_100765_1",-0.0844642760420605,8.20889859578377,0.559313230604978,0.460773993892884,0.99934089288657
"b0092_ddlB_102233_1",0.0488190639474597,6.12301330604045,0.0828229274107802,0.775627584232548,0.99934089288657
"b0093_ftsQ_103155_1",0.1298651598761,4.01930449599293,0.873601844102841,0.357953071312835,0.99934089288657
"b0094_ftsA_103982_1",-0.0980255002541583,3.51900848721736,0.402031912534831,0.531189215968636,0.99934089288657
"b0095_ftsZ_105305_1",0.0132514923262496,8.27094132813835,0.0110928153928507,0.916871021195181,0.99934089288657
"b0096_lpxC_106557_1",-0.0419330462310943,8.72334991480984,0.107037686167107,0.745976166712205,0.99934089288657
"b0097_secM_107705_1",0.0270248491688893,7.23315988250518,0.060742476006981,0.807124568330219,0.99934089288657
"b0098_secA_108279_1",-0.0031844426023406,4.72169622083852,0.000526231078187886,0.981861088502117,0.99934089288657
"b0099_mutT_111044_1",-0.0300366836214684,5.99795887457263,0.0665809022304496,0.798269191507603,0.99934089288657
"b0101_yacG_111846_-1",0.136018463797531,5.98739104459362,1.05847999610041,0.312369950012586,0.99934089288657
"b0102_zapD_112599_-1",-0.00443046041843063,5.68152823634432,0.00255663976213756,0.96003263042415,0.99934089288657
"b0103_coaE_113219_-1",-0.100931124490474,7.17851349501923,0.395194571258815,0.534677659020527,0.99934089288657
"b0104_guaC_113444_1",-0.0837772399243316,4.6386673562168,0.438561363674918,0.513233101332513,0.99934089288657
