"","logFC","logCPM","F","PValue","FDR"
"b0001_thrL_190_1",-0.121951058292403,6.75729151671934,0.479079019906675,0.494541410376669,0.999373968642311
"b0002_thrA_337_1",-0.0230012362047129,8.15360637958381,0.0749139371044399,0.786321415241973,0.999373968642311
"b0003_thrB_2801_1",0.1382716712657,6.89186430749282,0.823019223960589,0.372042377905013,0.999373968642311
"b0004_thrC_3734_1",-0.0578568213666361,6.71114962571594,0.349222128358909,0.559295386204128,0.999373968642311
"b0005_yaaX_5234_1",-0.132379909636335,8.31489641954778,1.79687649476848,0.19086862308728,0.999373968642311
"b0006_yaaA_6459_-1",0.174438959429022,3.09864318446892,1.03000059661577,0.31885038847357,0.999373968642311
"b0007_yaaJ_7959_-1",0.0743841233630506,5.60181495268543,0.3347839580703,0.56748208189331,0.999373968642311
"b0008_talB_8238_1",0.0394350875951976,6.52160613890747,0.108509246469657,0.744299815036686,0.999373968642311
"b0009_mog_9306_1",-0.494747044267153,7.49851660600087,4.98870719736084,0.0336835857921693,0.999373968642311
"b0010_satP_10494_-1",-0.0106772404395335,6.99482906752974,0.0120605763552793,0.913335114679999,0.999373968642311
"b0011_yaaW_11356_-1",0.0383985089353448,6.02035578710068,0.0799449526897985,0.779452227932774,0.999373968642311
"b0013_yaaI_11786_-1",0.116308986180474,1.24953344456413,0.182585295405487,0.681080889907023,0.999373968642311
"b0014_dnaK_12163_1",0.029465319902019,9.39026376093304,0.0496314344887113,0.825323390324551,0.999373968642311
"b0015_dnaJ_14168_1",0.106068296627694,6.24737278959425,0.587004695886271,0.449992357790412,0.999373968642311
"b0018_mokC_16960_-1",-0.314691316557073,6.30185748923068,1.75665146033336,0.195758565566411,0.999373968642311
"b4412_hokC_16903_-1",-0.346092850845105,4.21244703592017,0.544546540855622,0.46858750710856,0.999373968642311
"b0019_nhaA_17489_1",0.00768592000765851,6.85302580922279,0.00312836876568189,0.955793419177186,0.999373968642311
"b0020_nhaR_18715_1",0.0761013494503534,8.24177713251834,0.310006801607187,0.582100377300204,0.999373968642311
"b0023_rpsT_21078_-1",0.147088267724527,6.11342296151943,0.67862386577234,0.41702445912999,0.999373968642311
"b0024_yaaY_21181_1",-0.308382996924795,1.2868275975162,1.23409145353238,0.288773759259892,0.999373968642311
"b0025_ribF_21407_1",-0.0343459544616624,5.31522872861264,0.0642613876864928,0.801735697819701,0.999373968642311
"b0026_ileS_22391_1",0.0288667372295785,7.56395978452893,0.0601187168089842,0.808096970714442,0.999373968642311
"b0027_lspA_25207_1",0.468546450257698,2.45692758085983,5.22933405182376,0.0299757356926406,0.999373968642311
"b0028_fkpB_25826_1",-0.148866956730474,4.91750000146987,0.62410654326926,0.436166574360232,0.999373968642311
"b0029_ispH_26277_1",-0.11901080072167,3.6136727788203,0.639228495005013,0.430722517272494,0.999373968642311
"b0030_rihC_27293_1",-0.13257192659017,6.29677918030142,1.10802398350388,0.30151352297607,0.999373968642311
"b0031_dapB_28374_1",-0.106066402423727,5.97211102066735,1.19365934736542,0.283906125150874,0.999373968642311
"b0032_carA_29651_1",0.106677003984795,6.50728900908088,0.626909667672485,0.435149323540172,0.999373968642311
"b0033_carB_30817_1",-0.0826655761367095,4.02693846562,0.414711196360946,0.524829526070273,0.999373968642311
"b0034_caiF_34300_1",-0.0276159535875282,9.52282876424426,0.0861752136660066,0.771262479635672,0.999373968642311
"b0035_caiE_35371_-1",-0.0492712909153256,4.04028134544592,0.148463503632699,0.702920322859372,0.999373968642311
"b0036_caiD_36162_-1",0.00264689535185107,9.42176280470713,0.000762268498699883,0.978169721908461,0.999373968642311
"b0037_caiC_37824_-1",0.0193195845832858,10.1135222099546,0.0273818839204416,0.869759577458422,0.999373968642311
"b0038_caiB_39115_-1",0.0951681142367812,8.35701075162909,1.10041515229968,0.303147527713424,0.999373968642311
"b0039_caiA_40386_-1",0.0602271763231286,7.50594232115613,0.313979281215058,0.57970571653123,0.999373968642311
"b0040_caiT_41931_-1",-0.0949865749280276,8.38249177204258,0.46788332660884,0.499586226676198,0.999373968642311
"b0041_fixA_42403_1",0.0724801111534178,7.95508016760947,0.303166326432616,0.586271690504855,0.999373968642311
"b0042_fixB_43188_1",-0.11600241661309,7.31876850849247,0.564430813897874,0.458750208650578,0.999373968642311
"b0043_fixC_44180_1",0.0733802036759089,2.32237269284821,0.0665725133491619,0.798281611453898,0.999373968642311
"b0044_fixX_45463_1",0.0196316798405193,7.16274821518994,0.0431804403868013,0.836890248414489,0.999373968642311
"b0045_yaaU_45807_1",0.080829541878454,4.91515349300997,0.462955262397373,0.501835149753771,0.999373968642311
"b0046_kefF_47246_1",-0.01795541830572,5.39476012893647,0.0217168294845183,0.883899154340879,0.999373968642311
"b0047_kefC_47769_1",-0.0123967575016282,4.8258097270012,0.00600966174345472,0.93875972651322,0.999373968642311
"b0048_folA_49823_1",0.0775285267839137,8.13067342918414,0.857955774081946,0.36222845921817,0.999373968642311
"b0049_apaH_51222_-1",0.241109302576783,3.42675120877712,1.99209434556677,0.169140550132979,0.999373968642311
"b0050_apaG_51606_-1",-0.063021332288145,7.3252654318023,0.358205679173794,0.554316727852145,0.999373968642311
"b0051_rsmA_52430_-1",0.0630902108466647,4.76086338229146,0.278133392297768,0.602082412885586,0.999373968642311
"b0052_pdxA_53416_-1",-0.240150231475689,2.88971934765464,0.636050252494107,0.431857877158927,0.999373968642311
"b0053_surA_54702_-1",0.0370110377203624,8.54483914572427,0.127742726881509,0.72346458386989,0.999373968642311
"b0054_lptD_57109_-1",-0.140213496775942,5.33069598197202,0.755991443483181,0.391980134458764,0.999373968642311
"b0055_djlA_57364_1",0.0337610277436778,6.97520734600135,0.0765338635644505,0.784083157162278,0.999373968642311
"b4659_yabP_58474_1;b4659_yabP_59052_1",0.0435028742835166,8.55109607567456,0.230588093468674,0.634819232890139,0.999373968642311
