TIS_type,MFE
novel,-2.4
novel,-3.1
novel,0.0
novel,-0.6
novel,-1.1
novel,-2.0
novel,-1.0
novel,-3.7
novel,0.0
novel,-0.2
novel,-1.6
novel,-3.0
novel,-9.1
novel,-3.2
novel,-3.1
novel,0.0
novel,-0.7
novel,-0.9
novel,-2.9
novel,-0.4
novel,-1.7
novel,-2.0
novel,-1.3
novel,-1.8
novel,0.0
novel,-1.6
novel,-1.7
novel,0.0
novel,-0.4
novel,-3.0
novel,0.0
novel,-2.6
novel,-4.3
novel,-1.2
novel,-4.4
novel,0.0
novel,0.0
novel,-2.4
novel,-2.3
novel,0.0
novel,-0.3
novel,-0.9
novel,0.0
novel,-0.6
novel,-1.3
novel,0.0
novel,-0.2
novel,-0.2
novel,-1.7
novel,0.0
novel,-2.2
novel,-0.8
novel,-3.6
novel,-2.1
novel,-1.3
novel,-0.2
novel,0.0
novel,-2.3
novel,-3.0
novel,-0.5
novel,-3.3
novel,0.0
novel,-2.8
novel,-1.9
novel,-2.3
novel,-2.7
novel,-1.2
novel,-1.9
novel,0.0
novel,-3.9
novel,0.0
novel,0.0
novel,-1.0
novel,-0.8
novel,-4.0
novel,-2.1
novel,0.0
novel,-0.8
novel,0.0
novel,0.0
novel,-1.0
novel,-1.7
novel,0.0
novel,0.0
novel,-2.9
novel,-1.8
novel,-2.3
novel,0.0
novel,0.0
novel,-2.9
novel,-3.6
novel,0.0
novel,-4.0
novel,-0.3
novel,-1.4
novel,0.0
novel,-0.8
novel,0.0
novel,-0.8
novel,-1.1
novel,-5.3
novel,-1.7
novel,-4.3
novel,-2.0
novel,0.0
novel,-2.5
novel,0.0
novel,0.0
novel,-1.6
novel,-0.6
novel,0.0
novel,-4.8
novel,-0.7
novel,0.0
novel,0.0
novel,-5.8
novel,0.0
novel,-2.9
novel,-1.2
novel,-1.6
novel,-2.6
novel,0.0
novel,0.0
novel,0.0
novel,-5.8
novel,-2.7
novel,0.0
novel,-0.8
novel,-6.9
novel,0.0
novel,-0.5
novel,-1.2
novel,0.0
novel,-8.6
novel,-6.3
novel,-1.2
novel,-3.3
novel,0.0
novel,-0.9
novel,-1.0
novel,0.0
novel,-0.9
novel,-2.9
novel,0.0
novel,-0.2
novel,0.0
novel,0.0
novel,0.0
novel,-0.3
novel,-3.5
novel,-1.1
novel,-2.6
novel,-3.1
novel,-1.8
novel,0.0
novel,-6.2
novel,-0.7
novel,-2.6
novel,-3.5
novel,-0.8
novel,-0.2
novel,0.0
novel,-0.2
novel,0.0
novel,-0.7
novel,0.0
novel,-0.9
novel,0.0
novel,-0.9
novel,0.0
novel,0.0
novel,0.0
novel,0.0
novel,-1.0
novel,-1.0
novel,0.0
novel,-3.9
novel,-1.6
novel,-2.7
novel,0.0
novel,0.0
novel,0.0
novel,0.0
novel,-6.1
novel,-1.2
novel,-0.4
novel,-1.6
novel,-3.9
novel,0.0
novel,-1.8
novel,0.0
novel,-1.3
novel,-3.0
novel,-3.4
novel,-0.3
novel,0.0
novel,0.0
novel,0.0
novel,-2.1
novel,0.0
novel,-0.6
novel,-2.8
novel,0.0
novel,0.0
