"","genenames","logFC","logCPM","F","PValue","FDR"
"b0780","ybhK",1.23458937551196,4.2211098534084,12.9727379769159,0.00103512051927857,"> 0.5"
"b0583","entD",0.716515971830353,2.15039400955404,10.1258677055118,0.00319995296357853,"> 0.5"
"b2940","yqgC",0.549195699502228,4.52714481510802,9.82593657301785,0.0036237387858464,"> 0.5"
"b3802","hemY",0.827811056806492,3.67435484207835,9.78624618158488,0.00368418535754969,"> 0.5"
"b1153","ymfQ",0.53374606060367,3.82872870947146,9.58374563332742,0.00400990211285666,"> 0.5"
"b0434","yajG",-0.456834040173297,3.83954266376287,9.108804580078,0.00490163747824024,"> 0.5"
"b1522","yneF",0.631047227687986,3.90923929283868,8.98949876262774,0.00515768280645279,"> 0.5"
"b0570","cusS",0.757613699824462,2.32650391521853,8.84549825838537,0.00548603443076041,"> 0.5"
"b3838","tatB",0.42427536870903,5.32736497893345,8.21592067746035,0.00721018355146426,"> 0.5"
"b2618","ratB",0.270358695648506,5.5863476012326,7.95522074279218,0.00808787889744896,"> 0.5"
"b4183","yjfK",0.645440161069949,3.54136813088261,7.28696157364408,0.0109097954333641,"> 0.5"
"b2435","amiA",0.609402966613586,3.06034992414045,7.09573271521197,0.0119012963996198,"> 0.5"
"b2380","ypdA",-0.326484907566409,5.17513501351743,6.98772768683801,0.0125040323715655,"> 0.5"
"b0027","lspA",0.599685653471502,2.92320546706987,6.81592535368102,0.0135319581590838,"> 0.5"
"b2626","yfjJ",0.612872190473544,3.12032130605038,6.34033329211247,0.0168865899915003,"> 0.5"
"b4296","yjhF",0.566365961011756,5.20861378472172,6.16522439999595,0.0183407743582379,"> 0.5"
"b2698","recX",0.5217971171113,5.28076057037583,6.00834958712512,0.0197595896712812,"> 0.5"
"b4373","rimI",0.527816990704059,2.52838090490211,5.75467029707667,0.0223131937427229,"> 0.5"
"b1093","fabG",-0.35925493221982,9.61170707506087,5.62438926414467,0.0237626460972705,"> 0.5"
"b4497","yeeL",0.303275107733955,9.80704475350063,5.50096313027528,0.0252310212284261,"> 0.5"
"b4354","yjiY",-0.322442833281534,4.449256859419,5.42077058424617,0.0262380041523154,"> 0.5"
"b4146","epmB",0.591925043103061,3.35298458650709,5.34022944000821,0.0272937335188321,"> 0.5"
"b0397","sbcC",-0.353559880208084,4.99604478326452,5.01981190394492,0.0319784706406175,"> 0.5"
"b2490","hyfJ",0.336175089151828,4.24031358512225,4.81549872979762,0.0354224616919988,"> 0.5"
