"","genenames","logFC","logCPM","F","PValue","FDR"
"b4487","yjdP",0.834274086213174,8.282178229147,42.9909547964318,1.9811468255334e-07,"> 0.5"
"b2881","xdhD",0.756297630451231,8.26797743089796,38.272824016154,5.80720910420819e-07,"> 0.5"
"b3606","trmL",0.609460963302467,6.88059069787679,34.3494261175416,1.50544809189047e-06,"> 0.5"
"b0997","torA",-0.777614837488222,8.2238568137825,33.4906532684254,1.86894069494136e-06,"> 0.5"
"b3530","bcsC",0.822546448694409,6.33597808452919,33.2086950519157,2.00777146386946e-06,"> 0.5"
"b1711","btuC",0.707551371758152,5.40132070989469,32.0171296288482,2.72763681334687e-06,"> 0.5"
"b2504","yfgG",0.730470070478424,4.01919888690995,30.1940412323337,4.4102740326249e-06,"> 0.5"
"b1410","ynbC",-0.659614678061728,7.93341131908188,29.8972238113849,4.77578326723562e-06,"> 0.5"
"b3902","rhaD",-0.666467487937332,8.83863702242307,28.1800225039633,7.63080651519743e-06,"> 0.5"
"b1184","umuC",0.657028247269664,5.2922574756958,26.7945154909962,1.12533665314921e-05,"> 0.5"
"b1415","aldA",0.494161742692908,7.8359669617549,26.6525277708062,1.17167845226621e-05,"> 0.5"
"b2025","hisF",0.51282107147405,7.09363146481772,26.3833326743973,1.26520048802653e-05,"> 0.5"
"b3932","hslV",0.534535602283671,6.80448042152389,25.0974000216474,1.835493376273e-05,"> 0.5"
"b3537","bcsF",0.464998021327476,6.6687269776662,24.7130764616955,2.05493348933096e-05,"> 0.5"
"b2053","gmd",-0.571799968891296,8.20350707610005,23.8601012871916,2.64803705007628e-05,"> 0.5"
"b1056","yceI",-0.631426322567383,8.25119656604766,23.5695932507802,2.88962049297948e-05,"> 0.5"
"b1397","paaJ",0.497901689050035,5.76929808206088,23.3218801147314,3.11415072229414e-05,"> 0.5"
"b0075","leuL",0.761862171903235,3.55328521664044,22.452834928021,4.06067920218632e-05,"> 0.5"
"b2634","yfjR",0.711052132412902,6.50905346915981,22.3983919814652,4.12937986380805e-05,"> 0.5"
"b4046","zur",0.501440930811937,6.54909260797572,22.3819142171032,4.15041587302012e-05,"> 0.5"
"b0067","thiP",1.15528026485499,1.89338915375291,22.1522078606961,4.45584422487664e-05,"> 0.5"
"b0331","prpB",-0.596864688474266,8.36554708688393,21.5559082391772,5.36593689367321e-05,"> 0.5"
"b3507","dctR",0.602775188600237,7.3596496398713,21.3708395758224,5.68713719012e-05,"> 0.5"
"b3561","wecH",0.390207082199261,9.21780069286704,21.2126559900398,5.97790587422052e-05,"> 0.5"
"b1020","phoH",0.562775212502774,6.70122831234284,21.1280800516985,6.13982643623978e-05,"> 0.5"
"b0414","ribD",0.750918718039318,4.50862433382927,20.9082393559887,6.58294601595258e-05,"> 0.5"
"b0851","nfsA",-0.578066563194531,7.31978124664023,20.3937977191597,7.75847100686701e-05,"> 0.5"
"b1655","mepH",0.483712470014963,7.5066538604573,20.3051547452073,7.98266973155655e-05,"> 0.5"
"b3806","cyaA",0.556058393935511,5.86528499917283,20.2433010981395,8.14319174729751e-05,"> 0.5"
"b2187","yejL",0.596390300671765,4.1027328123883,19.9469226281137,8.96149311295363e-05,"> 0.5"
"b2872","ygeY",-0.590812679113471,8.89714632195228,19.5171112107608,0.000103074198403748,"> 0.5"
"b3348","slyX",0.411025018507284,6.43039163542086,19.4732836053743,0.000104562912283362,"> 0.5"
"b4060","yjcB",0.510499254023019,4.65754361452769,19.1576269600132,0.000115985317435652,"> 0.5"
"b3744","asnA",-0.488060028597359,9.32891740734559,18.9797314920016,0.000123002029394892,"> 0.5"
"b1352","kilR",-0.410755044643181,9.30261601961255,18.9498729715021,0.000124223394198214,"> 0.5"
"b1841","yobA",-0.536940789671613,9.46876763525608,18.9489482184077,0.000124261426886808,"> 0.5"
"b0722","sdhD",0.550328061818877,5.18206877226422,18.8764529293642,0.000127281911212449,"> 0.5"
"b4566","yjhX",-0.717574245933764,5.01091493070964,18.6857180697585,0.000135608535710693,"> 0.5"
"b3106","yhaK",-0.536935160878021,7.46195344391249,18.6111857622018,0.000139018281387052,"> 0.5"
"b0155","clcA",-0.601700001046063,5.63336739796363,18.4055275652092,0.000148909253454582,"> 0.5"
"b1659","ydhB",0.403417368332303,10.2243651913728,18.376367119249,0.00015037130248809,"> 0.5"
"b3689","yidR",0.853059854148242,3.26340949370837,18.3645967408729,0.00015096577187928,"> 0.5"
"b1314","ycjR",-0.453151005628453,7.80397626896719,18.2724422319015,0.000155707527309427,"> 0.5"
"b0651","rihA",0.659246830353033,4.87627862783548,18.1670859132386,0.000161323684077025,"> 0.5"
"b2938","speA",0.573038330515101,8.06679683165597,17.859802670657,0.000178971997639703,"> 0.5"
"b1457","ydcD",0.516491352028954,10.4274164328897,17.7788478892651,0.000183956247107679,"> 0.5"
"b1644","ydhJ",0.62896788830756,3.92815321718594,17.7117175881337,0.000188201521970989,"> 0.5"
"b2039","rfbA",-0.539781038134228,8.94757026565994,17.637440157282,0.000193020726412381,"> 0.5"
"b3750","rbsC",-0.639704359083064,9.51141523585804,17.528299241243,0.00020034195398172,"> 0.5"
"b4109","crfC",-0.442475203074729,7.92581853041659,17.1780780510042,0.000225902767210482,"> 0.5"
"b0190","yaeQ",0.794057347579055,5.06657513243549,17.1173141097872,0.000230680904893218,"> 0.5"
"b4349","hsdM",-0.560750761159728,6.27309346107316,16.8042758156803,0.000257063685903809,"> 0.5"
"b3712","yieE",0.411580790070838,6.77985157481159,16.7971446143863,0.000257700938938504,"> 0.5"
"b2547","yphE",0.581635793125958,3.32714135302131,16.7052670247711,0.00026606355885259,"> 0.5"
"b1021","pgaD",0.829556145558894,4.95236148208001,16.6413764792309,0.000272049080996209,"> 0.5"
"b3421","rtcB",-0.611942436965344,7.79162996962408,16.6059809232383,0.000275426728045822,"> 0.5"
"b2628","yfjL",0.517140620333961,6.30363337702383,16.3653708472741,0.000299605839629293,"> 0.5"
"b2681","ygaY",-0.473326666925847,5.88842161668738,16.3085369889276,0.000305641314169149,"> 0.5"
"b1578","insD1",0.553314674273821,5.09074952272907,16.1979327317183,0.000317761740711283,"> 0.5"
"b3094","exuR",0.513080643093625,6.22759323984307,16.1675631745494,0.000321178702328567,"> 0.5"
"b1238","tdk",0.364244349449982,7.58399585474563,16.1530854029078,0.000322821407105365,"> 0.5"
"b4618","tisB",0.663640551398896,6.24267482933641,16.1226703412694,0.000326301671275195,"> 0.5"
"b2045","wcaK",-0.742300806545397,7.12266064882812,16.0701414400187,0.000332406889247353,"> 0.5"
"b2209","eco",-0.557742739713634,7.03291357415151,15.9656624835833,0.000344915119965665,"> 0.5"
"b1566","flxA",-0.448216161947648,6.69530090351946,15.960077002101,0.00034559779595499,"> 0.5"
"b3330","gspI",0.547868795719042,5.52338958468409,15.727770929411,0.000375307126623341,"> 0.5"
"b4463","ygcU",-0.577383789956895,7.67924454201188,15.6140687006774,0.000390830781402337,"> 0.5"
"b3427","yzgL",-0.585055448257568,5.84720738424639,15.488032318187,0.000408842305088689,"> 0.5"
"b2467","nudK",0.4628995369469,5.09631083002154,15.4697606233033,0.000411526097131825,"> 0.5"
"b1094","acpP",-0.909550708345671,8.92039781218534,15.4687840333104,0.000411670069149667,"> 0.5"
"b0082","rsmH",0.582647692009002,3.72594968100096,15.4387440998169,0.000416125001095211,"> 0.5"
"b2234","nrdA",-0.575251534651165,6.42198762261807,15.3781938454843,0.000425261686025913,"> 0.5"
"b0225","yafQ",-0.376163981796999,9.66638180283016,15.3594529392834,0.000428132765835913,"> 0.5"
"b0430","cyoC",-0.400958405734951,7.31434103729997,15.3249606787329,0.00043347112142558,"> 0.5"
"b2690","yqaB",0.753640836766261,5.24215558035533,15.2975429565764,0.000437765203007573,"> 0.5"
"b3880","yihS",-0.414006439190917,8.30092472998944,15.2029303333531,0.000452935094056734,"> 0.5"
"b4632","ylbI",-0.532394596744268,3.74988870066561,15.090796140841,0.000471644032458321,"> 0.5"
