"","genenames","logFC","logCPM","F","PValue","FDR"
"b3925","glpX",-0.548250316832338,2.40060514716244,8.83857050838381,0.00811285134171866,"> 0.5"
"b2676","nrdF",-0.577887410499682,4.97147031613225,7.13313825869156,0.0156166877082614,"> 0.5"
"b0780","ybhK",1.17538477403494,4.70659716000823,7.05571311184668,0.0161040284807075,"> 0.5"
"b3258","panF",1.18430561678819,4.91393420370443,6.84122789081685,0.017546405113242,"> 0.5"
"b0537","intD",0.680232692880271,1.7106007261799,6.63130407945509,0.0190669825925845,"> 0.5"
"b2940","yqgC",0.518616839600827,4.60846665071021,6.52449868408716,0.0199518840387792,"> 0.5"
"b0501","ybbD",0.360980852661366,7.2761547465546,6.36118153282506,0.0213369287778052,"> 0.5"
"b4146","epmB",0.762324601053678,3.50583197696849,6.2970711866026,0.0219101910416063,"> 0.5"
"b2762","cysH",-0.34806722583563,5.84934708656355,6.07925964789511,0.0239839010050568,"> 0.5"
"b0944","ycbF",-0.259901597723269,6.30259545768118,6.05784164431433,0.0241083929788362,"> 0.5"
"b1822","rlmA",0.290320618773158,5.89900018740005,5.6857659154491,0.0282435100261082,"> 0.5"
"b1291","sapD",0.482824801975944,2.50540502443754,5.65904764932414,0.0285702120118406,"> 0.5"
"b4296","yjhF",0.672591687042957,5.34308828875347,5.54857331074462,0.0300780085057102,"> 0.5"
"b4063","soxR",0.334320288009018,4.68567076811332,5.43649237250815,0.0314652508521867,"> 0.5"
"b3802","hemY",0.708272114066109,3.97907580423815,5.32942022268098,0.0330910041799307,"> 0.5"
"b2829","ptsP",-0.338182293303678,4.34990028413477,5.30016044060782,0.033403434126711,"> 0.5"
"b0164","yaeI",-0.297660628063451,4.03511339249404,5.22747423101933,0.0344922692139662,"> 0.5"
"b1255","yciC",-0.465754679797046,6.7339289359443,5.19861488507034,0.0350531023801135,"> 0.5"
"b2565","recO",-0.449406990295138,5.06049503691114,4.92502390153458,0.0396031216878135,"> 0.5"
"b3106","yhaK",-0.248501622338331,7.64059228636627,4.8484440299256,0.0408712247403289,"> 0.5"
"b3012","dkgA",0.336435791063636,7.48035237905379,4.78347614127145,0.0422206910716585,"> 0.5"
"b1009","rutD",-0.573771396493396,3.49404982486536,4.58846167035754,0.0461589695385836,"> 0.5"
"b0346","mhpR",0.236781998360828,9.7685889253888,4.54863042882671,0.0468844161222922,"> 0.5"
"b0458","ylaC",0.306287746922847,4.43723856635665,4.54197597938965,0.0470289674521745,"> 0.5"
"b4487","yjdP",0.247971385395061,8.0199965341799,4.5297398144649,0.0472961068681544,"> 0.5"
"b1514","lsrC",-0.422415190572187,5.28677283604718,4.51953899949189,0.0476506423981598,"> 0.5"
"b0194","proS",-0.274144617684295,4.80222193119189,4.46632236739881,0.0487089043939076,"> 0.5"
"b2585","pssA",0.511009945068605,3.6293715353261,4.43141228717945,0.0496394702766064,"> 0.5"
"b0807","rlmF",-0.302674639047383,5.09308997368195,4.36822464667721,0.0510768567807954,"> 0.5"
"b4631","ykgQ",0.317838328836874,4.54725030760525,4.34484466786906,0.0515530075005011,"> 0.5"
"b2289","lrhA",0.444069343037865,4.54148056649519,4.31374948921912,0.052445810057055,"> 0.5"
"b0730","mngR",0.220398422858483,6.73358908362188,4.22239052387809,0.05461540184267,"> 0.5"
"b1057","yceJ",-0.389496816037161,4.08252550098278,4.17580206675401,0.055972088103043,"> 0.5"
"b0575","cusA",-0.35307356377132,3.23493021339525,4.15862190846343,0.0562930046136971,"> 0.5"
"b2349","intS",-0.326056793458362,4.32338371417623,4.14302611681807,0.0567603223675149,"> 0.5"
"b4332","yjiJ",-0.665965250440717,2.85288132477426,4.12926226843701,0.0572230110491921,"> 0.5"
"b3463","ftsE",-0.347692217902042,6.10705217856469,4.10769683324791,0.057813600799074,"> 0.5"
"b0430","cyoC",-0.238735363805113,7.34936206833082,4.10172789740317,0.0578401603854662,"> 0.5"
"b1840","yebZ",0.636138134707669,3.82223206589814,4.06477127142526,0.0590102752816477,"> 0.5"
"b2466","ypfG",0.22324519761744,6.08632597819185,3.9900907958046,0.0610211650751799,"> 0.5"
"b4347","symE",0.397558334481597,4.08937027946608,3.98612008204003,0.0612781276724707,"> 0.5"
"b2698","recX",0.495335172691684,5.30947090621334,3.91253360380092,0.0634918642695688,"> 0.5"
"b0384","psiF",-0.199569950688163,8.11976405569306,3.90429178903065,0.0636040200437609,"> 0.5"
"b3809","dapF",0.182579822801379,7.19644507555584,3.82651561327049,0.0660554420106942,"> 0.5"
"b4206","ytfB",-0.468212065811984,4.01392788812269,3.80456660850062,0.0669101071027417,"> 0.5"
"b3684","yidP",0.241974964267387,4.37457553988935,3.75596382985419,0.0683744780181401,"> 0.5"
"b0774","bioA",0.342726099159717,4.44141398336131,3.73346875727874,0.0692779344235099,"> 0.5"
"b2738","ygbL",-0.320370573369731,4.90792168963784,3.68188057013785,0.0710571520191108,"> 0.5"
"b4523","yciX",0.501829360227534,6.75950264749511,3.67300787256108,0.0713684969584086,"> 0.5"
"b3197","kdsD",-0.228282107638625,5.08930732981111,3.66235460324898,0.0715990994650634,"> 0.5"
"b4100","phnH",-0.367250189850876,3.23615583970609,3.6419803937487,0.0724380101435946,"> 0.5"
"b3229","sspA",0.207661668121685,6.62687001518381,3.61827164887956,0.073178767192554,"> 0.5"
"b2739","ygbM",-0.258845943826401,7.30854677436728,3.60936371195938,0.0736364144775041,"> 0.5"
"b4527","ydaF",-0.285054804067338,8.79455566735441,3.59365797164129,0.0742247584557682,"> 0.5"
"b0417","thiL",-0.555879708912663,2.32082734852378,3.58304752132504,0.0746167086926873,"> 0.5"
"b1708","nlpC",-0.257978803418101,8.45133879349821,3.5748370671472,0.0749216613289514,"> 0.5"
