"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1","b0001_thrL_190_1","b0001_thrL_190_1",986.096,1397.956,901.011,1506.951,822.508,1429.388,1020.78,1193.368,1539.236,738.869,834.489,1064.042,972.203,1135.373,1492.032,1050.663,917.255,954.12,1023.636,877.232,1228.582,1109.428,1041.519,884.459,1245.543,1130.195
"2","b0002_thrA_337_1","b0002_thrA_337_1",3013.782,2704.177,3065.856,3041.094,3012.675,2706.638,3212.456,3165.458,2988.7,2814.741,2597.284,3117.577,2861.005,2768.576,2884.692,2704.246,3099.116,3251.711,2958.5,2561.958,2910.92,2675.576,2535.945,2886.913,3068.648,2776.759
"3","b0003_thrB_2801_1","b0003_thrB_2801_1",1516.852,1064.919,1491.203,1069.595,1677.534,947.028,1473.735,1281.016,1115.593,1270.773,985.915,1280.917,1256.955,1173.915,982.023,1141.182,1293.725,1189.441,1143.22,1159.855,1032.009,1161.924,1190.308,1220.685,1299.055,974.557
"4","b0004_thrC_3734_1","b0004_thrC_3734_1",1038.745,985.15,1031.627,1025.406,1052.045,1041.378,926.795,982.112,923.945,1117.618,1346.374,1129.557,1133.955,1075.955,1047.783,927.817,1110.69,966.956,1109.736,1064.424,1208.924,1165.424,1048.06,1099.776,1099.768,1034.194
"5","b0005_yaaX_5234_1","b0005_yaaX_5234_1",4110.867,3579.645,3314.994,3379.875,2840.522,3384.772,3076.7,2930.605,3244.903,3160.374,3344.538,3300.565,3277.182,3112.239,2986.986,3145.525,3065.837,3093.404,2968.066,2890.461,3571.078,3170.794,3270.077,3362.268,3120.315,3560.768
"6","b0006_yaaA_6459_-1","b0006_yaaA_6459_-1",81.107,67.804,110.056,66.85,80.338,67.224,78.321,111.246,70.607,80.717,80.651,72.292,94.356,91.536,74.529,79.204,89.438,89.85,95.667,67.903,85.182,82.245,88.292,97.721,108.87,87.274
"7","b0007_yaaJ_7959_-1","b0007_yaaJ_7959_-1",412.652,491.578,407.571,512.137,407.428,476.463,421.627,574.21,547.71,575.366,432.881,503.782,481.889,499.436,485.166,450.977,490.867,581.885,609.877,370.713,517.642,528.466,511.767,490.262,546.194,488.733
"8","b0008_talB_8238_1","b0008_talB_8238_1",877.953,919.341,809.096,1071.861,1092.214,969.436,934.627,970.875,932.014,912.721,1097.838,804.244,847.518,894.488,927.953,748.396,761.259,902.778,1009.286,1117.645,1023.818,1000.935,989.198,942.429,810.064,887.283
"9","b0009_mog_9306_1","b0009_mog_9306_1",1771.558,1897.511,1262.625,2590.142,1321.751,2325.704,1622.545,1726.001,2409.721,1005.856,1785.839,2021.907,1570.351,1838.758,3098.049,1584.077,1399.802,1416.206,1853.547,1414.95,2594.765,2140.111,2081.404,1379.689,1970.725,1680.019
"10","b0010_satP_10494_-1","b0010_satP_10494_-1",1391.633,1568.463,1315.839,1358.522,1233.762,1307.914,1204.834,1185.502,1218.478,1305.957,1196.594,1335.136,1302.448,1136.979,1268.446,1207.455,1119.01,1356.306,1327.379,1093.787,1497.232,1373.661,1335.826,1359.814,1415.305,1296.015
"11","b0011_yaaW_11356_-1","b0011_yaaW_11356_-1",913.526,893.416,868.357,814.66,690.524,855.038,603.07,678.714,714.141,502.928,554.68,684.511,675.655,621.484,698.522,598.07,447.188,556.214,514.21,486.332,655.244,629.959,552.643,554.857,679.051,587.643
"12","b0013_yaaI_11786_-1","b0013_yaaI_11786_-1",17.075,20.939,16.932,29.459,21.041,14.152,16.969,22.474,20.173,18.627,19.751,18.073,16.849,19.271,17.536,19.397,33.279,29.95,16.742,25.693,16.381,38.497,27.796,21.532,23.988,16
"13","b0014_dnaK_12163_1","b0014_dnaK_12163_1",9266.171,6642.784,9438.24,6407.372,8913.692,7467.726,8449.502,6963.559,6405.077,5679.153,6437.249,6257.744,6628.5,7573.436,6283.778,6053.438,6647.501,5831.686,5830.899,7394.075,6383.711,6112.353,5994.051,6567.188,6126.224,5895.34
"14","b0015_dnaJ_14168_1","b0015_dnaJ_14168_1",688.702,918.343,726.856,850.917,747.908,954.105,569.131,682.085,695.985,877.537,783.465,910.423,788.546,716.233,762.821,674.041,719.661,646.064,868.177,675.359,778.102,936.189,815.884,785.081,669.825,795.645
"15","b0018_mokC_16960_-1","b0018_mokC_16960_-1",490.914,491.578,578.098,914.368,860.764,721.77,381.161,462.964,416.582,983.09,831.197,1244.772,970.518,810.981,1001.02,790.422,690.541,765.863,1083.428,871.726,945.189,974.687,783.183,949.054,1077.625,842.191
"16","b0019_nhaA_17489_1","b0019_nhaA_17489_1",1437.167,1435.846,1265.044,1526.212,1325.577,1874.008,1332.758,1185.502,1310.267,685.058,951.35,971.419,983.997,1151.432,1190.995,1104.005,950.534,1095.313,1128.87,1218.582,1061.495,1086.679,967.943,1018.618,1108.994,1098.194
"17","b0020_nhaR_18715_1","b0020_nhaR_18715_1",2663.739,3142.908,2957.009,2977.644,2408.227,2325.704,2356.149,2817.112,3399.23,3909.592,2378.375,3350.265,3145.758,2524.479,2614.344,3394.451,3656.541,3268.825,4350.453,2292.182,2658.651,3527.771,3752.413,3577.585,3760.616,2949.852
"18","b0023_rpsT_21078_-1","b0023_rpsT_21078_-1",522.218,443.716,615.59,599.381,870.328,600.296,899.383,837.155,599.152,865.119,860.824,711.621,834.039,814.193,607.919,678.89,800.778,770.142,650.535,822.176,591.357,776.949,712.877,718.83,566.491,544.006
"19","b0024_yaaY_21181_1","b0024_yaaY_21181_1",21.344,14.957,21.769,23.794,9.564,24.767,15.664,20.227,21.182,31.045,24.689,18.073,26.959,24.089,20.459,32.328,24.959,8.557,28.7,23.858,14.743,17.499,14.715,21.532,27.679,30.546
"20","b0025_ribF_21407_1","b0025_ribF_21407_1",308.777,387.878,338.635,375.038,357.695,308.993,362.886,384.305,373.209,538.112,567.847,429.232,406.067,335.634,444.248,363.691,418.069,474.921,363.534,414.758,448.842,421.723,410.395,415.729,413.336,450.914
"21","b0026_ileS_22391_1","b0026_ileS_22391_1",1868.317,1615.327,1604.888,1742.624,2056.27,1956.563,1625.155,1859.721,1464.594,2243.514,2625.265,1924.765,2185.35,1955.989,1832.525,1668.13,1926.028,2169.233,2004.222,2138.024,1973.921,2000.12,2158.251,1979.266,1668.104,1866.203
"22","b0027_lspA_25207_1","b0027_lspA_25207_1",35.573,54.841,43.539,48.721,66.948,33.022,49.603,51.69,43.373,78.647,51.024,76.81,84.246,46.571,29.227,67.889,76.958,55.621,71.75,45.88,40.953,50.747,49.051,51.345,55.357,49.455
"23","b0028_fkpB_25826_1","b0028_fkpB_25826_1",426.881,421.78,310.819,454.351,283.096,399.804,279.344,247.214,314.706,242.15,182.699,415.677,271.273,247.309,280.578,232.762,174.715,338.007,296.567,220.226,329.26,244.984,251.796,288.194,391.193,352.004
"24","b0029_ispH_26277_1","b0029_ispH_26277_1",85.376,101.706,100.381,134.832,97.553,109.681,127.924,110.122,113.98,136.598,138.258,128.769,102.781,114.019,119.83,176.188,153.916,166.864,117.192,121.124,91.734,129.492,130.803,140.785,123.632,125.092
"25","b0030_rihC_27293_1","b0030_rihC_27293_1",805.383,931.306,653.082,890.574,587.232,809.043,768.849,787.713,866.451,682.989,783.465,883.313,737.998,788.498,889.958,801.737,848.617,915.613,784.469,622.137,892.769,831.196,732.497,781.769,795.302,881.465
"26","b0031_dapB_28374_1","b0031_dapB_28374_1",590.519,641.145,568.423,694.557,518.371,612.089,605.68,650.621,622.352,610.55,646.852,695.807,716.094,600.608,659.066,606.152,594.864,667.456,643.36,559.74,717.492,661.457,619.68,650.922,695.659,709.826
"27","b0032_carA_29651_1","b0032_carA_29651_1",1128.39,955.237,995.345,856.582,1006.138,746.537,1058.635,1060.771,1039.942,778.193,837.78,786.172,933.449,973.177,775.973,1146.031,1025.412,885.663,729.46,847.869,863.283,895.942,940.147,902.678,966.91,852.373
"28","b0033_carB_30817_1","b0033_carB_30817_1",175.021,155.55,149.967,177.888,154.938,174.546,195.802,188.781,152.31,182.13,130.029,128.769,148.274,144.531,178.284,148.709,149.756,162.586,143.5,207.379,157.258,164.489,173.314,142.441,156.846,181.82
"29","b0034_caiF_34300_1","b0034_caiF_34300_1",7979.835,7000.748,8230.039,6316.729,7720.098,6840.305,7512.264,7086.042,6197.29,6664.313,8106.226,7597.399,8109.551,8320.181,7309.641,7094.403,8003.624,7145.206,7067.394,7829.021,7987.42,7498.263,7692.856,8066.13,7925.342,7530.267
"30","b0035_caiE_35371_-1","b0035_caiE_35371_-1",157.946,140.593,149.967,150.695,151.112,136.806,169.695,167.431,149.284,225.593,141.55,171.693,144.904,171.832,137.366,161.641,183.035,196.814,188.942,168.84,178.554,188.988,171.679,173.91,180.834,160.002
"31","b0036_caiD_36162_-1","b0036_caiD_36162_-1",7385.047,7916.1,7343.541,6726.891,6960.713,7558.537,7347.791,6483.74,6536.204,5372.843,6858.608,7132.021,7716.963,7241.014,6435.757,6796.984,6959.492,7500.327,6244.658,6700.364,7713.856,6574.323,6157.555,7489.741,7373.612,7111.353
"32","b0037_caiC_37824_-1","b0037_caiC_37824_-1",12294.182,10699.05,13688.109,9531.179,11987.576,11530.632,11279.492,9766.063,9883.992,9704.646,12563.416,12002.67,12871.153,12652.906,9926.907,11510.422,11820.321,13836.884,9681.493,12000.461,10403.631,9797.613,9834.756,12610.988,10510.534,11067.762
"33","b0038_caiB_39115_-1","b0038_caiB_39115_-1",3642.721,3640.469,3513.338,3094.347,3544.436,3302.216,3675.853,3807.09,3634.251,3419.082,4042.414,2654.458,2834.046,3186.111,3153.58,3421.93,3107.436,2947.932,2793.474,3501.587,3618.583,3149.795,3476.092,3203.264,2978.231,3392.038
