# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "gene" "-a" "../data/reference_sequences/oligos_cds_new.gff" "-o" "../data/rna_align/counttable_tRNAs_new.txt" "../data/rna_align/01_no_PNA.bam" "../data/rna_align/02_PNA15_5000pM.bam" "../data/rna_align/03_PNA15_500pM.bam" "../data/rna_align/04_PNA15_100pM.bam" "../data/rna_align/05_PNA15_10pM.bam" "../data/rna_align/06_PNA14_5000pM.bam" "../data/rna_align/07_no_PNA.bam" "../data/rna_align/08_PNA15_5000pM.bam" "../data/rna_align/09_PNA15_500pM.bam" "../data/rna_align/10_PNA15_100pM.bam" "../data/rna_align/11_PNA15_10pM.bam" "../data/rna_align/12_PNA14_5000pM.bam" "../data/rna_align/13_no_PNA.bam" "../data/rna_align/14_PNA15_5000pM.bam" "../data/rna_align/15_PNA15_500pM.bam" "../data/rna_align/16_PNA15_100pM.bam" "../data/rna_align/17_PNA15_10pM.bam" "../data/rna_align/18_PNA14_5000pM.bam" "../data/rna_align/73_RNA_input_control.bam" "../data/rna_align/74_PNA15_16nM.bam" "../data/rna_align/75_PNA15_63nM.bam" "../data/rna_align/76_PNA15_250nM.bam" "../data/rna_align/77_PNA15_1000nM.bam" "../data/rna_align/78_PNA14_1000nM.bam" "../data/rna_align/79_no_PNA.bam" "../data/rna_align/80_PNA15_16nM.bam" "../data/rna_align/81_PNA15_63nM.bam" "../data/rna_align/82_PNA15_250nM.bam" "../data/rna_align/83_PNA15_1000nM.bam" "../data/rna_align/84_PNA14_1000nM.bam" "../data/rna_align/85_no_PNA.bam" "../data/rna_align/86_PNA15_16nM.bam" "../data/rna_align/87_PNA15_63nM.bam" "../data/rna_align/88_PNA15_250nM.bam" "../data/rna_align/89_PNA15_1000nM.bam" "../data/rna_align/90_PNA14_1000nM.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/01_no_PNA.bam	../data/rna_align/02_PNA15_5000pM.bam	../data/rna_align/03_PNA15_500pM.bam	../data/rna_align/04_PNA15_100pM.bam	../data/rna_align/05_PNA15_10pM.bam	../data/rna_align/06_PNA14_5000pM.bam	../data/rna_align/07_no_PNA.bam	../data/rna_align/08_PNA15_5000pM.bam	../data/rna_align/09_PNA15_500pM.bam	../data/rna_align/10_PNA15_100pM.bam	../data/rna_align/11_PNA15_10pM.bam	../data/rna_align/12_PNA14_5000pM.bam	../data/rna_align/13_no_PNA.bam	../data/rna_align/14_PNA15_5000pM.bam	../data/rna_align/15_PNA15_500pM.bam	../data/rna_align/16_PNA15_100pM.bam	../data/rna_align/17_PNA15_10pM.bam	../data/rna_align/18_PNA14_5000pM.bam	../data/rna_align/73_RNA_input_control.bam	../data/rna_align/74_PNA15_16nM.bam	../data/rna_align/75_PNA15_63nM.bam	../data/rna_align/76_PNA15_250nM.bam	../data/rna_align/77_PNA15_1000nM.bam	../data/rna_align/78_PNA14_1000nM.bam	../data/rna_align/79_no_PNA.bam	../data/rna_align/80_PNA15_16nM.bam	../data/rna_align/81_PNA15_63nM.bam	../data/rna_align/82_PNA15_250nM.bam	../data/rna_align/83_PNA15_1000nM.bam	../data/rna_align/84_PNA14_1000nM.bam	../data/rna_align/85_no_PNA.bam	../data/rna_align/86_PNA15_16nM.bam	../data/rna_align/87_PNA15_63nM.bam	../data/rna_align/88_PNA15_250nM.bam	../data/rna_align/89_PNA15_1000nM.bam	../data/rna_align/90_PNA14_1000nM.bam
ileV	NC_000913.3:225380-225457	1	77	+	77	118	135	132	95	125	87	99	36	66	42	82	70	73	70	83	108	127	161	0	38	20	39	42	29	41	49	54	30	54	23	24	32	35	51	58	33
alaV	NC_000913.3:225499-225575	1	76	+	76	1334	2294	1846	2310	2011	2374	1900	1167	1484	1306	1355	1686	1681	1972	2058	2094	3140	2735	0	319	362	366	406	423	547	506	475	334	289	412	202	193	278	291	324	300
aspU	NC_000913.3:228927-229004	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspV	NC_000913.3:236930-237007	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thrW	NC_000913.3:262870-262946	1	76	+	76	3952	7144	5591	6676	5146	5305	5039	2139	2654	1715	2466	2214	3395	4551	6367	4899	7389	4097	3	2502	1616	2033	2180	2391	4037	3768	2591	1308	2632	1987	2577	2479	2962	2371	2799	3069
ptwF	NC_000913.3:297205-297254	1	49	+	49	4	4	5	4	5	1	2	1	2	0	1	0	0	3	7	2	2	5	0	0	0	3	1	0	1	0	0	0	2	0	2	0	0	2	0	1
argU	NC_000913.3:564722-564799	1	77	+	77	1072	2263	1600	2640	1617	2247	2000	822	1392	841	1242	1291	1407	1842	2695	1992	3421	2523	1	2007	1496	1347	1457	1606	2331	2046	1648	661	1365	1489	1500	1394	1892	2001	1401	2240
pauD	NC_000913.3:586056-586101	1	45	+	45	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0
glnX	NC_000913.3:696429-696504	1	75	-	75	1	5	1	4	1	1	1	2	0	0	1	1	0	3	0	0	1	0	0	1	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0
glnV	NC_000913.3:696541-696616	1	75	-	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
metU	NC_000913.3:696663-696740	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glnW	NC_000913.3:696755-696830	1	75	-	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glnU	NC_000913.3:696864-696939	1	75	-	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuW	NC_000913.3:696962-697047	1	85	-	85	6483	13522	8337	13941	9368	12893	11119	6433	6163	3757	7703	7471	8314	10426	12778	10779	19408	17210	1	14502	11800	9361	10268	10808	14825	14001	12160	5298	9069	12144	11982	9413	13295	13376	11505	15149
metT	NC_000913.3:697056-697133	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysT	NC_000913.3:780553-780629	1	76	+	76	4	3	7	6	2	3	3	1	2	0	5	2	6	3	2	6	6	2	0	1	0	4	3	1	4	4	4	4	5	1	3	1	0	4	1	2
