locus_tag	gene	start_position	strand	peak_R1	peak_R2	peak_R3	peak_R4	peak_R5
b0001	thrL	190	1	-	-	-	-	-
b0002	thrA	337	1	59.9682	93.7495	77.1386	67.2124	89.633
b0003	thrB	2801	1	-	-	-	-	-
b0004	thrC	3734	1	7.7534600000000005	10.0053	11.0198	9.02853	8.08399
b0005	yaaX	5234	1	87.2264	48.5256	42.1719	59.6886	66.232
b0006	yaaA	6459	-1	-	-	-	-	-
b0007	yaaJ	7959	-1	-	6.00317	-	-	-
b0008	talB	8238	1	23.0181	26.4139	19.4966	14.7968	21.1318
b0009	mog	9306	1	70.8715	118.76299999999999	50.8606	118.625	107.361
b0010	satP	10494	-1	20.8374	31.1164	24.6886	40.3776	45.242
b0011	yaaW	11356	-1	23.9873	24.7131	17.9072	21.8189	24.252
b0013	yaaI	11786	-1	-	-	-	-	-
b0014	dnaK	12163	1	440.009	228.62099999999998	281.111	186.213	215.857
b0015	dnaJ	14168	1	24.8353	17.3091	12.2913	10.4079	13.3315
b0016	insL1	15445	1	-	-	-	-	-
b0018	mokC	16960	-1	-	-	-	-	-
b4412	hokC	16903	-1	-	-	-	-	-
b0019	nhaA	17489	1	72.3252	82.4435	56.1586	58.4347	54.8861
b0020	nhaR	18715	1	-	-	-	5.893619999999999	-
b0021	insB1	20314	-1	-	-	-	-	-
b0022	insA	20508	-1	-	-	-	-	-
b0023	rpsT	21078	-1	9.93412	7.90417	11.0198	5.893619999999999	8.22582
b0024	yaaY	21181	1	-	-	-	-	-
b0025	ribF	21407	1	17.0818	22.3118	22.3575	27.5872	27.2303
b0026	ileS	22391	1	85.4092	45.8242	33.1654	26.0824	43.3983
b0027	lspA	25207	1	-	-	-	-	-
b0028	fkpB	25826	1	15.2646	22.6119	10.2781	12.5396	14.8916
b0029	ispH	26277	1	-	-	-	-	-
b0030	rihC	27293	1	13.4474	20.910999999999998	9.21848	15.9253	18.4372
b0031	dapB	28374	1	7.995760000000001	11.6061	8.37081	12.9158	13.0478
b0032	carA	29651	1	18.8991	18.4097	26.278000000000002	16.0507	14.6079
b0033	carB	30817	1	6.663130000000001	8.00423	9.4304	8.52695	7.800339999999999
b0034	caiF	34300	1	140.047	87.9464	88.2643	124.39299999999999	120.551
b0035	caiE	35371	-1	-	-	-	-	5.67298
b0036	caiD	36162	-1	383.55400000000003	346.983	266.065	239.88299999999998	379.097
b0037	caiC	37824	-1	822.23	630.033	687.572	632.499	660.335
b0038	caiB	39115	-1	118.96700000000001	104.255	142.092	136.80700000000002	137.995
b0039	caiA	40386	-1	26.2891	20.0106	14.9403	-	16.168
b0040	caiT	41931	-1	62.6334	147.47799999999998	112.529	166.77700000000002	149.908
b0041	fixA	42403	1	88.4379	51.6273	34.013000000000005	29.2173	43.9656
b0042	fixB	43188	1	88.9225	120.764	81.5889	126.90100000000001	153.454
b0043	fixC	44180	1	-	-	-	-	-
b0044	fixX	45463	1	21.9278	25.8136	23.4171	22.4459	20.4227
b0045	yaaU	45807	1	-	-	-	-	-
b0046	kefF	47246	1	-	-	-	-	-
b0047	kefC	47769	1	-	-	-	-	-
b0048	folA	49823	1	29.6812	29.4155	42.7017	34.6094	32.6196
b0049	apaH	51222	-1	-	-	-	-	-
b0050	apaG	51606	-1	28.9543	29.0153	30.6223	32.9792	30.0668
b0051	rsmA	52430	-1	9.328380000000001	9.70513	9.21848	12.4142	7.94217
b0052	pdxA	53416	-1	-	-	-	-	-
b0053	surA	54702	-1	110.48700000000001	109.15799999999999	82.2246	70.8489	91.3349
b0054	lptD	57109	-1	-	-	-	-	-
b0055	djlA	57364	1	32.1042	17.109	29.5627	17.1793	20.4227
b4659	yabP	58474	1	32.8311	30.1159	24.9005	20.565	18.1535
b4659	yabP	59052	1	-	-	-	-	-
b0058	rluA	60346	-1	65.4198	53.1281	58.3837	56.1775	73.1814
b0059	rapA	63264	-1	21.6855	7.804119999999999	10.8079	-	6.09845
b0060	polB	65780	-1	-	-	-	-	-
b0061	araD	66550	-1	305.05	344.18199999999996	375.839	334.306	338.251
b0062	araA	68337	-1	54.0319	37.4198	21.8277	24.7031	28.2231
b0063	araB	70048	-1	373.741	223.218	346.912	264.21	273.863
b0064	araC	70387	1	-	-	-	-	-
b0065	yabI	71351	1	-	-	-	-	-
b0066	thiQ	72927	-1	23.0181	13.5071	15.1522	16.6777	18.7208
b0067	thiP	74521	-1	-	-	-	-	-
b0068	thiB	75480	-1	-	-	-	-	-
b0069	sgrR	77299	-1	-	-	-	-	-
b4662	sgrT	77388	1	-	-	-	-	-
b0070	setA	77621	1	-	-	-	-	-
b0071	leuD	79453	-1	-	-	-	-	-
b0072	leuC	80864	-1	-	-	-	-	-
b0073	leuB	81958	-1	441.584	333.976	394.064	314.619	302.37
b0074	leuA	83529	-1	-	-	-	-	-
b0075	leuL	83708	-1	-	-	-	-	-
b0076	leuO	84368	1	-	-	-	-	-
b0077	ilvI	85630	1	86.1361	76.1402	96.95299999999999	71.8521	75.0251
b0078	ilvH	87357	1	7.14772	5.70301	9.4304	6.7714	-
b0080	cra	88028	1	-	8.20433	-	10.4079	7.5167
b0081	mraZ	89634	1	-	-	-	-	-
b0082	rsmH	90094	1	-	-	-	-	-
b0083	ftsL	91032	1	-	-	-	-	-
b0084	ftsI	91413	1	15.8704	31.2165	26.9137	40.8792	37.158
b0085	murE	93166	1	-	5.3028	-	7.899960000000001	7.09122
b0086	murF	94650	1	-	-	-	-	-
b0087	mraY	96002	1	110.245	90.948	120.052	77.9965	87.5057
b0088	murD	97087	1	-	-	5.827780000000001	-	-
b0089	ftsW	98403	1	-	-	-	-	-
b0090	murG	99644	1	10.2976	22.1117	16.4237	22.5713	26.2375
b0091	murC	100765	1	113.031	47.5251	36.0263	30.8475	40.8454
b0092	ddlB	102233	1	18.051	15.107999999999999	24.9005	11.5365	8.93494
b0093	ftsQ	103155	1	-	-	-	-	-
b0094	ftsA	103982	1	-	-	-	-	-
b0095	ftsZ	105305	1	212.372	150.68	167.84	143.579	126.649
b0096	lpxC	106557	1	155.433	189.9	249.747	259.194	249.895
b0097	secM	107705	1	12.9628	12.8068	19.6025	16.4269	14.0406
b0098	secA	108279	1	-	-	-	-	-
b0099	mutT	111044	1	7.51116	13.5071	7.311210000000001	12.4142	15.4589
b0101	yacG	111846	-1	20.474	17.5092	19.0727	14.4206	16.0262
b0102	zapD	112599	-1	14.78	18.91	17.1655	19.6872	17.8699
b0103	coaE	113219	-1	-	-	-	-	-
b0104	guaC	113444	1	7.8746100000000006	8.9047	7.41717	7.64917	9.502239999999999
b0106	hofC	115724	-1	-	-	-	-	-
b0107	hofB	117099	-1	7.39002	9.60507	11.8675	12.1634	10.9205
b0108	ppdD	117549	-1	1082.33	742.092	945.477	742.9730000000001	780.602
b0109	nadC	118645	-1	-	-	-	-	-
b0110	ampD	118733	1	186.93099999999998	130.369	269.349	117.62200000000001	123.529
b0111	ampE	119281	1	41.3114	23.1122	15.3641	12.5396	11.9133
b0112	aroP	121551	-1	7.7534600000000005	11.9063	12.6092	18.3079	11.6296
b0113	pdhR	122092	1	-	-	-	-	-
b0114	aceE	123017	1	8.84379	12.8068	19.6025	9.9063	6.9494
b0115	aceF	125695	1	40.7057	58.4309	59.5493	53.0426	45.1002
b0116	lpd	127912	1	631.9069999999999	996.5260000000001	751.995	1019.6	1140.84
b0117	yacH	131260	-1	110.245	84.4446	100.02600000000001	63.3251	60.2754
b0118	acnB	131615	1	492.587	434.529	451.6	411.92699999999996	451.144
b0119	yacL	134388	1	32.9522	52.7278	62.5162	55.4251	43.8238
b0120	speD	135582	-1	47.7322	45.7241	61.2446	34.9856	37.8671
b0121	speE	136464	-1	126.35700000000001	121.86399999999999	147.072	105.458	107.50299999999999
b0122	yacC	136917	-1	-	-	-	-	-
b0123	cueO	137083	1	115.212	55.8295	57.3241	30.4713	54.7442
b0124	gcd	141225	-1	21.5643	34.3181	21.1919	29.2173	34.4633
b0125	hpt	141431	1	6.17854	15.9084	5.72182	13.1666	17.4444
b0126	can	142670	-1	-	-	-	-	-
b0127	yadG	142779	1	236.359	160.585	136.158	110.59899999999999	86.9384
b0128	yadH	143702	1	135.564	97.5515	113.165	65.7076	81.4072
b0129	yadI	144577	1	395.305	321.17	491.017	386.346	349.597
b0130	yadE	145081	1	-	-	-	-	-
b0131	panD	146694	-1	35.8598	45.7241	34.8607	49.0299	39.8527
b0132	yadD	146968	1	17.6876	21.7115	18.7548	20.8158	24.1102
b0133	panC	148795	-1	198.44	179.895	244.343	171.793	149.341
b0134	panB	149601	-1	31.135	40.7215	21.086	34.2332	42.2637
b0135	yadC	150953	-1	1107.29	436.13	467.38800000000003	263.834	333.14599999999996
b0136	yadK	151599	-1	-	-	-	-	-
b0137	yadL	152231	-1	8.3592	13.7072	5.827780000000001	9.53012	15.6007
b0138	yadM	152812	-1	349.875	370.19599999999997	286.409	283.772	320.665
b0139	htrE	155426	-1	7.63231	9.50502	7.946969999999999	13.0412	13.3315
b0140	yadV	156201	-1	19.0202	19.01	26.7018	19.311	19.5718
b0141	yadN	156883	-1	623.669	471.149	410.593	287.283	408.73800000000006
b0142	folK	157732	-1	-	-	-	-	-
b0143	pcnB	159126	-1	-	-	-	-	-
b0144	gluQ	160112	-1	-	-	-	-	-
b0145	dksA	160604	-1	24.1084	29.1154	19.9204	26.4586	39.7108
b0146	sfsA	161486	-1	27.1371	33.8179	33.1654	31.3491	30.2086
b0147	ligT	162031	-1	-	-	-	-	-
b0148	hrpB	162105	1	-	-	-	-	-
b0149	mrcB	164730	1	15.6281	19.01	18.331	21.4428	18.0117
b0150	fhuA	167484	1	9.207230000000001	11.0058	6.3575800000000005	10.9095	10.495
b0151	fhuC	169778	1	-	-	-	-	-
b0152	fhuD	170575	1	-	-	-	-	-
b0153	fhuB	171462	1	-	-	-	-	-
b0154	hemL	174882	-1	-	-	-	-	-
b0155	clcA	175107	1	16.8395	24.4129	12.9271	24.4523	20.2809
b0156	erpA	176610	1	109.154	77.3408	92.7146	58.4347	71.054
b0157	yadS	177624	-1	6.17854	5.10269	7.73505	6.646	6.09845
b0158	btuF	178462	-1	-	-	-	-	-
b0159	mtn	179153	-1	8.48035	11.2059	5.72182	9.02853	9.218589999999999
b0160	dgt	179237	1	5.8151	-	5.192019999999999	-	-
b0161	degP	180884	1	13.6897	14.0074	10.7019	12.665	9.36041
b0162	cdaR	182463	1	-	-	-	-	-
b0163	yaeH	184095	-1	31.6196	63.5336	35.1786	63.9521	56.0207
b0164	yaeI	185069	-1	-	-	-	-	-
b0166	dapD	185947	-1	172.514	264.64	161.8	230.47799999999998	218.12599999999998
b0167	glnD	188650	-1	8.964939999999999	16.2086	12.2913	13.0412	10.495
b0168	map	189506	-1	-	-	-	-	-
b0169	rpsB	189874	1	155.554	203.107	116.556	156.745	136.577
b0170	tsf	190857	1	7.0265699999999995	8.20433	6.46354	9.40472	5.9566300000000005
b0171	pyrH	191855	1	7.39002	9.90523	9.21848	11.1603	9.644060000000001
b0172	frr	192872	1	31.3773	66.1349	56.9003	104.455	88.4984
b0173	dxr	193521	1	6.541980000000001	5.3028	-	6.52061	5.2475
b0174	ispU	194903	1	6.541980000000001	8.104280000000001	-	-	-
b0175	cdsA	195677	1	-	-	-	-	-
b0176	rseP	196546	1	14.78	10.7057	7.099289999999999	6.646	5.9566300000000005
b0177	bamA	197928	1	21.5643	53.4282	44.608999999999995	61.068000000000005	49.3549
b0178	skp	200482	1	143.076	150.58	142.939	125.772	153.17
b0179	lpxD	200971	1	-	-	-	-	-
b0180	fabZ	202101	1	39.4942	56.1296	26.7018	39.249	44.2492
b0181	lpxA	202560	1	11.2667	14.7078	15.9999	18.5586	20.5645
b0182	lpxB	203348	1	-	-	-	-	-
b0183	rnhB	204493	1	5.5728	-	5.827780000000001	-	-
b0184	dnaE	205126	1	-	-	-	-	-
b0185	accA	208621	1	11.2667	19.6104	6.88737	14.4206	12.3387
b0186	ldcC	209679	1	6.29969	7.50396	6.1456599999999995	5.76823	6.5239199999999995
b0187	yaeR	211877	1	1076.4	587.81	712.79	511.86800000000005	728.836
b0188	tilS	212331	1	-	-	-	-	-
b0189	rof	213932	-1	8.23805	12.8068	12.5032	10.6587	12.3387
b4406	yaeP	214125	-1	107.822	107.257	128.317	105.20700000000001	82.2582
b0190	yaeQ	214291	1	-	-	-	-	-
b0191	arfB	214833	1	-	-	-	-	-
b0192	nlpE	215269	1	56.2126	58.5309	67.9201	71.3505	82.9673
b0193	yaeF	217003	-1	22.0489	26.1138	22.0396	18.4332	21.2737
b0194	proS	218775	-1	-	-	-	-	-
b0195	tsaA	219594	-1	-	-	-	-	-
b0196	rcsF	219995	-1	-	5.3028	-	-	6.24028
b0197	metQ	220928	-1	410.81199999999995	408.716	299.866	353.49199999999996	386.046
b0198	metI	221621	-1	87.8322	85.9454	151.52200000000002	99.8154	84.2437
b0199	metN	222645	-1	-	7.10375	-	8.40155	-
b0200	gmhB	222833	1	169.72799999999998	169.389	127.469	179.06599999999997	190.47
b0207	dkgB	229167	1	-	-	-	-	-
b0208	yafC	230881	-1	300.931	194.703	238.09099999999998	190.602	205.22
b0209	yafD	231122	1	54.7588	68.8364	53.7215	60.9426	44.5329
b0210	yafE	231926	1	-	-	-	-	-
b0211	mltD	233955	-1	-	-	-	-	-
b0212	gloB	234782	-1	12.9628	16.0085	9.00657	13.7936	11.6296
b0213	yafS	234816	1	-	7.604019999999999	5.192019999999999	9.40472	10.0695
b0214	rnhA	236002	-1	35.254	50.9269	40.4766	39.1236	44.8165
b0215	dnaQ	236067	1	27.9851	55.3292	29.9866	50.0331	50.2059
b0217	yafT	237335	1	-	-	-	-	-
b4586	ykfM	238736	-1	155.796	173.692	199.09799999999998	134.174	178.13099999999997
b0218	yafU	239102	-1	-	-	-	-	-
b4503	yafF	239106	1	-	-	-	-	-
b0219	yafV	240189	-1	-	-	-	-	-
b0220	ivy	240343	1	41.9171	32.8173	49.907	31.8506	23.2592
b0221	fadE	243303	-1	57.3029	48.9258	42.2779	51.7887	39.2854
b0222	gmhA	243543	1	12.5994	18.1096	11.8675	14.4206	16.168
b0223	yafJ	244327	1	5.5728	-	8.79465	-	-
b0224	yafK	245805	-1	18.8991	35.7189	12.3973	26.584	42.9728
b0225	yafQ	246239	-1	209.465	202.407	103.84	84.0155	175.011
b0226	dinJ	246502	-1	16.2338	24.2128	20.6621	29.5935	21.5573
b0227	yafL	246712	1	-	-	-	-	-
b0228	rayT	247637	1	11.9936	12.4066	11.7615	7.64917	9.502239999999999
b0229	lfhA	250070	-1	-	-	-	-	-
b0230	lafU	250072	1	-	-	-	-	-
b0231	dinB	250898	1	203.044	235.024	182.886	196.49599999999998	223.515
b0232	yafN	252005	1	6.663130000000001	12.6067	7.41717	10.1571	8.50947
b0233	yafO	252301	1	16.2338	23.3123	11.1258	13.6682	20.5645
b0234	yafP	252709	1	-	-	-	-	-
b0235	ykfJ	253479	1	5.69395	8.504489999999999	6.88737	8.40155	9.78589
b0236	prfH	253702	1	-	-	-	-	-
b0237	pepD	255716	-1	-	-	-	-	-
b0238	gpt	255977	1	8.1169	6.90365	5.61586	7.2729800000000004	7.23305
b0239	frsA	256527	1	-	-	-	-	-
b0240	crl	257829	1	357.75	247.331	293.296	204.145	224.22400000000002
b0240	crl	258676	1	-	-	-	-	-
b0241	phoE	260100	-1	29.4389	39.9211	28.820999999999998	40.1268	43.3983
b0242	proB	260388	1	52.457	45.1238	60.6089	56.9299	55.1697
b0243	proA	261503	1	209.707	201.707	274.647	216.183	222.097
b4626	ykfN	263212	-1	33.3156	42.7226	26.7018	29.3427	28.3649
b0245	ykfI	263669	-1	113.516	130.969	118.251	98.1853	93.8878
b0246	yafW	264007	-1	26.7737	33.8179	44.2911	25.5808	26.5212
b4504	ykfH	264247	-1	13.932	15.9084	19.0727	17.4301	13.4733
b0247	ykfG	264732	-1	22.6546	20.3107	31.2581	18.5586	13.757
b0248	yafX	265206	-1	-	-	-	-	-
b0249	ykfF	265543	-1	-	-	-	-	-
b0250	ykfB	266087	-1	95.3433	126.167	92.6087	112.104	105.801
b0251	yafY	266553	-1	-	-	-	-	-
b4627	ykfL	266774	-1	-	-	-	-	-
b4628	ykfK	266967	-1	5.20936	10.3054	18.331	15.9253	11.6296
b0252	yafZ	268005	-1	-	-	-	-	-
b0253	ykfA	268960	-1	1310.58	609.0219999999999	938.06	476.004	570.276
b0254	perR	270182	-1	-	6.60349	5.72182	11.0349	7.658519999999999
b4587	insN	270278	1	7.7534600000000005	9.304910000000001	-	6.646	7.658519999999999
b4587	insN	271764	1	-	-	-	-	-
b0256	insI1	270603	1	-	-	-	-	-
b0258	ykfC	272847	1	20.7163	30.4161	15.682	29.9697	32.4778
b0259	insH1	275117	-1	-	-	-	-	-
b0260	mmuP	275325	1	17.0818	23.8126	9.748280000000001	16.5523	18.1535
b0261	mmuM	276715	1	146.589	145.377	165.50900000000001	116.744	132.606
b0262	afuC	278802	-1	12.1148	13.0069	10.7019	10.6587	11.7714
b0263	afuB	279161	-1	-	-	-	-	-
b0264	insB1	279681	-1	-	-	-	-	-
b0265	insA	279875	-1	-	-	-	-	-
b4708	insI1	279931	1	-	-	-	-	-
b4505	insX	280362	-1	22.0489	25.3134	33.1654	13.4174	26.3793
b0266	yagB	280735	-1	16.4761	26.2138	24.9005	35.3617	30.3504
b0267	yagA	281983	-1	-	-	-	-	-
b0268	yagE	282278	1	50.3975	58.3308	56.2645	87.1504	83.2509
b0269	yagF	283201	1	-	-	-	-	-
b0270	yagG	285395	1	13.4474	21.9116	17.5893	29.8443	21.1318
b0271	yagH	286789	1	47.3688	51.8274	51.3904	42.6347	50.915
b0272	yagI	289162	-1	-	-	-	-	-
b0273	argF	290305	-1	7.995760000000001	11.306	8.05293	12.4142	11.0623
b4688	ykgS	290429	1	-	-	-	-	-
b0274	insB1	291152	-1	-	-	-	-	-
b0275	insA	291346	-1	-	-	-	-	-
b0276	yagJ	291404	1	-	-	-	-	-
b0277	yagK	292948	-1	24.8353	23.4124	20.7681	18.4332	19.0045
b0278	yagL	293918	-1	12.8417	22.4118	10.49	11.1603	17.3026
b0279	yagM	294799	-1	291.966	355.788	431.361	335.686	288.755
b0280	yagN	295579	-1	60.9374	48.3255	40.3706	49.4061	34.1797
b0281	intF	297096	-1	-	-	-	-	-
b4694	yagP	297719	-1	-	-	-	-	-
b4695	ykgT	297791	-1	-	-	-	-	-
b0283	paoD	298726	-1	95.2222	108.958	132.238	124.51799999999999	124.38
b0284	paoC	300934	-1	-	6.90365	7.73505	5.893619999999999	-
b0285	paoB	301887	-1	17.0818	15.5082	23.2052	18.3079	11.0623
b0286	paoA	302573	-1	-	-	-	-	6.80757
b0287	yagU	302991	1	139.92600000000002	186.899	149.721	170.16299999999998	210.326
b0288	ykgJ	304182	-1	21.4432	17.2091	17.9072	17.0539	15.4589
b0289	ecpE	305205	-1	54.2742	42.8226	58.9135	46.2712	46.3766
b0290	ecpD	306817	-1	43.4921	27.1143	30.0925	23.1983	25.6702
b0291	ecpC	309332	-1	10.9033	11.1059	23.4171	21.8189	12.4806
b0292	ecpB	310026	-1	-	-	-	5.14125	-
b0293	ecpA	310671	-1	251.62400000000002	225.019	311.097	214.929	204.227
b0294	ecpR	311336	-1	-	-	-	-	-
b0295	ykgL	312112	1	-	6.703539999999999	5.61586	5.893619999999999	7.09122
b4506	ykgO	312514	-1	34.2848	37.7199	41.3242	35.9887	36.8744
b0296	ykgM	312777	-1	38.2827	43.3229	29.0329	36.9919	24.9611
b4671	ykgR	313242	-1	57.3029	93.9496	78.1982	106.085	92.4695
b4630	ykgP	313805	-1	-	-	-	-	-
b0297	eaeH	314357	1	12.2359	6.90365	-	9.78091	5.67298
b0298	insE1	315291	1	-	-	-	-	-
b0299	insF1	315587	1	-	-	-	-	-
b0300	ykgA	317169	-1	-	-	-	-	-
b4631	ykgQ	317439	1	-	-	-	-	-
b0301	rclC	318319	-1	74.3848	136.872	82.4366	118.75	106.51
b0303	rclB	318567	-1	-	-	-	-	-
b0304	rclA	320001	-1	158.34	138.873	232.263	162.764	151.185
b0305	rclR	320227	1	23.9873	27.1143	22.3575	25.956999999999997	22.1246
b0306	ykgE	321608	1	629.969	387.405	595.387	385.343	357.398
b0307	ykgF	322338	1	14.5377	9.80518	9.4304	7.899960000000001	6.9494
b0308	ykgG	323758	1	277.42900000000003	195.803	314.17	204.77200000000002	193.59
b0310	ykgH	325364	-1	-	-	-	-	-
b0311	betA	327247	-1	104.79299999999999	89.4472	84.5558	69.7203	91.3349
b0312	betB	328733	-1	29.3178	44.8237	38.5693	52.0394	51.7659
b0313	betI	329334	-1	-	-	-	-	-
b0314	betT	329463	1	6.541980000000001	15.8083	8.15889	14.1698	15.0334
b0315	yahA	332371	1	90.0128	56.6299	57.1122	38.622	56.3043
b0316	yahB	334433	-1	-	-	-	-	-
b0317	yahC	335022	-1	9.81297	7.70407	15.5761	14.1698	13.1897
b0318	yahD	335280	1	107.095	68.7363	64.8473	42.3839	68.3594
b0319	yahE	335925	1	-	-	-	-	-
b0320	yahF	336778	1	111.09299999999999	140.374	126.516	129.911	142.392
b0321	yahG	338325	1	66.6313	79.1418	103.311	107.84100000000001	98.1425
b0323	yahI	340165	1	157.613	151.48	196.025	168.658	155.014
b0324	yahJ	341125	1	5.93624	6.00317	10.1721	8.27615	7.800339999999999
b0325	yahK	342884	1	460.119	529.28	430.832	496.31800000000004	546.024
b0326	yahL	344176	1	140.653	200.106	112.84700000000001	160.006	217.275
b0327	yahM	345404	1	-	-	-	-	-
b0328	yahN	346337	-1	127.811	120.264	95.1517	91.9155	104.80799999999999
b0329	yahO	346484	1	138.23	128.668	164.025	136.80700000000002	149.908
b0330	prpR	348443	-1	-	-	-	-	-
b0331	prpB	348682	1	210.313	188.9	162.648	128.782	121.544
b0333	prpC	350012	1	105.035	142.075	198.99200000000002	175.053	156.858
b0334	prpD	351215	1	10.5399	13.1069	18.6489	17.4301	14.0406
b0335	prpE	352706	1	30.4081	53.4282	31.9998	49.5315	59.5663
b0336	codB	354922	1	279.73	225.919	259.283	194.113	215.715
b0337	codA	356171	1	229.817	160.385	242.22400000000002	226.08900000000003	164.658
b0338	cynR	358690	-1	7.995760000000001	-	-	-	-
b0339	cynT	358799	1	19.7471	20.910999999999998	19.9204	23.1983	18.7208
b0340	cynS	359489	1	12.7205	14.6077	9.11252	12.665	16.8771
b0341	cynX	359992	1	12.9628	11.0058	12.5032	13.1666	13.1897
b0342	lacA	361860	-1	42.2806	43.2228	61.2446	42.3839	36.5907
b0343	lacY	363179	-1	-	-	-	-	-
b0344	lacZ	366305	-1	355.569	238.426	277.82599999999996	194.239	228.196
b0345	lacI	367510	-1	-	-	-	8.15076	7.658519999999999
b0346	mhpR	368420	-1	252.351	372.897	236.71400000000003	269.47700000000003	285.209
b0347	mhpA	368611	1	37.0712	46.8247	43.0196	53.795	52.0496
b0348	mhpB	370277	1	-	-	-	-	-
b0349	mhpC	371239	1	305.777	289.853	267.23	269.47700000000003	302.795
b0350	mhpD	372115	1	29.3178	34.018	32.2117	39.3744	34.747
b0351	mhpF	372921	1	31.7407	46.6246	45.9865	50.4093	58.7153
b0352	mhpE	373868	1	15.5069	13.1069	13.2449	16.5523	19.1463
b0353	mhpT	375459	1	-	-	-	-	-
b0354	yaiL	376772	1	56.3337	76.8406	48.1057	59.0616	58.4317
b0355	frmB	378368	-1	-	-	-	-	-
