name,TIS_type,min_DG,gene
seq_b0001,annotated,-0.359835,seq_b0001
seq_b0002,annotated,-3.60793,seq_b0002
seq_b0002_22,alternative,-3.60793,b0002
seq_b0003,annotated,-4.59019,seq_b0003
seq_b0004,annotated,-2.70311,seq_b0004
seq_b0004_150,alternative,0,b0004
seq_b0005,annotated,-4.59019,seq_b0005
seq_b0006,annotated,-2.68108,seq_b0006
seq_b0007,annotated,-7.04262,seq_b0007
seq_b0007_59,alternative,0,b0007
seq_b0008,annotated,-0.359835,seq_b0008
seq_b0009,annotated,-1.99672,seq_b0009
seq_b0010,annotated,-7.530775,seq_b0010
seq_b0010_3,alternative,-0.247160000000001,b0010
seq_b0011,annotated,0,seq_b0011
seq_b0011_33,alternative,0,b0011
seq_b0013,annotated,-0.359835,seq_b0013
seq_b0014,annotated,-10.898905,seq_b0014
seq_b0015,annotated,-2.833755,seq_b0015
seq_b0016,annotated,0,seq_b0016
seq_b0018,annotated,-3.60793,seq_b0018
seq_b0019,annotated,-0.359835,seq_b0019
seq_b0020,annotated,-3.60793,seq_b0020
seq_b0020_2,alternative,-2.833755,b0020
seq_b0021,annotated,-0.806410000000001,seq_b0021
seq_b0022,annotated,-3.60793,seq_b0022
seq_b0023,annotated,-4.638425,seq_b0023
seq_b0023_3,alternative,-0.247160000000001,b0023
seq_b0024,annotated,-0.272315000000003,seq_b0024
seq_b0025,annotated,-0.359835,seq_b0025
seq_b0026,annotated,-1.99672,seq_b0026
seq_b0027,annotated,-1.9320600000000001,seq_b0027
seq_b0028,annotated,-0.359835,seq_b0028
seq_b0029,annotated,-8.489565,seq_b0029
seq_b0030,annotated,-5.24147,seq_b0030
seq_b0031,annotated,-0.359835,seq_b0031
seq_b0031_21,alternative,-0.359835,b0031
seq_b0032,annotated,-9.563855,seq_b0032
seq_b0032_2,alternative,-1.883825,b0032
seq_b0033,annotated,-4.59019,seq_b0033
seq_b0034,annotated,-5.24147,seq_b0034
seq_b0035,annotated,-5.41711,seq_b0035
seq_b0036,annotated,-5.24147,seq_b0036
seq_b0037,annotated,-3.60793,seq_b0037
seq_b0038,annotated,-3.60793,seq_b0038
seq_b0039,annotated,-3.60793,seq_b0039
seq_b0039_24,alternative,-2.70311,b0039
seq_b0039_7,alternative,0,b0039
seq_b0040,annotated,-7.02862,seq_b0040
seq_b0041,annotated,-5.24147,seq_b0041
seq_b0041_3,alternative,-4.730455,b0041
seq_b0042,annotated,-4.730455,seq_b0042
seq_b0043,annotated,-3.60793,seq_b0043
seq_b0044,annotated,-4.59019,seq_b0044
seq_b0045,annotated,-4.707225,seq_b0045
seq_b0046,annotated,-0.832615000000001,seq_b0046
seq_b0047,annotated,-6.856025,seq_b0047
seq_b0048,annotated,-3.656465,seq_b0048
seq_b0049,annotated,0,seq_b0049
seq_b0050,annotated,-3.60793,seq_b0050
seq_b0051,annotated,0,seq_b0051
seq_b0052,annotated,-0.359835,seq_b0052
seq_b0053,annotated,-2.70311,seq_b0053
seq_b0054,annotated,-2.70311,seq_b0054
seq_b0054_6,alternative,-2.70311,b0054
seq_b0055,annotated,-6.7566,seq_b0055
seq_b0058,annotated,-3.60793,seq_b0058
seq_b0058_22,alternative,-3.60793,b0058
seq_b0059,annotated,-0.359835,seq_b0059
seq_b0060,annotated,-2.914135,seq_b0060
seq_b0061,annotated,-4.59019,seq_b0061
