"","unique_lt","annot_site_detected","alt_site_detected","riboseq_reads_detected"
"1","b0001_190",FALSE,FALSE,TRUE
"2","b0002_337",TRUE,TRUE,TRUE
"3","b0003_2801",FALSE,FALSE,TRUE
"4","b0004_3734",TRUE,TRUE,TRUE
"5","b0005_5234",TRUE,FALSE,TRUE
"6","b0006_6459",FALSE,FALSE,TRUE
"7","b0007_7959",FALSE,FALSE,TRUE
"8","b0008_8238",TRUE,FALSE,TRUE
"9","b0009_9306",TRUE,FALSE,TRUE
"10","b0010_10494",TRUE,TRUE,TRUE
"11","b0011_11356",TRUE,TRUE,TRUE
"12","b0013_11786",FALSE,FALSE,FALSE
"13","b0014_12163",TRUE,FALSE,TRUE
"14","b0015_14168",TRUE,FALSE,TRUE
"15","b0016_15445",FALSE,FALSE,FALSE
"16","b0018_16960",FALSE,FALSE,TRUE
"17","b4412_16903",FALSE,TRUE,TRUE
"18","b0019_17489",TRUE,FALSE,TRUE
"19","b0020_18715",FALSE,TRUE,TRUE
"20","b0021_20314",FALSE,FALSE,FALSE
"21","b0022_20508",FALSE,FALSE,FALSE
"22","b0023_21078",TRUE,TRUE,TRUE
"23","b0024_21181",FALSE,FALSE,FALSE
"24","b0025_21407",TRUE,FALSE,TRUE
"25","b0026_22391",TRUE,FALSE,TRUE
"26","b0027_25207",FALSE,FALSE,FALSE
"27","b0028_25826",TRUE,FALSE,TRUE
"28","b0029_26277",FALSE,FALSE,TRUE
"29","b0030_27293",TRUE,FALSE,TRUE
"30","b0031_28374",TRUE,FALSE,TRUE
"31","b0032_29651",TRUE,TRUE,TRUE
"32","b0033_30817",TRUE,FALSE,TRUE
"33","b0034_34300",TRUE,FALSE,TRUE
"34","b0035_35371",FALSE,FALSE,TRUE
"35","b0036_36162",TRUE,FALSE,TRUE
"36","b0037_37824",TRUE,FALSE,TRUE
"37","b0038_39115",TRUE,FALSE,TRUE
"38","b0039_40386",TRUE,FALSE,TRUE
"39","b0040_41931",TRUE,FALSE,TRUE
"40","b0041_42403",TRUE,TRUE,TRUE
"41","b0042_43188",TRUE,FALSE,TRUE
"42","b0043_44180",FALSE,FALSE,FALSE
"43","b0044_45463",TRUE,FALSE,TRUE
"44","b0045_45807",FALSE,FALSE,TRUE
"45","b0046_47246",FALSE,FALSE,TRUE
"46","b0047_47769",FALSE,FALSE,TRUE
"47","b0048_49823",TRUE,FALSE,TRUE
"48","b0049_51222",FALSE,FALSE,TRUE
"49","b0050_51606",TRUE,FALSE,TRUE
"50","b0051_52430",TRUE,FALSE,TRUE
"51","b0052_53416",FALSE,FALSE,TRUE
"52","b0053_54702",TRUE,FALSE,TRUE
"53","b0054_57109",FALSE,TRUE,TRUE
"54","b0055_57364",TRUE,FALSE,TRUE
"55","b4659_58474",TRUE,TRUE,TRUE
"56","b4659_59052",FALSE,FALSE,TRUE
"57","b0058_60346",TRUE,TRUE,TRUE
"58","b0059_63264",TRUE,FALSE,TRUE
"59","b0060_65780",TRUE,FALSE,TRUE
"60","b0061_66550",TRUE,FALSE,TRUE
"61","b0062_68337",TRUE,FALSE,TRUE
"62","b0063_70048",TRUE,FALSE,TRUE
"63","b0064_70387",FALSE,FALSE,TRUE
"64","b0065_71351",FALSE,FALSE,TRUE
"65","b0066_72927",TRUE,TRUE,TRUE
"66","b0067_74521",FALSE,FALSE,FALSE
"67","b0068_75480",FALSE,FALSE,TRUE
"68","b0069_77299",FALSE,FALSE,TRUE
"69","b4662_77388",FALSE,TRUE,TRUE
"70","b0070_77621",FALSE,FALSE,TRUE
"71","b0071_79453",FALSE,FALSE,TRUE
"72","b0072_80864",FALSE,FALSE,TRUE
"73","b0073_81958",TRUE,FALSE,TRUE
"74","b0074_83529",FALSE,TRUE,TRUE
"75","b0075_83708",FALSE,FALSE,TRUE
"76","b0076_84368",FALSE,TRUE,TRUE
"77","b0077_85630",TRUE,FALSE,TRUE
"78","b0078_87357",TRUE,FALSE,TRUE
"79","b0080_88028",TRUE,TRUE,TRUE
"80","b0081_89634",FALSE,FALSE,TRUE
"81","b0082_90094",FALSE,FALSE,TRUE
"82","b0083_91032",FALSE,FALSE,TRUE
"83","b0084_91413",TRUE,FALSE,TRUE
"84","b0085_93166",TRUE,FALSE,TRUE
"85","b0086_94650",FALSE,FALSE,TRUE
"86","b0087_96002",TRUE,FALSE,TRUE
"87","b0088_97087",FALSE,FALSE,TRUE
"88","b0089_98403",FALSE,FALSE,TRUE
"89","b0090_99644",TRUE,FALSE,TRUE
"90","b0091_100765",TRUE,FALSE,TRUE
"91","b0092_102233",TRUE,FALSE,TRUE
"92","b0093_103155",FALSE,FALSE,TRUE
"93","b0094_103982",FALSE,FALSE,TRUE
"94","b0095_105305",TRUE,FALSE,TRUE
"95","b0096_106557",TRUE,FALSE,TRUE
"96","b0097_107705",TRUE,FALSE,TRUE
"97","b0098_108279",FALSE,FALSE,TRUE
"98","b0099_111044",TRUE,FALSE,TRUE
"99","b0101_111846",TRUE,FALSE,TRUE
"100","b0102_112599",TRUE,FALSE,TRUE
"101","b0103_113219",FALSE,TRUE,TRUE
"102","b0104_113444",TRUE,FALSE,TRUE
"103","b0106_115724",FALSE,FALSE,TRUE
"104","b0107_117099",TRUE,FALSE,TRUE
"105","b0108_117549",TRUE,FALSE,TRUE
"106","b0109_118645",FALSE,FALSE,TRUE
"107","b0110_118733",TRUE,FALSE,TRUE
"108","b0111_119281",TRUE,FALSE,TRUE
"109","b0112_121551",TRUE,FALSE,TRUE
"110","b0113_122092",FALSE,TRUE,TRUE
"111","b0114_123017",TRUE,FALSE,TRUE
"112","b0115_125695",TRUE,FALSE,TRUE
"113","b0116_127912",TRUE,FALSE,TRUE
"114","b0117_131260",TRUE,FALSE,TRUE
"115","b0118_131615",TRUE,FALSE,TRUE
"116","b0119_134388",TRUE,FALSE,TRUE
"117","b0120_135582",TRUE,FALSE,TRUE
"118","b0121_136464",TRUE,FALSE,TRUE
"119","b0122_136917",FALSE,FALSE,FALSE
"120","b0123_137083",TRUE,FALSE,TRUE
"121","b0124_141225",TRUE,FALSE,TRUE
"122","b0125_141431",TRUE,FALSE,TRUE
"123","b0126_142670",FALSE,FALSE,TRUE
"124","b0127_142779",TRUE,FALSE,TRUE
"125","b0128_143702",TRUE,TRUE,TRUE
"126","b0129_144577",TRUE,FALSE,TRUE
"127","b0130_145081",FALSE,FALSE,TRUE
