# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "gene" "-a" "../data/reference_sequences/oligos_cds.gff" "-o" "../data/rna_align/counttable_tRNAs.txt" "../data/rna_align/01_no_PNA.bam" "../data/rna_align/02_PNA15_5000pM.bam" "../data/rna_align/03_PNA15_500pM.bam" "../data/rna_align/04_PNA15_100pM.bam" "../data/rna_align/05_PNA15_10pM.bam" "../data/rna_align/06_PNA14_5000pM.bam" "../data/rna_align/07_no_PNA.bam" "../data/rna_align/08_PNA15_5000pM.bam" "../data/rna_align/09_PNA15_500pM.bam" "../data/rna_align/10_PNA15_100pM.bam" "../data/rna_align/11_PNA15_10pM.bam" "../data/rna_align/12_PNA14_5000pM.bam" "../data/rna_align/13_no_PNA.bam" "../data/rna_align/14_PNA15_5000pM.bam" "../data/rna_align/15_PNA15_500pM.bam" "../data/rna_align/16_PNA15_100pM.bam" "../data/rna_align/17_PNA15_10pM.bam" "../data/rna_align/18_PNA14_5000pM.bam" "../data/rna_align/73_RNA_input_control.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/01_no_PNA.bam	../data/rna_align/02_PNA15_5000pM.bam	../data/rna_align/03_PNA15_500pM.bam	../data/rna_align/04_PNA15_100pM.bam	../data/rna_align/05_PNA15_10pM.bam	../data/rna_align/06_PNA14_5000pM.bam	../data/rna_align/07_no_PNA.bam	../data/rna_align/08_PNA15_5000pM.bam	../data/rna_align/09_PNA15_500pM.bam	../data/rna_align/10_PNA15_100pM.bam	../data/rna_align/11_PNA15_10pM.bam	../data/rna_align/12_PNA14_5000pM.bam	../data/rna_align/13_no_PNA.bam	../data/rna_align/14_PNA15_5000pM.bam	../data/rna_align/15_PNA15_500pM.bam	../data/rna_align/16_PNA15_100pM.bam	../data/rna_align/17_PNA15_10pM.bam	../data/rna_align/18_PNA14_5000pM.bam	../data/rna_align/73_RNA_input_control.bam
ileV	NC_000913.3:225380-225457	1	77	+	77	118	135	132	95	125	87	99	36	66	42	82	70	73	70	83	108	127	161	0
alaV	NC_000913.3:225499-225575	1	76	+	76	1334	2294	1846	2310	2011	2374	1900	1167	1484	1306	1355	1686	1681	1972	2058	2094	3140	2735	0
aspU	NC_000913.3:228927-229004	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspV	NC_000913.3:236930-237007	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thrW	NC_000913.3:262870-262946	1	76	+	76	3952	7144	5591	6676	5146	5305	5039	2139	2654	1715	2466	2214	3395	4551	6367	4899	7389	4097	3
ptwF	NC_000913.3:297205-297254	1	49	+	49	4	4	5	4	5	1	2	1	2	0	1	0	0	3	7	2	2	5	0
argU	NC_000913.3:564722-564799	1	77	+	77	1072	2263	1600	2640	1617	2247	2000	822	1392	841	1242	1291	1407	1842	2695	1992	3421	2523	1
pauD	NC_000913.3:586056-586101	1	45	+	45	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0
glnX	NC_000913.3:696429-696504	1	75	-	75	1	5	1	4	1	1	1	2	0	0	1	1	0	3	0	0	1	0	0
glnV	NC_000913.3:696541-696616	1	75	-	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
metU	NC_000913.3:696663-696740	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glnW	NC_000913.3:696755-696830	1	75	-	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glnU	NC_000913.3:696864-696939	1	75	-	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuW	NC_000913.3:696962-697047	1	85	-	85	6483	13522	8337	13941	9368	12893	11119	6433	6163	3757	7703	7471	8314	10426	12778	10779	19408	17210	1
metT	NC_000913.3:697056-697133	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
lysT	NC_000913.3:780553-780629	1	76	+	76	4	3	7	6	2	3	3	1	2	0	5	2	6	3	2	6	6	2	0
valT	NC_000913.3:780764-780840	1	76	+	76	2	4	7	0	5	2	2	1	2	2	2	0	1	1	0	2	3	4	0
lysW	NC_000913.3:780842-780918	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valZ	NC_000913.3:781067-781143	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysY	NC_000913.3:781146-781222	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysZ	NC_000913.3:781368-781444	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysQ	NC_000913.3:781576-781652	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serW	NC_000913.3:925883-925971	1	88	-	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serT	NC_000913.3:1031624-1031712	1	88	-	88	29893	44643	47981	48076	53018	53247	38306	27948	32430	27104	32204	39030	44136	48070	47884	60928	66715	79610	6
serX	NC_000913.3:1097564-1097652	1	88	-	88	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0
tyrV	NC_000913.3:1287243-1287328	1	85	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrT	NC_000913.3:1287537-1287622	1	85	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valV	NC_000913.3:1746434-1746511	1	77	+	77	4466	5331	5631	5213	5658	5858	5508	3458	4036	3068	3610	4129	4062	4952	5817	6613	7067	7368	0
valW	NC_000913.3:1746515-1746592	1	77	+	77	5432	7263	7127	6519	6689	7129	7220	4810	5260	3924	4492	4759	5340	6442	6926	8276	9031	8515	4
leuZ	NC_000913.3:1991814-1991901	1	87	-	87	89320	187654	147476	192334	172664	241087	219460	124664	200097	111988	135124	182356	214760	285731	306967	242283	280801	245921	14
cysT	NC_000913.3:1991913-1991987	1	74	-	74	8050	15117	11511	15469	13023	14244	18520	8213	12695	7460	10652	10679	13002	19924	24985	18946	28708	19676	2
