# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "gene" "-a" "../data/reference_sequences/oligos_cds_new.gff" "-o" "../data/rna_align/counttable_rRNAs_new.txt" "../data/rna_align/01_no_PNA.bam" "../data/rna_align/02_PNA15_5000pM.bam" "../data/rna_align/03_PNA15_500pM.bam" "../data/rna_align/04_PNA15_100pM.bam" "../data/rna_align/05_PNA15_10pM.bam" "../data/rna_align/06_PNA14_5000pM.bam" "../data/rna_align/07_no_PNA.bam" "../data/rna_align/08_PNA15_5000pM.bam" "../data/rna_align/09_PNA15_500pM.bam" "../data/rna_align/10_PNA15_100pM.bam" "../data/rna_align/11_PNA15_10pM.bam" "../data/rna_align/12_PNA14_5000pM.bam" "../data/rna_align/13_no_PNA.bam" "../data/rna_align/14_PNA15_5000pM.bam" "../data/rna_align/15_PNA15_500pM.bam" "../data/rna_align/16_PNA15_100pM.bam" "../data/rna_align/17_PNA15_10pM.bam" "../data/rna_align/18_PNA14_5000pM.bam" "../data/rna_align/73_RNA_input_control.bam" "../data/rna_align/74_PNA15_16nM.bam" "../data/rna_align/75_PNA15_63nM.bam" "../data/rna_align/76_PNA15_250nM.bam" "../data/rna_align/77_PNA15_1000nM.bam" "../data/rna_align/78_PNA14_1000nM.bam" "../data/rna_align/79_no_PNA.bam" "../data/rna_align/80_PNA15_16nM.bam" "../data/rna_align/81_PNA15_63nM.bam" "../data/rna_align/82_PNA15_250nM.bam" "../data/rna_align/83_PNA15_1000nM.bam" "../data/rna_align/84_PNA14_1000nM.bam" "../data/rna_align/85_no_PNA.bam" "../data/rna_align/86_PNA15_16nM.bam" "../data/rna_align/87_PNA15_63nM.bam" "../data/rna_align/88_PNA15_250nM.bam" "../data/rna_align/89_PNA15_1000nM.bam" "../data/rna_align/90_PNA14_1000nM.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/01_no_PNA.bam	../data/rna_align/02_PNA15_5000pM.bam	../data/rna_align/03_PNA15_500pM.bam	../data/rna_align/04_PNA15_100pM.bam	../data/rna_align/05_PNA15_10pM.bam	../data/rna_align/06_PNA14_5000pM.bam	../data/rna_align/07_no_PNA.bam	../data/rna_align/08_PNA15_5000pM.bam	../data/rna_align/09_PNA15_500pM.bam	../data/rna_align/10_PNA15_100pM.bam	../data/rna_align/11_PNA15_10pM.bam	../data/rna_align/12_PNA14_5000pM.bam	../data/rna_align/13_no_PNA.bam	../data/rna_align/14_PNA15_5000pM.bam	../data/rna_align/15_PNA15_500pM.bam	../data/rna_align/16_PNA15_100pM.bam	../data/rna_align/17_PNA15_10pM.bam	../data/rna_align/18_PNA14_5000pM.bam	../data/rna_align/73_RNA_input_control.bam	../data/rna_align/74_PNA15_16nM.bam	../data/rna_align/75_PNA15_63nM.bam	../data/rna_align/76_PNA15_250nM.bam	../data/rna_align/77_PNA15_1000nM.bam	../data/rna_align/78_PNA14_1000nM.bam	../data/rna_align/79_no_PNA.bam	../data/rna_align/80_PNA15_16nM.bam	../data/rna_align/81_PNA15_63nM.bam	../data/rna_align/82_PNA15_250nM.bam	../data/rna_align/83_PNA15_1000nM.bam	../data/rna_align/84_PNA14_1000nM.bam	../data/rna_align/85_no_PNA.bam	../data/rna_align/86_PNA15_16nM.bam	../data/rna_align/87_PNA15_63nM.bam	../data/rna_align/88_PNA15_250nM.bam	../data/rna_align/89_PNA15_1000nM.bam	../data/rna_align/90_PNA14_1000nM.bam
rrsH	NC_000913.3:223770-225312	1	1542	+	1542	6234	5240	6719	11484	6669	5685	8049	4634	5777	4549	13842	6155	8248	9884	6245	7158	6424	7187	2	11924	26928	8675	14924	8407	20274	26367	41616	89223	34978	28829	10753	12447	10876	8202	16589	8085
rrlH	NC_000913.3:225758-228662	1	2904	+	2904	24691	25787	31947	25327	29358	23001	34109	23102	25072	23152	23082	28796	21500	21488	20985	25872	23924	20448	5	27891	24949	23636	29209	26146	27890	32129	24446	18120	22991	24642	23474	26456	26191	30047	29469	29581
rrfH	NC_000913.3:228755-228875	1	120	+	120	144	86	116	98	88	55	82	61	66	55	123	91	92	77	93	148	94	127	0	31	30	27	35	21	30	73	46	197	35	40	21	19	30	40	39	43
rrfG	NC_000913.3:2726068-2726188	1	120	-	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rrlG	NC_000913.3:2726280-2729184	1	2904	-	2904	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
rrsG	NC_000913.3:2729615-2731157	1	1542	-	1542	10330	8147	10464	12667	8989	8575	13195	8264	10182	9514	20823	10204	13624	15437	8887	10525	9134	9770	1	14277	23118	10206	16483	12707	18388	39368	28231	136903	26397	26884	12324	12617	14004	13125	16336	12100
rrfF	NC_000913.3:3423422-3423542	1	120	-	120	81	88	95	140	118	86	161	82	94	77	120	107	105	129	108	127	114	87	0	79	133	55	90	84	126	146	162	202	129	165	80	98	127	76	82	86
rrfD	NC_000913.3:3423667-3423787	1	120	-	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rrlD	NC_000913.3:3423879-3426783	1	2904	-	2904	3693	3868	5591	3817	4370	3595	5053	4040	4144	3234	2832	4143	3175	3447	3399	4276	3392	3306	0	2445	4033	3333	4684	4612	5173	4700	3822	1798	2801	4934	4079	3799	4014	5095	4141	4252
rrsD	NC_000913.3:3427220-3428762	1	1542	-	1542	2	5	3	6	3	1	5	5	5	1	13	1	4	4	5	8	11	4	0	2	5	1	0	0	3	8	4	12	0	6	1	2	2	1	3	2
rrsC	NC_000913.3:3941807-3943349	1	1542	+	1542	36	32	42	76	101	66	142	65	22	16	91	79	30	44	42	66	74	68	0	109	399	91	64	26	62	27	33	162	237	452	28	212	179	28	62	44
rrlC	NC_000913.3:3943703-3946607	1	2904	+	2904	1301	1497	1644	1622	1691	1208	1676	1130	1217	922	1467	1581	1337	1703	1701	1736	1498	1757	1	1713	2463	1169	1569	1208	2291	2202	1837	3588	1882	2000	1368	1618	2030	1670	1727	1415
rrfC	NC_000913.3:3946699-3946819	1	120	+	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rrsA	NC_000913.3:4035530-4037072	1	1542	+	1542	7	9	8	18	8	6	19	3	10	12	31	12	22	11	8	11	15	13	0	9	10	3	6	2	14	41	16	186	38	11	7	8	9	4	10	8
rrlA	NC_000913.3:4037518-4040423	1	2905	+	2905	1102	775	787	1208	853	664	1203	531	923	663	2858	828	933	900	641	679	662	715	6	1179	2291	695	1146	738	2193	4530	1688	26147	1938	2187	1148	1038	1236	740	1195	657
