# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "gene,sRNA" "-g" "locus_tag" "-a" "startpeaks_cds.gff" "-o" "../rna_align/startpeaks_ctable.txt" "../rna_align/01_no_PNA.bam" "../rna_align/02_PNA15_5000pM.bam" "../rna_align/03_PNA15_500pM.bam" "../rna_align/04_PNA15_100pM.bam" "../rna_align/05_PNA15_10pM.bam" "../rna_align/06_PNA14_5000pM.bam" "../rna_align/07_no_PNA.bam" "../rna_align/08_PNA15_5000pM.bam" "../rna_align/09_PNA15_500pM.bam" "../rna_align/10_PNA15_100pM.bam" "../rna_align/11_PNA15_10pM.bam" "../rna_align/12_PNA14_5000pM.bam" "../rna_align/13_no_PNA.bam" "../rna_align/14_PNA15_5000pM.bam" "../rna_align/15_PNA15_500pM.bam" "../rna_align/16_PNA15_100pM.bam" "../rna_align/17_PNA15_10pM.bam" "../rna_align/18_PNA14_5000pM.bam" "../rna_align/73_RNA_input_control.bam" "../rna_align/79_no_PNA.bam" "../rna_align/85_no_PNA.bam" 
Geneid	Chr	Start	End	Strand	Length	../rna_align/01_no_PNA.bam	../rna_align/02_PNA15_5000pM.bam	../rna_align/03_PNA15_500pM.bam	../rna_align/04_PNA15_100pM.bam	../rna_align/05_PNA15_10pM.bam	../rna_align/06_PNA14_5000pM.bam	../rna_align/07_no_PNA.bam	../rna_align/08_PNA15_5000pM.bam	../rna_align/09_PNA15_500pM.bam	../rna_align/10_PNA15_100pM.bam	../rna_align/11_PNA15_10pM.bam	../rna_align/12_PNA14_5000pM.bam	../rna_align/13_no_PNA.bam	../rna_align/14_PNA15_5000pM.bam	../rna_align/15_PNA15_500pM.bam	../rna_align/16_PNA15_100pM.bam	../rna_align/17_PNA15_10pM.bam	../rna_align/18_PNA14_5000pM.bam	../rna_align/73_RNA_input_control.bam	../rna_align/79_no_PNA.bam	../rna_align/85_no_PNA.bam
b0001	b0001_thrL_190_1	37	80	+	44	72	68	58	72	68	51	69	44	72	53	59	75	66	106	88	60	86	99	350	57	32
b0002	b0002_thrA_337_1	37	80	+	44	2037	2568	2428	2247	2248	2205	2553	1489	2166	1460	1563	2179	2367	2663	2802	2737	2757	2334	268	1891	1671
b0003	b0003_thrB_2801_1	37	80	+	44	950	959	1132	725	1025	814	854	817	742	559	572	812	1054	1064	1026	1263	1011	1223	489	612	569
b0004	b0004_thrC_3734_1	37	80	+	44	174	256	203	300	245	271	250	115	241	166	148	242	192	191	247	213	238	197	1852	151	116
b0005	b0005_yaaX_5234_1	37	80	+	44	1954	2753	1813	2515	2098	2435	2310	1050	2277	1184	1514	2257	1803	2027	2624	1993	2529	1757	701	1671	1770
b0006	b0006_yaaA_6459_-1	37	80	-	44	33	53	69	53	64	51	39	32	35	39	38	48	44	69	40	49	61	47	1060	26	30
b0007	b0007_yaaJ_7959_-1	37	80	-	44	167	252	202	286	202	248	274	117	225	121	132	186	170	293	307	242	277	214	656	184	138
b0008	b0008_talB_8238_1	37	80	+	44	506	769	569	696	623	730	812	471	722	465	546	711	603	747	766	684	722	614	711	539	505
b0009	b0009_mog_9306_1	37	80	+	44	1143	1750	911	2242	1270	1945	2170	634	1865	972	1089	1579	1123	1442	2293	1097	1864	1119	3902	2025	1505
b0010	b0010_satP_10494_-1	37	80	-	44	908	1479	1002	1149	1134	1060	1136	612	1049	672	833	1125	869	996	1138	979	1019	1015	449	831	862
b0011	b0011_yaaW_11356_-1	37	80	-	44	504	675	562	601	645	634	551	277	568	412	333	537	348	446	501	461	521	412	809	352	304
b0013	b0013_yaaI_11786_-1	37	80	-	44	4	11	9	13	8	12	18	6	7	8	9	10	9	11	13	13	9	7	204	7	5
b0014	b0014_dnaK_12163_1	37	80	+	44	6196	6057	7341	5258	6997	5619	5349	4413	5956	4558	4215	5696	6095	5727	5942	6967	5427	6124	1203	4035	3581
b0015	b0015_dnaJ_14168_1	37	80	+	44	459	876	570	808	696	697	723	378	784	410	509	640	420	577	659	514	651	501	427	493	454
b0016	b0016_insL1_15445_1	37	80	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
b0018	b0018_mokC_16960_-1	37	80	-	44	289	461	402	526	500	494	774	404	586	340	365	530	239	370	391	429	458	324	1772	666	484
b4412	b4412_hokC_16903_-1	37	80	-	44	0	1	3	1	1	0	0	0	0	1	0	1	0	4	0	1	3	5	4791	0	3
b0019	b0019_nhaA_17489_1	37	80	+	44	954	1377	985	1253	1209	1319	1296	660	1532	820	813	1019	969	993	1240	849	1172	963	1268	782	620
b0020	b0020_nhaR_18715_1	37	80	+	44	1326	2454	1720	2190	1836	1720	1998	883	1270	661	1411	1869	1453	2076	2842	1906	2260	2022	1598	1363	1255
b0021	b0021_insB1_20314_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
b0022	b0022_insA_20508_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0
b0023	b0023_rpsT_21078_-1	37	80	-	44	351	419	491	351	426	350	478	441	473	374	310	544	652	693	545	860	643	625	437	378	332
b0024	b0024_yaaY_21181_1	37	80	+	44	5	4	9	8	1	11	6	2	8	7	6	7	4	12	10	8	9	8	744	6	2
b0025	b0025_ribF_21407_1	37	80	+	44	193	353	256	286	310	277	287	173	245	134	197	290	251	291	307	257	282	246	235	276	243
b0026	b0026_ileS_22391_1	37	80	+	44	1213	1459	1212	1310	1402	1402	1422	1007	1575	1181	1135	1971	1146	1527	1345	1348	1242	1294	1755	1176	1121
b0027	b0027_lspA_25207_1	37	80	+	44	8	23	9	8	20	15	21	10	14	4	10	7	21	17	18	11	17	9	666	7	11
b0028	b0028_fkpB_25826_1	37	80	+	44	239	342	194	287	265	305	355	106	282	151	170	205	145	170	250	168	270	146	821	158	155
b0029	b0029_ispH_26277_1	37	80	+	44	57	93	77	66	77	56	107	42	83	42	58	89	91	86	102	98	94	73	386	71	49
b0030	b0030_rihC_27293_1	37	80	+	44	511	862	483	813	650	692	727	274	643	417	484	641	532	635	792	508	694	528	230	553	487
b0031	b0031_dapB_28374_1	37	80	+	44	304	528	351	556	425	516	485	196	428	238	336	478	349	422	487	381	508	332	163	341	343
b0032	b0032_carA_29651_1	37	80	+	44	723	866	732	721	756	691	698	489	589	391	465	661	766	885	967	1033	944	847	2376	496	475
b0033	b0033_carB_30817_1	37	80	+	44	102	127	99	109	103	137	138	75	136	65	57	111	137	157	137	164	168	130	736	112	80
b0034	b0034_caiF_34300_1	37	80	+	44	5009	6229	6176	5179	6445	5550	5042	3733	5250	3466	3942	6100	5083	5724	5504	5950	5242	5176	6892	4598	4455
b0035	b0035_caiE_35371_-1	37	80	-	44	93	125	114	108	127	90	117	71	106	73	70	146	118	136	140	121	132	126	2227	86	94
b0036	b0036_caiD_36162_-1	37	80	-	44	5155	7880	6026	6590	6993	6819	5897	3625	6376	4424	4646	6647	5603	5747	6450	6033	6430	5746	455	4381	4688
b0037	b0037_caiC_37824_-1	37	80	-	44	8547	10588	11190	9978	10306	9298	8285	6213	9682	7184	6797	9975	8523	8519	9632	10541	8430	9311	1710	6711	6255
b0038	b0038_caiB_39115_-1	37	80	-	44	2502	3574	2851	3439	3208	3552	2700	1826	2771	2002	1982	3288	2749	3326	3536	3215	3241	2987	448	2118	2165
b0039	b0039_caiA_40386_-1	37	80	-	44	1035	1936	1141	1980	1375	1557	1451	719	1594	1175	1063	1609	1134	1560	1895	1250	1548	1164	1115	1308	1066
b0040	b0040_caiT_41931_-1	37	80	-	44	1566	3408	1954	3575	2206	3512	3053	1307	3425	2006	1964	2579	2076	2253	3507	1914	2982	1764	6643	2454	2075
b0041	b0041_fixA_42403_1	37	80	+	44	2230	2573	2559	2174	2794	2396	2019	1578	2090	1659	1572	2309	1638	1817	1907	2192	1788	1965	2704	1411	1442
b0042	b0042_fixB_43188_1	37	80	+	44	935	1908	997	1839	1214	1622	1464	548	1173	590	823	1278	992	1355	1687	1016	1739	1069	232	1198	1277
b0043	b0043_fixC_44180_1	37	80	+	44	17	24	32	38	29	32	16	10	32	18	19	24	32	50	45	47	53	32	237	22	31
b0044	b0044_fixX_45463_1	37	80	+	44	735	1018	744	899	828	793	930	472	826	449	587	795	771	968	1053	882	1011	830	1048	646	540
b0045	b0045_yaaU_45807_1	37	80	+	44	61	126	73	106	110	104	118	65	102	80	66	142	77	78	95	70	122	83	975	67	66
b0046	b0046_kefF_47246_1	37	80	+	44	84	132	100	123	101	138	106	62	119	85	79	119	104	110	126	103	141	109	620	132	111
b0047	b0047_kefC_47769_1	37	80	+	44	100	138	106	111	109	98	111	77	108	52	64	107	116	139	181	136	156	158	6455	124	96
b0048	b0048_folA_49823_1	37	80	+	44	1680	2750	2092	2581	2127	2428	2322	1441	2360	1463	1576	2155	2112	2436	2877	2203	2625	2381	150	1795	1565
b0049	b0049_apaH_51222_-1	37	80	-	44	24	40	39	42	38	36	42	28	33	26	21	43	33	52	45	35	54	54	565	28	25
b0050	b0050_apaG_51606_-1	37	80	-	44	931	1411	1239	1344	1304	1266	1292	719	1110	754	857	1478	1284	1581	1670	1434	1559	1247	87	1199	1051
b0051	b0051_rsmA_52430_-1	37	80	-	44	155	231	191	235	264	194	198	116	190	139	150	210	157	206	206	184	196	169	330	152	105
b0052	b0052_pdxA_53416_-1	37	80	-	44	31	45	33	20	20	33	28	15	20	15	13	18	23	28	19	24	27	20	1775	17	13
b0053	b0053_surA_54702_-1	37	80	-	44	2496	3809	3330	3350	3549	3366	3332	2201	3749	2671	2643	3553	2607	2762	3003	2963	2855	2859	330	2406	2293
b0054	b0054_lptD_57109_-1	37	80	-	44	158	336	204	392	240	329	306	96	301	188	161	224	144	205	279	188	281	149	456	247	230
b0055	b0055_djlA_57364_1	37	80	+	44	884	1139	1039	994	1119	951	931	638	964	516	703	1215	1186	1279	1318	1268	1131	1176	1240	691	722
b4659	b4659_yabP_58474_1;b4659_yabP_59052_1	37;37	80;80	+;+	88	1229	1546	1285	1434	1346	1133	1484	744	1305	830	982	1293	1050	1301	1743	1462	1403	1263	3825	910	713
b0058	b0058_rluA_60346_-1	37	80	-	44	1124	1580	1413	1376	1504	1360	1133	825	1145	678	849	1338	1315	1380	1477	1433	1306	1497	471	1021	1018
b0059	b0059_rapA_63264_-1	37	80	-	44	309	329	319	228	319	279	247	166	222	183	199	238	203	196	201	230	253	240	1194	124	109
b0060	b0060_polB_65780_-1	37	80	-	44	181	174	201	151	196	164	189	141	158	122	122	250	245	215	188	216	147	224	1954	190	109
b0061	b0061_araD_66550_-1	37	80	-	44	5155	7737	7357	7384	6997	7643	6745	4634	7286	4735	4988	8058	7724	7971	8477	7858	7868	7555	2666	5804	5240
b0062	b0062_araA_68337_-1	37	80	-	44	1172	1795	1126	1620	1481	1725	1611	760	1661	852	960	1335	1077	1635	1896	1319	1673	1120	3431	1320	1107
b0063	b0063_araB_70048_-1	37	80	-	44	8291	7483	9569	6343	8435	7142	6905	5648	7613	5528	5492	7970	8801	7750	7417	8748	6936	8596	1442	5601	5343
b0064	b0064_araC_70387_1	37	80	+	44	93	130	102	136	96	99	130	83	113	83	103	134	104	162	180	128	164	137	760	136	122
b0065	b0065_yabI_71351_1	37	80	+	44	28	17	14	22	16	11	18	9	21	10	11	12	10	18	17	16	11	15	923	14	17
b0066	b0066_thiQ_72927_-1	37	80	-	44	286	440	406	368	420	324	265	246	292	224	221	358	263	345	333	401	320	365	655	257	222
b0067	b0067_thiP_74521_-1	37	80	-	44	9	21	14	10	14	9	15	11	16	5	6	18	7	13	18	20	17	11	72	10	9
