name,TIS_type,min_DG,locus_tag,new_TIS_type
seq_b0001,annotated,-0.359835,b0001,annotated but not recovered in data
seq_b0001_0,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_1,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_2,shuffled annotated,-0.359835,b0001,annotated but not recovered in data
seq_b0001_3,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_4,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_5,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_6,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_7,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_8,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0001_9,shuffled annotated,0,b0001,annotated but not recovered in data
seq_b0002,annotated,-3.60793,b0002,annotated + recovered in data
seq_b0002_0,shuffled alternative,-0.832615000000001,b0002,alternative + annotated found
seq_b0002_0,shuffled annotated,-1.06957,b0002,annotated + recovered in data
seq_b0002_1,shuffled alternative,-0.832615000000001,b0002,alternative + annotated found
seq_b0002_1,shuffled annotated,-3.120075,b0002,annotated + recovered in data
seq_b0002_2,shuffled alternative,-7.076855,b0002,alternative + annotated found
seq_b0002_2,shuffled annotated,-1.85867,b0002,annotated + recovered in data
seq_b0002_22,alternative,-3.60793,b0002,alternative + annotated found
seq_b0002_3,shuffled alternative,-1.9320600000000001,b0002,alternative + annotated found
seq_b0002_3,shuffled annotated,-1.99672,b0002,annotated + recovered in data
seq_b0002_4,shuffled alternative,-4.5947,b0002,alternative + annotated found
seq_b0002_4,shuffled annotated,-4.68222,b0002,annotated + recovered in data
seq_b0002_5,shuffled alternative,-1.9320600000000001,b0002,alternative + annotated found
seq_b0002_5,shuffled annotated,-3.656465,b0002,annotated + recovered in data
seq_b0002_6,shuffled alternative,-2.68108,b0002,alternative + annotated found
seq_b0002_6,shuffled annotated,0,b0002,annotated + recovered in data
seq_b0002_7,shuffled alternative,-1.883825,b0002,alternative + annotated found
seq_b0002_7,shuffled annotated,-1.06957,b0002,annotated + recovered in data
seq_b0002_8,shuffled alternative,-0.806410000000001,b0002,alternative + annotated found
seq_b0002_8,shuffled annotated,0,b0002,annotated + recovered in data
seq_b0002_9,shuffled alternative,-1.883825,b0002,alternative + annotated found
seq_b0002_9,shuffled annotated,-0.359835,b0002,annotated + recovered in data
seq_b0003,annotated,-4.59019,b0003,annotated but not recovered in data
seq_b0003_0,shuffled annotated,-4.59019,b0003,annotated but not recovered in data
seq_b0003_1,shuffled annotated,-0.359835,b0003,annotated but not recovered in data
seq_b0003_2,shuffled annotated,-2.914135,b0003,annotated but not recovered in data
seq_b0003_3,shuffled annotated,-7.02862,b0003,annotated but not recovered in data
seq_b0003_4,shuffled annotated,-5.50463,b0003,annotated but not recovered in data
seq_b0003_5,shuffled annotated,-3.22379,b0003,annotated but not recovered in data
seq_b0003_6,shuffled annotated,-5.50463,b0003,annotated but not recovered in data
seq_b0003_7,shuffled annotated,-10.77887,b0003,annotated but not recovered in data
seq_b0003_8,shuffled annotated,-5.50463,b0003,annotated but not recovered in data
seq_b0003_9,shuffled annotated,-0.806410000000001,b0003,annotated but not recovered in data
seq_b0004,annotated,-2.70311,b0004,annotated + recovered in data
seq_b0004_0,shuffled alternative,0,b0004,alternative + annotated found
seq_b0004_0,shuffled annotated,-1.126985,b0004,annotated + recovered in data
seq_b0004_1,shuffled alternative,0,b0004,alternative + annotated found
seq_b0004_1,shuffled annotated,-1.8807,b0004,annotated + recovered in data
seq_b0004_150,alternative,0,b0004,alternative + annotated found
seq_b0004_2,shuffled alternative,0,b0004,alternative + annotated found
seq_b0004_2,shuffled annotated,-2.833755,b0004,annotated + recovered in data
seq_b0004_3,shuffled alternative,-0.359835,b0004,alternative + annotated found
seq_b0004_3,shuffled annotated,-5.24147,b0004,annotated + recovered in data
seq_b0004_4,shuffled alternative,-0.359835,b0004,alternative + annotated found
seq_b0004_4,shuffled annotated,-2.729315,b0004,annotated + recovered in data
seq_b0004_5,shuffled alternative,-0.359835,b0004,alternative + annotated found
seq_b0004_5,shuffled annotated,-2.70311,b0004,annotated + recovered in data
seq_b0004_6,shuffled alternative,-0.359835,b0004,alternative + annotated found
seq_b0004_6,shuffled annotated,-1.85867,b0004,annotated + recovered in data
seq_b0004_7,shuffled alternative,-0.359835,b0004,alternative + annotated found
seq_b0004_7,shuffled annotated,0,b0004,annotated + recovered in data
seq_b0004_8,shuffled alternative,0,b0004,alternative + annotated found
seq_b0004_8,shuffled annotated,0,b0004,annotated + recovered in data
seq_b0004_9,shuffled alternative,0,b0004,alternative + annotated found
seq_b0004_9,shuffled annotated,-2.70311,b0004,annotated + recovered in data
seq_b0005,annotated,-4.59019,b0005,annotated + recovered in data
seq_b0005_0,shuffled annotated,-1.06957,b0005,annotated + recovered in data
seq_b0005_1,shuffled annotated,-3.60793,b0005,annotated + recovered in data
seq_b0005_2,shuffled annotated,0,b0005,annotated + recovered in data
seq_b0005_3,shuffled annotated,-1.61228,b0005,annotated + recovered in data
seq_b0005_4,shuffled annotated,-4.21907,b0005,annotated + recovered in data
seq_b0005_5,shuffled annotated,-1.99672,b0005,annotated + recovered in data
seq_b0005_6,shuffled annotated,-4.68222,b0005,annotated + recovered in data
seq_b0005_7,shuffled annotated,-3.656465,b0005,annotated + recovered in data
seq_b0005_8,shuffled annotated,-3.656465,b0005,annotated + recovered in data
seq_b0005_9,shuffled annotated,-2.70311,b0005,annotated + recovered in data
seq_b0006,annotated,-2.68108,b0006,annotated but not recovered in data
seq_b0006_0,shuffled annotated,-1.99672,b0006,annotated but not recovered in data
seq_b0006_1,shuffled annotated,-1.8807,b0006,annotated but not recovered in data
seq_b0006_2,shuffled annotated,-1.99672,b0006,annotated but not recovered in data
seq_b0006_3,shuffled annotated,-1.8807,b0006,annotated but not recovered in data
seq_b0006_4,shuffled annotated,-2.70311,b0006,annotated but not recovered in data
seq_b0006_5,shuffled annotated,-1.06957,b0006,annotated but not recovered in data
seq_b0006_6,shuffled annotated,-2.70311,b0006,annotated but not recovered in data
seq_b0006_7,shuffled annotated,-12.41241,b0006,annotated but not recovered in data
seq_b0006_8,shuffled annotated,0,b0006,annotated but not recovered in data
seq_b0006_9,shuffled annotated,-2.68108,b0006,annotated but not recovered in data
seq_b0007,annotated,-7.04262,b0007,annotated but not recovered in data
seq_b0007_0,shuffled alternative,-0.832615000000001,b0007,Unknown
seq_b0007_0,shuffled annotated,-0.832615000000001,b0007,annotated but not recovered in data
seq_b0007_1,shuffled alternative,-1.126985,b0007,Unknown
seq_b0007_1,shuffled annotated,0,b0007,annotated but not recovered in data
seq_b0007_2,shuffled alternative,-1.85867,b0007,Unknown
seq_b0007_2,shuffled annotated,-2.68108,b0007,annotated but not recovered in data
seq_b0007_3,shuffled alternative,0,b0007,Unknown
seq_b0007_3,shuffled annotated,-3.095715,b0007,annotated but not recovered in data
seq_b0007_4,shuffled alternative,-0.832615000000001,b0007,Unknown
seq_b0007_4,shuffled annotated,-2.729315,b0007,annotated but not recovered in data
seq_b0007_5,shuffled alternative,-1.8807,b0007,Unknown
seq_b0007_5,shuffled annotated,-1.06957,b0007,annotated but not recovered in data
seq_b0007_59,alternative,0,b0007,Unknown
seq_b0007_6,shuffled alternative,-4.467295,b0007,Unknown
seq_b0007_6,shuffled annotated,-4.68222,b0007,annotated but not recovered in data
seq_b0007_7,shuffled alternative,-1.8807,b0007,Unknown
seq_b0007_7,shuffled annotated,-1.06957,b0007,annotated but not recovered in data
seq_b0007_8,shuffled alternative,0,b0007,Unknown
seq_b0007_8,shuffled annotated,-1.06957,b0007,annotated but not recovered in data
seq_b0007_9,shuffled alternative,0,b0007,Unknown
seq_b0007_9,shuffled annotated,0,b0007,annotated but not recovered in data
seq_b0008,annotated,-0.359835,b0008,annotated + recovered in data
seq_b0008_0,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_1,shuffled annotated,-0.655360000000002,b0008,annotated + recovered in data
seq_b0008_2,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_3,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_4,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_5,shuffled annotated,-1.40657,b0008,annotated + recovered in data
seq_b0008_6,shuffled annotated,-0.655360000000002,b0008,annotated + recovered in data
seq_b0008_7,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_8,shuffled annotated,0,b0008,annotated + recovered in data
seq_b0008_9,shuffled annotated,-1.40657,b0008,annotated + recovered in data
seq_b0009,annotated,-1.99672,b0009,annotated + recovered in data
seq_b0009_0,shuffled annotated,-2.70311,b0009,annotated + recovered in data
seq_b0009_1,shuffled annotated,0,b0009,annotated + recovered in data
seq_b0009_2,shuffled annotated,-1.99672,b0009,annotated + recovered in data
seq_b0009_3,shuffled annotated,-1.99672,b0009,annotated + recovered in data
seq_b0009_4,shuffled annotated,-0.806410000000001,b0009,annotated + recovered in data
seq_b0009_5,shuffled annotated,-0.918485,b0009,annotated + recovered in data
seq_b0009_6,shuffled annotated,0,b0009,annotated + recovered in data
seq_b0009_7,shuffled annotated,-0.784380000000001,b0009,annotated + recovered in data
seq_b0009_8,shuffled annotated,-0.784380000000001,b0009,annotated + recovered in data
seq_b0009_9,shuffled annotated,-1.06957,b0009,annotated + recovered in data
seq_b0010,annotated,-7.530775,b0010,annotated + recovered in data
seq_b0010_0,shuffled alternative,-2.68108,b0010,alternative + annotated found
seq_b0010_0,shuffled annotated,-5.24147,b0010,annotated + recovered in data
seq_b0010_1,shuffled alternative,0,b0010,alternative + annotated found
seq_b0010_1,shuffled annotated,-5.50463,b0010,annotated + recovered in data
seq_b0010_2,shuffled alternative,-0.784380000000001,b0010,alternative + annotated found
seq_b0010_2,shuffled annotated,-5.24147,b0010,annotated + recovered in data
seq_b0010_3,alternative,-0.247160000000001,b0010,alternative + annotated found
seq_b0010_3,shuffled alternative,-1.06957,b0010,alternative + annotated found
seq_b0010_3,shuffled annotated,-3.60793,b0010,annotated + recovered in data
seq_b0010_4,shuffled alternative,-1.8807,b0010,alternative + annotated found
seq_b0010_4,shuffled annotated,-1.06957,b0010,annotated + recovered in data
seq_b0010_5,shuffled alternative,-2.70311,b0010,alternative + annotated found
seq_b0010_5,shuffled annotated,0,b0010,annotated + recovered in data
seq_b0010_6,shuffled alternative,0,b0010,alternative + annotated found
seq_b0010_6,shuffled annotated,-3.095715,b0010,annotated + recovered in data
seq_b0010_7,shuffled alternative,0,b0010,alternative + annotated found
seq_b0010_7,shuffled annotated,0,b0010,annotated + recovered in data
seq_b0010_8,shuffled alternative,0,b0010,alternative + annotated found
seq_b0010_8,shuffled annotated,-2.70311,b0010,annotated + recovered in data
seq_b0010_9,shuffled alternative,-0.806410000000001,b0010,alternative + annotated found
seq_b0010_9,shuffled annotated,-2.70311,b0010,annotated + recovered in data
seq_b0011,annotated,0,b0011,annotated + recovered in data
seq_b0011_0,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_0,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_1,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_1,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_2,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_2,shuffled annotated,-0.359835,b0011,annotated + recovered in data
seq_b0011_3,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_3,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_33,alternative,0,b0011,alternative + annotated found
seq_b0011_4,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_4,shuffled annotated,-0.359835,b0011,annotated + recovered in data
seq_b0011_5,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_5,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_6,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_6,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_7,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_7,shuffled annotated,0,b0011,annotated + recovered in data
seq_b0011_8,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_8,shuffled annotated,-0.359835,b0011,annotated + recovered in data
seq_b0011_9,shuffled alternative,0,b0011,alternative + annotated found
seq_b0011_9,shuffled annotated,-0.359835,b0011,annotated + recovered in data
seq_b0013,annotated,-0.359835,b0013,annotated but not recovered in data
seq_b0013_0,shuffled annotated,0,b0013,annotated but not recovered in data
